,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,QSR US,Restaurant Brands Internationa,,,,,,,,,,16%,130%,$        74.41,$          55.74,$          69.88,$             82.75,$         171.24,7.36%,1.28%,2.95%,7.79%,163.40%,163.40%,117%,,,,,,,NO,,,5.19%,1.18%,4.00%,0.10%,40
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Restaurant Brands Internationa - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.95%,11/10/2017,,,,,,,,,,$          69.88,-6%,2.96%,$         171.24,$           19.69,$             28.25,$            15.71,1.15%,3.95%,3.15%,2.66%,-10.08%,-10.08%,-22%,,,,5Y CAGR,0.74%,,Restaurant Brands Internationa - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,13.50%,,Restaurant Brands Internationa - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Restaurant Brands Internationa - Rating: 16% - Upside: 130%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       35.55,,,12/29/2014,,12/29/2014,,,,,1.74%,$             35.55,0.62,48.26,15.71,19.69,61%,36%,1.28%,3.95%,6.19%,109.31%,123.94%,5.2,3.15%,0.00%,,1997,0.00,-,16,,,0,1.18%,117,117,4.41%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        34.19,,,1/5/2015,,1/5/2015,,,,,1.81%,$              34.19,0.62,48.26,15.71,19.69,57%,41%,1.28%,3.95%,6.43%,117.64%,132.85%,5.2,3.15%,-3.83%,,1998,0.00,,130,,,1,1.28%,126,243,4.75%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        33.15,,,1/12/2015,,1/12/2015,,,,,1.87%,$              33.15,0.62,48.26,15.71,19.69,54%,46%,1.28%,3.95%,6.64%,124.46%,140.15%,5.2,3.15%,-6.75%,,1999,0.00,,,,,2,1.38%,115,358,4.33%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       32.39,,,1/20/2015,,1/20/2015,,,,,1.91%,$             32.39,0.62,48.26,15.71,19.69,51%,49%,1.28%,3.95%,6.79%,129.73%,145.79%,5.2,3.15%,-8.89%,,2000,0.00,,1/1/1970,1970,,3,1.48%,53,411,2.00%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        31.82,,,1/26/2015,,1/26/2015,,,,,1.95%,$              31.82,0.62,48.26,15.71,19.69,49%,52%,1.28%,3.95%,6.91%,133.85%,150.19%,5.2,3.15%,-10.49%,,2001,0.00,,1/1/1971,1971,,4,1.58%,39,450,1.47%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                        31.67,,,2/2/2015,,2/2/2015,,,,,1.96%,$              31.67,0.62,48.26,15.71,19.69,49%,52%,1.28%,3.95%,6.95%,134.95%,151.37%,5.2,3.15%,-10.91%,,2002,0.00,,1/1/1972,1972,,5,1.68%,4,454,0.15%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                        32.31,,,2/9/2015,,2/9/2015,,,,,1.92%,$              32.31,0.62,48.26,15.71,19.69,51%,49%,1.28%,3.95%,6.81%,130.30%,146.39%,5.2,3.15%,-9.11%,,2003,0.00,,1/1/1973,1973,,6,1.78%,18,472,0.68%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        31.76,,,2/17/2015,,2/17/2015,,,,,1.95%,$              31.76,0.62,48.26,15.71,19.69,49%,52%,1.28%,3.95%,6.93%,134.29%,150.66%,5.2,3.15%,-10.66%,,2004,0.00,,1/1/1974,1974,,7,1.88%,15,487,0.56%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       33.60,,,2/23/2015,,2/23/2015,,,,,1.85%,$             33.60,0.62,48.26,15.71,19.69,55%,44%,1.28%,3.95%,6.55%,121.46%,136.93%,5.2,3.15%,-5.49%,,2005,0.00,,1/1/1975,1975,,8,1.98%,4,491,0.15%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       33.47,,,3/2/2015,,3/2/2015,,,,,1.85%,$             33.47,0.62,48.26,15.71,19.69,55%,44%,1.28%,3.95%,6.57%,122.32%,137.85%,5.2,3.15%,-5.85%,,2006,0.00,,1/1/1976,1976,,9,2.08%,0,491,0.00%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                        33.16,,,3/9/2015,,3/9/2015,,,,,1.87%,$              33.16,0.62,48.26,15.71,19.69,54%,46%,1.28%,3.95%,6.63%,124.40%,140.08%,5.2,3.15%,-6.72%,,2007,0.00,,1/1/1977,1977,,10,2.18%,0,491,0.00%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       32.63,,,3/16/2015,,3/16/2015,,,,,1.90%,$             32.63,0.62,48.26,15.71,19.69,52%,48%,1.28%,3.95%,6.74%,128.04%,143.98%,5.2,3.15%,-8.21%,,2008,0.00,,1/1/1978,1978,,11,2.28%,0,491,0.00%
