,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,RBA CN,Ritchie Bros Auctioneers Inc,,,,,,,,,,119%,-10%,$     164.29,$          58.97,$          82.00,$             165.11,$        147.43,2.86%,0.99%,1.74%,4.72%,430.65%,442.57%,120%,,,,,,,NO,,,2.82%,0.90%,1.92%,0.03%,64
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Ritchie Bros Auctioneers Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.48%,11/10/2017,,,,,,,,,,$          82.00,-50%,0.89%,$        147.43,$          49.58,$             30.96,$          35.66,0.89%,2.48%,1.78%,0.89%,-0.50%,-0.50%,-9%,,,,5Y CAGR,4.45%,,Ritchie Bros Auctioneers Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.16%,,Ritchie Bros Auctioneers Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Ritchie Bros Auctioneers Inc - Rating: 119% - Upside: -10%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       32.40,,,12/29/2014,,12/29/2014,,,,,2.73%,$             32.40,0.88,89.15,35.66,49.58,-6%,175%,0.99%,2.48%,4.51%,407.07%,418.45%,3.68859,1.78%,0.00%,,1997,0.00,-,119,,,0,0.90%,44,44,1.66%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        32.19,,,1/5/2015,,1/5/2015,,,,,2.75%,$              32.19,0.88,89.15,35.66,49.58,-6%,177%,0.99%,2.48%,4.54%,410.38%,421.83%,3.68859,1.78%,-0.65%,,1998,0.00,,-10,,,1,0.93%,30,74,1.13%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        31.02,,,1/12/2015,,1/12/2015,,,,,2.85%,$              31.02,0.88,89.15,35.66,49.58,-9%,187%,0.99%,2.48%,4.71%,429.63%,441.52%,3.68859,1.78%,-4.26%,,1999,0.00,,,,,2,0.96%,47,121,1.77%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       30.96,,,1/19/2015,,1/20/2015,,,,,2.86%,$             30.96,0.88,89.15,35.66,49.58,-9%,188%,0.99%,2.48%,4.72%,430.65%,442.57%,3.68859,1.78%,-4.44%,,2000,0.00,,1/1/1970,1970,,3,0.99%,91,212,3.44%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       30.97,,,1/26/2015,,1/26/2015,,,,,2.86%,$             30.97,0.88,89.15,35.66,49.58,-9%,188%,0.99%,2.48%,4.72%,430.48%,442.39%,3.68859,1.78%,-4.41%,,2001,0.00,,1/1/1971,1971,,4,1.02%,64,276,2.42%
