,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,REC IM,Recordati Industria Chimica e,,,,,,,,,,66%,12%,$        51.45,$          38.98,$          48.20,$             60.95,$           57.81,3.61%,2.02%,2.48%,6.02%,164.80%,181.52%,123%,,,,,,,NO,,,3.18%,1.91%,1.26%,0.02%,63
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Recordati Industria Chimica e - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.00%,11/10/2017,,,,,,,,,,$          48.20,-6%,2.27%,$           57.81,$          26.78,$              19.43,$           21.66,1.88%,3.00%,2.43%,1.92%,-15.59%,-15.59%,-35%,,,,5Y CAGR,1.61%,,Recordati Industria Chimica e - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,6.05%,,Recordati Industria Chimica e - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Recordati Industria Chimica e - Rating: 66% - Upside: 12%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       23.64,,,12/29/2014,,12/29/2014,,,,,2.75%,€               23.64,0.65,32.12,21.66,26.78,19%,36%,2.02%,3.00%,4.95%,117.64%,131.39%,3.25,2.43%,0.00%,,1997,0.00,-,66,,,0,1.91%,31,31,1.16%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                         24.37,,,1/5/2015,,1/5/2015,,,,,2.67%,€               24.37,0.65,32.12,21.66,26.78,26%,32%,2.02%,3.00%,4.80%,111.12%,124.46%,3.25,2.43%,0.00%,,1998,0.00,,12,,,1,1.93%,29,60,1.08%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                         24.37,,,1/12/2015,,1/12/2015,,,,,2.67%,€               24.37,0.65,32.12,21.66,26.78,26%,32%,2.02%,3.00%,4.80%,111.12%,124.46%,3.25,2.43%,0.00%,,1999,0.00,,,,,2,1.95%,19,79,0.71%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                         23.96,,,1/19/2015,,1/20/2015,,,,,2.71%,€               23.96,0.65,32.12,21.66,26.78,22%,34%,2.02%,3.00%,4.88%,114.73%,128.30%,3.25,2.43%,-1.68%,,2000,0.00,,1/1/1970,1970,,3,1.97%,16,95,0.60%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                          23.51,,,1/26/2015,,1/26/2015,,,,,2.76%,€                23.51,0.65,32.12,21.66,26.78,18%,37%,2.02%,3.00%,4.98%,118.84%,132.67%,3.25,2.43%,-3.53%,,2001,0.00,,1/1/1971,1971,,4,1.99%,18,113,0.67%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                         23.32,,,2/2/2015,,2/2/2015,,,,,2.79%,€               23.32,0.65,32.12,21.66,26.78,16%,38%,2.02%,3.00%,5.02%,120.63%,134.56%,3.25,2.43%,-4.31%,,2002,0.06,,1/1/1972,1972,,5,2.01%,17,130,0.63%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,€                                                          23.13,,,2/9/2015,,2/9/2015,,,,,2.81%,€                23.13,0.65,32.12,21.66,26.78,14%,39%,2.02%,3.00%,5.06%,122.44%,136.49%,3.25,2.43%,-5.09%,,2003,0.09,50.00%,1/1/1973,1973,,6,2.03%,15,145,0.56%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,€                                                          23.18,,,2/16/2015,,2/17/2015,,,,,2.80%,€                23.18,0.65,32.12,21.66,26.78,15%,39%,2.02%,3.00%,5.05%,121.96%,135.98%,3.25,2.43%,-4.88%,,2004,0.09,0.00%,1/1/1974,1974,,7,2.05%,27,172,1.01%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,€                                                         22.45,,,2/23/2015,,2/23/2015,,,,,2.90%,€               22.45,0.65,32.12,21.66,26.78,8%,43%,2.02%,3.00%,5.21%,129.18%,143.65%,3.25,2.43%,-7.88%,,2005,0.11,17.33%,1/1/1975,1975,,8,2.07%,19,191,0.71%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,€                                                         22.60,,,3/2/2015,,3/2/2015,,,,,2.88%,€               22.60,0.65,32.12,21.66,26.78,9%,42%,2.02%,3.00%,5.18%,127.65%,142.04%,3.25,2.43%,-7.26%,,2006,0.14,25.00%,1/1/1976,1976,,9,2.09%,19,210,0.71%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,€                                                          21.83,,,3/9/2015,,3/9/2015,,,,,2.98%,€                21.83,0.65,32.12,21.66,26.78,2%,47%,2.02%,3.00%,5.36%,135.68%,150.57%,3.25,2.43%,-10.42%,,2007,0.19,34.55%,1/1/1977,1977,,10,2.11%,30,240,1.12%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,€                                                         22.60,,,3/16/2015,,3/16/2015,,,,,2.88%,€               22.60,0.65,32.12,21.66,26.78,9%,42%,2.02%,3.00%,5.18%,127.65%,142.04%,3.25,2.43%,-7.26%,,2008,0.22,16.22%,1/1/1978,1978,,11,2.13%,37,277,1.38%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,€                                                          21.75,,,3/23/2015,,3/23/2015,,,,,2.99%,€                21.75,0.65,32.12,21.66,26.78,1%,48%,2.02%,3.00%,5.38%,136.55%,151.49%,3.25,2.43%,-10.75%,,2009,0.25,16.28%,1/1/1979,1979,,12,2.15%,66,343,2.46%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,€                                                          21.73,,,3/30/2015,,3/30/2015,,,,,2.99%,€                21.73,0.65,32.12,21.66,26.78,1%,48%,2.02%,3.00%,5.38%,136.77%,151.73%,3.25,2.43%,-10.83%,,2010,0.28,10.00%,1/1/1980,1980,,13,2.17%,56,399,2.09%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,€                                                         22.68,,,4/7/2015,,4/6/2015,,,,,2.87%,€               22.68,0.65,32.12,21.66,26.78,10%,42%,2.02%,3.00%,5.16%,126.85%,141.18%,3.25,2.43%,-6.93%,,2011,0.48,72.73%,1/1/1981,1981,,14,2.19%,60,459,2.24%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,€                                                         22.97,,,4/13/2015,,4/13/2015,,,,,2.83%,€               22.97,0.65,32.12,21.66,26.78,13%,40%,2.02%,3.00%,5.09%,123.99%,138.14%,3.25,2.43%,-5.74%,,2012,0.30,-36.84%,1/1/1982,1982,,15,2.21%,60,519,2.24%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,€                                                         22.93,,,4/20/2015,,4/20/2015,,,,,2.83%,€               22.93,0.65,32.12,21.66,26.78,12%,40%,2.02%,3.00%,5.10%,124.38%,138.55%,3.25,2.43%,-5.91%,,2013,0.32,6.67%,1/1/1983,1983,,16,2.23%,74,593,2.76%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,€                                                         23.34,,,4/27/2015,,4/27/2015,,,,,2.78%,€               23.34,0.65,32.12,21.66,26.78,16%,38%,2.02%,3.00%,5.01%,120.44%,134.36%,3.25,2.43%,-4.23%,,2014,0.37,15.63%,1/1/1984,1984,,17,2.25%,92,685,3.43%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,€                                                         22.35,,,5/4/2015,,5/4/2015,,,,,2.91%,€               22.35,0.65,32.12,21.66,26.78,7%,44%,2.02%,3.00%,5.23%,130.20%,144.74%,3.25,2.43%,-8.29%,,2015,0.54,45.95%,1/1/1985,1985,,18,2.27%,114,799,4.25%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,€                                                         22.80,,,5/11/2015,,5/11/2015,,,,,2.85%,€               22.80,0.65,32.12,21.66,26.78,11%,41%,2.02%,3.00%,5.13%,125.66%,139.91%,3.25,2.43%,-6.44%,,2016,0.65,20.37%,1/1/1986,1986,,19,2.29%,102,901,3.80%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,€                                                         23.25,,,5/18/2015,,5/18/2015,,,,,2.80%,€               23.25,0.65,32.12,21.66,26.78,15%,38%,2.02%,3.00%,5.03%,121.29%,135.27%,3.25,2.43%,-4.60%,,2017,0.77,18.46%,1/1/1987,1987,,20,2.31%,74,975,2.76%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,€                                                         22.48,,,5/25/2015,,5/26/2015,,,,,2.89%,€               22.48,0.65,32.12,21.66,26.78,8%,43%,2.02%,3.00%,5.20%,128.87%,143.33%,3.25,2.43%,-7.76%,,2018,0.88,14.29%,1/1/1988,1988,,21,2.33%,71,1046,2.65%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,€                                                          22.19,,,6/1/2015,,6/1/2015,,,,,2.93%,€                22.19,0.65,32.12,21.66,26.78,5%,45%,2.02%,3.00%,5.27%,131.86%,146.51%,3.25,2.43%,-8.95%,,2019,0.95,7.95%,1/1/1989,1989,,22,2.35%,65,1111,2.42%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,€                                                          21.42,,,6/8/2015,,6/8/2015,,,,,3.03%,€                21.42,0.65,32.12,21.66,26.78,-2%,50%,2.02%,3.00%,5.46%,140.20%,155.37%,3.25,2.43%,-12.11%,,2020,1.02,7.37%,1/1/1990,1990,,23,2.37%,79,1190,2.94%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,€                                                         20.00,,,6/15/2015,,6/15/2015,,,,,3.25%,€               20.00,0.65,32.12,21.66,26.78,-16%,61%,2.02%,3.00%,5.85%,157.25%,173.50%,3.25,2.43%,-17.93%,,2021,1.08,5.88%,1/1/1991,1991,,24,2.39%,70,1260,2.61%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,€                                                          19.43,,,6/22/2015,,6/22/2015,,,,,3.35%,€                19.43,0.65,32.12,21.66,26.78,-21%,65%,2.02%,3.00%,6.02%,164.80%,181.52%,3.25,2.43%,-20.27%,,2022,1.12,3.70%,1/1/1992,1992,,25,2.41%,85,1345,3.17%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,€                                                          19.58,,,6/29/2015,,6/29/2015,,,,,3.32%,€                19.58,0.65,32.12,21.66,26.78,-20%,64%,2.02%,3.00%,5.98%,162.77%,179.37%,3.25,2.43%,-19.66%,,2023,1.17,4.46%,1/1/1993,1993,,26,2.43%,59,1404,2.20%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,€                                                          20.31,,,7/6/2015,,7/6/2015,,,,,3.20%,€                20.31,0.65,32.12,21.66,26.78,-13%,58%,2.02%,3.00%,5.76%,153.32%,169.33%,3.25,2.43%,-16.66%,,2024,1.17,0.00%,1/1/1994,1994,,27,2.45%,54,1458,2.01%
