,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,REL LN,RELX PLC,,,,,,,,,,36%,40%,$2.682,00,$   2.077,71,$  2.467,79,$       4.135,00,$  3.766,30,3.08%,1.48%,2.21%,4.96%,138.19%,151.81%,122%,,,,,,,NO,,,2.88%,1.36%,1.52%,0.02%,76
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,RELX PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.69%,11/10/2017,,,,,,,,,,$  2.467,79,-8%,2.08%,$  3.766,30,$   1.436,97,$        1.126,00,$   1.209,83,1.35%,2.69%,2.27%,1.35%,-35.14%,-35.14%,-16%,,,,5Y CAGR,3.22%,,RELX PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.56%,,RELX PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,RELX PLC - Rating: 36% - Upside: 40%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                  1.170,00,,,12/29/2014,,12/29/2014,,,,,2.78%,1.170,00,32.55,2.193,08,1.209,83,1.436,97,-4%,87%,1.48%,2.69%,4.78%,129.23%,142.34%,153.35,2.27%,0.00%,,1997,0.00,-,36,,,0,1.36%,11,11,0.41%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,1.175,00,,,1/5/2015,,1/5/2015,,,,,2.77%,1.175,00,32.55,2.193,08,1.209,83,1.436,97,-4%,87%,1.48%,2.69%,4.76%,128.26%,141.31%,153.35,2.27%,0.00%,,1998,0.00,,40,,,1,1.38%,26,37,0.96%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,1.168,00,,,1/12/2015,,1/12/2015,,,,,2.79%,1.168,00,32.55,2.193,08,1.209,83,1.436,97,-4%,88%,1.48%,2.69%,4.79%,129.62%,142.75%,153.35,2.27%,-0.60%,,1999,0.00,,,,,2,1.40%,27,64,1.00%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,1.166,00,,,1/19/2015,,1/20/2015,,,,,2.79%,1.166,00,32.55,2.193,08,1.209,83,1.436,97,-4%,88%,1.48%,2.69%,4.79%,130.02%,143.17%,153.35,2.27%,-0.77%,,2000,0.00,,1/1/1970,1970,,3,1.42%,36,100,1.33%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,1.169,00,,,1/26/2015,,1/26/2015,,,,,2.78%,1.169,00,32.55,2.193,08,1.209,83,1.436,97,-4%,88%,1.48%,2.69%,4.78%,129.43%,142.54%,153.35,2.27%,-0.51%,,2001,0.00,,1/1/1971,1971,,4,1.44%,8,108,0.30%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,1.160,00,,,2/2/2015,,2/2/2015,,,,,2.81%,1.160,00,32.55,2.193,08,1.209,83,1.436,97,-5%,89%,1.48%,2.69%,4.82%,131.21%,144.43%,153.35,2.27%,-1.28%,,2002,10.60,,1/1/1972,1972,,5,1.46%,14,122,0.52%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,1.176,00,,,2/9/2015,,2/9/2015,,,,,2.77%,1.176,00,32.55,2.193,08,1.209,83,1.436,97,-3%,86%,1.48%,2.69%,4.75%,128.06%,141.10%,153.35,2.27%,0.00%,,2003,11.30,6.60%,1/1/1973,1973,,6,1.48%,16,138,0.59%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,1.180,00,,,2/16/2015,,2/17/2015,,,,,2.76%,1.180,00,32.55,2.193,08,1.209,83,1.436,97,-3%,86%,1.48%,2.69%,4.74%,127.29%,140.28%,153.35,2.27%,0.00%,,2004,12.10,7.08%,1/1/1974,1974,,7,1.50%,23,161,0.85%
