,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,RET BB,Retail Estates NV,,,,,,,,,,14%,80%,$       65.70,$           57.41,$           71.98,$              89.10,$         118.08,11.31%,4.15%,6.40%,12.60%,68.89%,68.89%,109%,,,,,,,NO,,,9.31%,4.00%,5.31%,0.10%,53
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Retail Estates NV - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,8.54%,11/10/2017,,,,,,,,,,$           71.98,10%,7.46%,$         118.08,$          47.00,$             38.90,$          37.49,3.97%,8.54%,6.81%,5.50%,-26.26%,-23.60%,-23%,,,,5Y CAGR,1.72%,,Retail Estates NV - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.35%,,Retail Estates NV - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Retail Estates NV - Rating: 14% - Upside: 80%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       76.73,,,12/29/2014,,12/29/2014,,,,,4.17%,€               76.73,3.20,77.11,37.49,47.00,99%,0%,4.15%,8.54%,6.39%,-14.38%,4.33%,14.35,6.81%,0.00%,,1997,0.00,-,14,,,0,4.00%,80,80,2.96%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                         76.87,,,1/5/2015,,1/5/2015,,,,,4.16%,€               76.87,3.20,77.11,37.49,47.00,99%,0%,4.15%,8.54%,6.37%,-14.53%,4.14%,14.35,6.81%,0.00%,,1998,0.00,,80,,,1,4.10%,114,194,4.22%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                           76.11,,,1/12/2015,,1/12/2015,,,,,4.20%,€                 76.11,3.20,77.11,37.49,47.00,97%,1%,4.15%,8.54%,6.44%,-13.68%,5.18%,14.35,6.81%,-0.99%,,1999,0.00,,,,,2,4.20%,71,265,2.63%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                         75.82,,,1/19/2015,,1/20/2015,,,,,4.22%,€               75.82,3.20,77.11,37.49,47.00,97%,2%,4.15%,8.54%,6.46%,-13.35%,5.57%,14.35,6.81%,-1.36%,,2000,0.00,,1/1/1970,1970,,3,4.30%,59,324,2.18%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                         75.88,,,1/26/2015,,1/26/2015,,,,,4.22%,€               75.88,3.20,77.11,37.49,47.00,97%,2%,4.15%,8.54%,6.46%,-13.42%,5.49%,14.35,6.81%,-1.28%,,2001,0.00,,1/1/1971,1971,,4,4.40%,58,382,2.15%
