,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,REY IM,Reply SpA,,,,,,,,,,6%,139%,$     104.70,$          94.80,$        136.25,$           185.50,$       249.93,1.30%,0.40%,0.74%,3.86%,304.25%,309.41%,152%,,,,,,,NO,,,1.22%,0.31%,0.91%,0.02%,45
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Reply SpA - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.05%,11/10/2017,,,,,,,,,,$        136.25,30%,0.96%,$       249.93,$          34.06,$             25.90,$          23.70,0.30%,1.05%,0.73%,0.54%,-43.56%,-43.56%,-11%,,,,5Y CAGR,12.30%,,Reply SpA - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,14.87%,,Reply SpA - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Reply SpA - Rating: 6% - Upside: 139%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        31.50,,,12/29/2014,,12/29/2014,,,,,0.79%,€                31.50,0.25,62.48,23.70,34.06,20%,98%,0.40%,1.05%,3.17%,232.38%,236.63%,1.3375,0.73%,0.00%,,1997,0.00,-,6,,,0,0.31%,50,50,1.86%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                          31.05,,,1/5/2015,,1/5/2015,,,,,0.81%,€                31.05,0.25,62.48,23.70,34.06,19%,101%,0.40%,1.05%,3.22%,237.20%,241.51%,1.3375,0.73%,-1.43%,,1998,0.00,,139,,,1,0.33%,24,74,0.89%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                          31.50,,,1/12/2015,,1/12/2015,,,,,0.79%,€                31.50,0.25,62.48,23.70,34.06,20%,98%,0.40%,1.05%,3.17%,232.38%,236.63%,1.3375,0.73%,0.00%,,1999,0.00,,,,,2,0.35%,22,96,0.82%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                         30.50,,,1/19/2015,,1/20/2015,,,,,0.82%,€               30.50,0.25,62.48,23.70,34.06,18%,105%,0.40%,1.05%,3.28%,243.28%,247.66%,1.3375,0.73%,-3.17%,,2000,0.00,,1/1/1970,1970,,3,0.37%,18,114,0.67%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                         29.75,,,1/26/2015,,1/26/2015,,,,,0.84%,€               29.75,0.25,62.48,23.70,34.06,16%,110%,0.40%,1.05%,3.36%,251.93%,256.43%,1.3375,0.73%,-5.56%,,2001,0.00,,1/1/1971,1971,,4,0.39%,18,132,0.67%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                         29.98,,,2/2/2015,,2/2/2015,,,,,0.83%,€               29.98,0.25,62.48,23.70,34.06,16%,108%,0.40%,1.05%,3.34%,249.29%,253.75%,1.3375,0.73%,-4.84%,,2002,0.00,,1/1/1972,1972,,5,0.41%,10,142,0.37%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,€                                                         30.38,,,2/9/2015,,2/9/2015,,,,,0.82%,€               30.38,0.25,62.48,23.70,34.06,17%,106%,0.40%,1.05%,3.29%,244.69%,249.09%,1.3375,0.73%,-3.57%,,2003,0.03,,1/1/1973,1973,,6,0.43%,1,143,0.04%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,€                                                          31.23,,,2/16/2015,,2/17/2015,,,,,0.80%,€                31.23,0.25,62.48,23.70,34.06,19%,100%,0.40%,1.05%,3.20%,235.31%,239.59%,1.3375,0.73%,-0.87%,,2004,0.03,20.00%,1/1/1974,1974,,7,0.45%,6,149,0.22%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,€                                                         30.75,,,2/23/2015,,2/23/2015,,,,,0.81%,€               30.75,0.25,62.48,23.70,34.06,18%,103%,0.40%,1.05%,3.25%,240.49%,244.84%,1.3375,0.73%,-2.38%,,2005,0.04,25.00%,1/1/1975,1975,,8,0.47%,11,160,0.41%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,€                                                         30.30,,,3/2/2015,,3/2/2015,,,,,0.83%,€               30.30,0.25,62.48,23.70,34.06,17%,106%,0.40%,1.05%,3.30%,245.54%,249.96%,1.3375,0.73%,-3.81%,,2006,0.05,33.33%,1/1/1976,1976,,9,0.49%,38,198,1.42%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,€                                                         29.20,,,3/9/2015,,3/9/2015,,,,,0.86%,€               29.20,0.25,62.48,23.70,34.06,14%,114%,0.40%,1.05%,3.42%,258.56%,263.14%,1.3375,0.73%,-7.30%,,2007,0.07,40.00%,1/1/1977,1977,,10,0.51%,48,246,1.79%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,€                                                          30.13,,,3/16/2015,,3/16/2015,,,,,0.83%,€                30.13,0.25,62.48,23.70,34.06,17%,107%,0.40%,1.05%,3.32%,247.55%,251.99%,1.3375,0.73%,-4.37%,,2008,0.09,25.00%,1/1/1978,1978,,11,0.53%,74,320,2.76%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,€                                                         28.93,,,3/23/2015,,3/23/2015,,,,,0.86%,€               28.93,0.25,62.48,23.70,34.06,13%,116%,0.40%,1.05%,3.46%,261.97%,266.59%,1.3375,0.73%,-8.17%,,2009,0.09,0.00%,1/1/1979,1979,,12,0.55%,77,397,2.87%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,€                                                         29.55,,,3/30/2015,,3/30/2015,,,,,0.85%,€               29.55,0.25,62.48,23.70,34.06,15%,111%,0.40%,1.05%,3.38%,254.31%,258.84%,1.3375,0.73%,-6.19%,,2010,0.09,0.00%,1/1/1980,1980,,13,0.57%,63,460,2.35%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,€                                                         30.08,,,4/7/2015,,4/6/2015,,,,,0.83%,€               30.08,0.25,62.48,23.70,34.06,16%,108%,0.40%,1.05%,3.33%,248.13%,252.58%,1.3375,0.73%,-4.52%,,2011,0.11,28.57%,1/1/1981,1981,,14,0.59%,101,561,3.76%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,€                                                          30.13,,,4/13/2015,,4/13/2015,,,,,0.83%,€                30.13,0.25,62.48,23.70,34.06,17%,107%,0.40%,1.05%,3.32%,247.55%,251.99%,1.3375,0.73%,-4.37%,,2012,0.13,11.11%,1/1/1982,1982,,15,0.61%,93,654,3.47%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,€                                                         29.95,,,4/20/2015,,4/20/2015,,,,,0.83%,€               29.95,0.25,62.48,23.70,34.06,16%,109%,0.40%,1.05%,3.34%,249.58%,254.05%,1.3375,0.73%,-4.92%,,2013,0.14,14.00%,1/1/1983,1983,,16,0.63%,131,785,4.88%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,€                                                         30.45,,,4/27/2015,,4/27/2015,,,,,0.82%,€               30.45,0.25,62.48,23.70,34.06,17%,105%,0.40%,1.05%,3.28%,243.84%,248.23%,1.3375,0.73%,-3.33%,,2014,0.18,22.81%,1/1/1984,1984,,17,0.65%,109,894,4.06%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,€                                                         29.80,,,5/4/2015,,5/4/2015,,,,,0.84%,€               29.80,0.25,62.48,23.70,34.06,16%,110%,0.40%,1.05%,3.36%,251.34%,255.83%,1.3375,0.73%,-5.40%,,2015,0.21,21.43%,1/1/1985,1985,,18,0.67%,127,1021,4.73%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,€                                                         30.25,,,5/11/2015,,5/11/2015,,,,,0.83%,€               30.25,0.25,62.48,23.70,34.06,17%,107%,0.40%,1.05%,3.31%,246.12%,250.54%,1.3375,0.73%,-3.97%,,2016,0.25,17.65%,1/1/1986,1986,,19,0.69%,159,1180,5.93%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,€                                                         30.00,,,5/18/2015,,5/18/2015,,,,,0.83%,€               30.00,0.25,62.48,23.70,34.06,16%,108%,0.40%,1.05%,3.33%,249.00%,253.46%,1.3375,0.73%,-4.76%,,2017,0.29,15.00%,1/1/1987,1987,,20,0.71%,145,1325,5.40%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,€                                                         29.35,,,5/25/2015,,5/26/2015,,,,,0.85%,€               29.35,0.25,62.48,23.70,34.06,15%,113%,0.40%,1.05%,3.41%,256.73%,261.29%,1.3375,0.73%,-6.83%,,2018,0.35,21.74%,1/1/1988,1988,,21,0.73%,127,1452,4.73%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,€                                                         28.75,,,6/1/2015,,6/1/2015,,,,,0.87%,€               28.75,0.25,62.48,23.70,34.06,13%,117%,0.40%,1.05%,3.48%,264.17%,268.83%,1.3375,0.73%,-8.73%,,2019,0.45,28.57%,1/1/1989,1989,,22,0.75%,100,1552,3.73%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,€                                                          28.18,,,6/8/2015,,6/8/2015,,,,,0.89%,€                28.18,0.25,62.48,23.70,34.06,12%,122%,0.40%,1.05%,3.55%,271.61%,276.35%,1.3375,0.73%,-10.56%,,2020,0.52,15.56%,1/1/1990,1990,,23,0.77%,149,1701,5.55%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,€                                                         27.23,,,6/15/2015,,6/15/2015,,,,,0.92%,€               27.23,0.25,62.48,23.70,34.06,9%,130%,0.40%,1.05%,3.67%,284.57%,289.49%,1.3375,0.73%,-13.57%,,2021,0.56,7.69%,1/1/1991,1991,,24,0.79%,122,1823,4.55%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,€                                                         26.25,,,6/22/2015,,6/22/2015,,,,,0.95%,€               26.25,0.25,62.48,23.70,34.06,7%,138%,0.40%,1.05%,3.81%,298.86%,303.95%,1.3375,0.73%,-16.67%,,2022,0.80,42.86%,1/1/1992,1992,,25,0.81%,106,1929,3.95%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,€                                                         26.50,,,6/29/2015,,6/29/2015,,,,,0.94%,€               26.50,0.25,62.48,23.70,34.06,7%,136%,0.40%,1.05%,3.77%,295.09%,300.14%,1.3375,0.73%,-15.87%,,2023,1.00,25.00%,1/1/1993,1993,,26,0.83%,109,2038,4.06%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,€                                                         28.00,,,7/6/2015,,7/6/2015,,,,,0.89%,€               28.00,0.25,62.48,23.70,34.06,11%,123%,0.40%,1.05%,3.57%,273.93%,278.71%,1.3375,0.73%,-11.11%,,2024,1.00,0.00%,1/1/1994,1994,,27,0.85%,131,2169,4.88%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,€                                                         27.48,,,7/13/2015,,7/13/2015,,,,,0.91%,€               27.48,0.25,62.48,23.70,34.06,10%,127%,0.40%,1.05%,3.64%,281.07%,285.94%,1.3375,0.73%,-12.78%,,2025,1.00,0.00%,1/1/1995,1995,,28,0.87%,68,2237,2.53%
