,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,RIO LN,Rio Tinto GBP,,,,,,,,,,90%,6%,$6.832,00,$  3.042,49,$  8.563,94,$      8.308,00,$  12.150,18,11.78%,4.35%,6.55%,20.48%,333.09%,382.36%,156%,,,,,,,NO,,,11.26%,3.47%,7.79%,0.10%,78
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,-0.74%,,Rio Tinto GBP - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,10.38%,11/10/2017,,,,,,,,,,$   5.120,03,-25%,4.62%,$   7.264,10,$   1.750,72,$       1.577,50,$   1.040,33,3.28%,10.38%,6.17%,3.89%,-17.77%,-17.77%,-9%,,,,5Y CAGR,-8.51%,,Rio Tinto GBP - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,11.33%,,Rio Tinto GBP - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Rio Tinto GBP - Rating: 90% - Upside: 6%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                 1.902,50,,,12/29/2014,,12/29/2014,,,,,5.68%,1.902,50,108.01,2.483,85,1.040,33,1.750,72,60%,31%,4.35%,10.38%,16.98%,259.11%,299.96%,777.23,6.17%,0.00%,,1997,0.00,-,90,,,0,3.47%,15,15,0.56%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,1.939,50,,,1/5/2015,,1/5/2015,,,,,5.57%,1.939,50,108.01,2.483,85,1.040,33,1.750,72,62%,28%,4.35%,10.38%,16.65%,252.26%,292.33%,777.23,6.17%,0.00%,,1998,0.00,,6,,,1,3.57%,7,22,0.26%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,1.846,50,,,1/12/2015,,1/12/2015,,,,,5.85%,1.846,50,108.01,2.483,85,1.040,33,1.750,72,56%,35%,4.35%,10.38%,17.49%,270.00%,312.09%,777.23,6.17%,-4.80%,,1999,0.00,,,,,2,3.67%,2,24,0.07%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,1.784,50,,,1/19/2015,,1/20/2015,,,,,6.05%,1.784,50,108.01,2.483,85,1.040,33,1.750,72,52%,39%,4.35%,10.38%,18.10%,282.85%,326.41%,777.23,6.17%,-7.99%,,2000,0.00,,1/1/1970,1970,,3,3.77%,10,34,0.37%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,1.739,00,,,1/26/2015,,1/26/2015,,,,,6.21%,1.739,00,108.01,2.483,85,1.040,33,1.750,72,48%,43%,4.35%,10.38%,18.58%,292.87%,337.56%,777.23,6.17%,-10.34%,,2001,0.00,,1/1/1971,1971,,4,3.87%,7,41,0.26%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,1.697,00,,,2/2/2015,,2/2/2015,,,,,6.36%,1.697,00,108.01,2.483,85,1.040,33,1.750,72,45%,46%,4.35%,10.38%,19.03%,302.59%,348.39%,777.23,6.17%,-12.50%,,2002,46.52,,1/1/1972,1972,,5,3.97%,19,60,0.70%
