,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ROL US,#N/A Connection,,,,,,,,,,-20%,97%,$       39.07,$          45.53,$          56.62,$             65.60,$           77.10,1.76%,0.88%,1.19%,5.07%,267.06%,275.62%,158%,,,,,,,NO,,,1.61%,0.75%,0.86%,0.02%,43
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,7.85%,,#N/A Connection - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.49%,11/10/2017,,,,,,,,,,$          56.62,45%,1.73%,$           77.10,$           14.86,$              10.64,$            11.95,0.71%,1.49%,1.20%,0.82%,-40.44%,-40.44%,-22%,,,,5Y CAGR,14.79%,,#N/A Connection - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,14.31%,,#N/A Connection - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,#N/A Connection - Rating: -20% - Upside: 97%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                          11.18,,,12/29/2014,,12/29/2014,,,,,1.59%,$                11.18,0.18,20.23,11.95,14.86,-9%,81%,0.88%,1.49%,4.83%,249.36%,257.51%,0.911111111,1.20%,0.00%,,1997,#N/A Connection,-,-20,,,0,0.75%,21,21,0.79%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                          11.14,,,1/5/2015,,1/5/2015,,,,,1.60%,$                11.14,0.18,20.23,11.95,14.86,-10%,82%,0.88%,1.49%,4.85%,250.61%,258.78%,0.911111111,1.20%,-0.36%,,1998,#N/A Connection,,97,,,1,0.77%,17,38,0.64%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        10.99,,,1/12/2015,,1/12/2015,,,,,1.62%,$              10.99,0.18,20.23,11.95,14.86,-12%,84%,0.88%,1.49%,4.91%,255.40%,263.69%,0.911111111,1.20%,-1.70%,,1999,#N/A Connection,,,,,2,0.79%,11,49,0.41%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        10.73,,,1/20/2015,,1/20/2015,,,,,1.66%,$              10.73,0.18,20.23,11.95,14.86,-15%,89%,0.88%,1.49%,5.03%,264.04%,272.53%,0.911111111,1.20%,-4.03%,,2000,#N/A Connection,,1/1/1970,1970,,3,0.81%,34,83,1.28%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        10.66,,,1/26/2015,,1/26/2015,,,,,1.67%,$              10.66,0.18,20.23,11.95,14.86,-16%,90%,0.88%,1.49%,5.06%,266.45%,275.00%,0.911111111,1.20%,-4.66%,,2001,#N/A Connection,,1/1/1971,1971,,4,0.83%,12,95,0.45%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                        10.64,,,2/2/2015,,2/2/2015,,,,,1.67%,$              10.64,0.18,20.23,11.95,14.86,-16%,90%,0.88%,1.49%,5.07%,267.06%,275.62%,0.911111111,1.20%,-4.82%,,2002,#N/A Connection,,1/1/1972,1972,,5,0.85%,21,116,0.79%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                         11.44,,,2/9/2015,,2/9/2015,,,,,1.55%,$               11.44,0.18,20.23,11.95,14.86,-6%,77%,0.88%,1.49%,4.72%,241.40%,249.36%,0.911111111,1.20%,0.00%,,2003,#N/A Connection,,1/1/1973,1973,,6,0.87%,28,144,1.05%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                          11.18,,,2/17/2015,,2/17/2015,,,,,1.59%,$                11.18,0.18,20.23,11.95,14.86,-9%,81%,0.88%,1.49%,4.83%,249.36%,257.51%,0.911111111,1.20%,-2.28%,,2004,#N/A Connection,,1/1/1974,1974,,7,0.89%,53,197,2.00%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                         11.33,,,2/23/2015,,2/23/2015,,,,,1.57%,$               11.33,0.18,20.23,11.95,14.86,-7%,79%,0.88%,1.49%,4.76%,244.73%,252.77%,0.911111111,1.20%,-0.97%,,2005,#N/A Connection,,1/1/1975,1975,,8,0.91%,44,241,1.66%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                         11.26,,,3/2/2015,,3/2/2015,,,,,1.58%,$               11.26,0.18,20.23,11.95,14.86,-8%,80%,0.88%,1.49%,4.79%,246.89%,254.98%,0.911111111,1.20%,-1.58%,,2006,#N/A Connection,,1/1/1976,1976,,9,0.93%,51,292,1.92%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                         11.28,,,3/9/2015,,3/9/2015,,,,,1.58%,$               11.28,0.18,20.23,11.95,14.86,-8%,79%,0.88%,1.49%,4.79%,246.49%,254.57%,0.911111111,1.20%,-1.47%,,2007,#N/A Connection,,1/1/1977,1977,,10,0.95%,60,352,2.26%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                         11.35,,,3/16/2015,,3/16/2015,,,,,1.57%,$               11.35,0.18,20.23,11.95,14.86,-7%,78%,0.88%,1.49%,4.76%,244.19%,252.22%,0.911111111,1.20%,-0.81%,,2008,#N/A Connection,,1/1/1978,1978,,11,0.97%,63,415,2.37%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                         11.27,,,3/23/2015,,3/23/2015,,,,,1.58%,$               11.27,0.18,20.23,11.95,14.86,-8%,80%,0.88%,1.49%,4.79%,246.76%,254.85%,0.911111111,1.20%,-1.55%,,2009,#N/A Connection,,1/1/1979,1979,,12,0.99%,77,492,2.90%
