,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ROP US,Roper Technologies Inc,,,,,,,,,,-18%,83%,$    375.02,$        421.75,$       573.32,$           593.81,$       687.39,1.05%,0.48%,0.60%,1.72%,136.02%,139.86%,116%,,,,,,,NO,,,1.01%,0.46%,0.56%,0.01%,56
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,6.52%,,Roper Technologies Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,0.78%,11/10/2017,,,,,,,,,,$       573.32,53%,0.88%,$       687.39,$       208.48,$           158.89,$        153.36,0.45%,0.78%,0.58%,0.46%,-36.85%,-36.85%,-40%,,,,5Y CAGR,7.96%,,Roper Technologies Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,10.65%,,Roper Technologies Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Roper Technologies Inc - Rating: -18% - Upside: 83%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                      186.51,,,12/29/2014,,12/29/2014,,,,,0.64%,$            186.51,1.20,249.96,153.36,208.48,34%,34%,0.48%,0.78%,1.46%,101.07%,104.34%,6.1,0.58%,0.00%,,1997,0.00,-,-18,,,0,0.46%,55,55,2.07%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                     187.56,,,1/5/2015,,1/5/2015,,,,,0.64%,$           187.56,1.20,249.96,153.36,208.48,35%,33%,0.48%,0.78%,1.46%,99.95%,103.20%,6.1,0.58%,0.00%,,1998,0.00,,83,,,1,0.47%,57,112,2.15%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                     183.37,,,1/12/2015,,1/12/2015,,,,,0.65%,$           183.37,1.20,249.96,153.36,208.48,31%,36%,0.48%,0.78%,1.49%,104.52%,107.84%,6.1,0.58%,-2.23%,,1999,0.00,,,,,2,0.48%,52,164,1.96%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                     177.89,,,1/20/2015,,1/20/2015,,,,,0.67%,$           177.89,1.20,249.96,153.36,208.48,25%,41%,0.48%,0.78%,1.53%,110.82%,114.24%,6.1,0.58%,-5.16%,,2000,0.00,,1/1/1970,1970,,3,0.49%,51,215,1.92%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                     175.62,,,1/26/2015,,1/26/2015,,,,,0.68%,$           175.62,1.20,249.96,153.36,208.48,23%,42%,0.48%,0.78%,1.55%,113.54%,117.01%,6.1,0.58%,-6.37%,,2001,0.00,,1/1/1971,1971,,4,0.50%,71,286,2.67%
