,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,RPM US,RPM International Inc,,,,,,,,,,74%,13%,$     107.77,$          66.58,$          89.93,$           140.26,$         121.88,3.12%,1.41%,1.94%,4.60%,188.31%,201.86%,133%,,,,,,,NO,,,2.90%,1.26%,1.64%,0.03%,55
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,RPM International Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.58%,11/10/2017,,,,,,,,,,$          89.93,-17%,1.60%,$         121.88,$          58.82,$             37.38,$          43.55,1.23%,2.58%,1.91%,1.23%,-23.16%,-23.16%,-21%,,,,5Y CAGR,2.24%,,RPM International Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.34%,,RPM International Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,RPM International Inc - Rating: 74% - Upside: 13%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        43.16,,,12/29/2014,,12/29/2014,,,,,2.61%,$              43.16,1.13,79.72,43.55,58.82,-1%,85%,1.41%,2.58%,3.99%,149.70%,161.43%,5.065,1.91%,0.00%,,1997,0.00,-,74,,,0,1.26%,16,16,0.60%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       42.93,,,1/5/2015,,1/5/2015,,,,,2.62%,$             42.93,1.13,79.72,43.55,58.82,-2%,86%,1.41%,2.58%,4.01%,151.04%,162.83%,5.065,1.91%,-0.53%,,1998,0.00,,13,,,1,1.29%,12,28,0.45%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       42.44,,,1/12/2015,,1/12/2015,,,,,2.65%,$             42.44,1.13,79.72,43.55,58.82,-3%,88%,1.41%,2.58%,4.05%,153.93%,165.87%,5.065,1.91%,-1.67%,,1999,0.00,,,,,2,1.32%,18,46,0.68%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        41.64,,,1/20/2015,,1/20/2015,,,,,2.70%,$              41.64,1.13,79.72,43.55,58.82,-5%,91%,1.41%,2.58%,4.13%,158.81%,170.98%,5.065,1.91%,-3.52%,,2000,0.00,,1/1/1970,1970,,3,1.35%,33,79,1.24%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                         41.21,,,1/26/2015,,1/26/2015,,,,,2.73%,$               41.21,1.13,79.72,43.55,58.82,-6%,93%,1.41%,2.58%,4.17%,161.51%,173.80%,5.065,1.91%,-4.52%,,2001,0.00,,1/1/1971,1971,,4,1.38%,43,122,1.62%
