,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,RUI FP,Rubis SCA,,,,,,,,,,21%,127%,$       32.68,$           21.78,$          38.60,$              63.16,$          74.22,10.01%,2.59%,5.32%,10.01%,70.44%,70.44%,117%,,,,,,,NO,,,9.51%,2.35%,7.15%,0.10%,72
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Rubis SCA - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,8.81%,11/10/2017,,,,,,,,,,$          38.60,18%,5.88%,$          74.22,$          24.32,$               19.17,$           13.73,2.32%,8.81%,4.97%,3.04%,-48.26%,-43.36%,-5%,,,,5Y CAGR,1.30%,,Rubis SCA - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.73%,,Rubis SCA - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Rubis SCA - Rating: 21% - Upside: 127%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       33.79,,,12/29/2014,,12/29/2014,,,,,3.58%,€               33.79,1.21,46.78,13.73,24.32,61%,38%,2.59%,8.81%,5.68%,-3.29%,13.40%,5.64,4.97%,0.00%,,1997,0.00,-,21,,,0,2.35%,27,27,1.00%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                         33.77,,,1/5/2015,,1/5/2015,,,,,3.58%,€               33.77,1.21,46.78,13.73,24.32,61%,39%,2.59%,8.81%,5.69%,-3.22%,13.48%,5.64,4.97%,-0.07%,,1998,0.00,,127,,,1,2.45%,55,82,2.03%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                         33.63,,,1/12/2015,,1/12/2015,,,,,3.60%,€               33.63,1.21,46.78,13.73,24.32,60%,39%,2.59%,8.81%,5.71%,-2.83%,13.94%,5.64,4.97%,-0.47%,,1999,0.00,,,,,2,2.55%,113,195,4.18%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                         33.76,,,1/19/2015,,1/20/2015,,,,,3.58%,€               33.76,1.21,46.78,13.73,24.32,61%,39%,2.59%,8.81%,5.69%,-3.19%,13.52%,5.64,4.97%,-0.10%,,2000,0.00,,1/1/1970,1970,,3,2.65%,63,258,2.33%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                         33.30,,,1/26/2015,,1/26/2015,,,,,3.63%,€               33.30,1.21,46.78,13.73,24.32,59%,40%,2.59%,8.81%,5.77%,-1.87%,15.06%,5.64,4.97%,-1.44%,,2001,0.00,,1/1/1971,1971,,4,2.75%,19,277,0.70%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                         32.87,,,2/2/2015,,2/2/2015,,,,,3.68%,€               32.87,1.21,46.78,13.73,24.32,58%,42%,2.59%,8.81%,5.84%,-0.57%,16.59%,5.64,4.97%,-2.73%,,2002,0.37,,1/1/1972,1972,,5,2.85%,12,289,0.44%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,€                                                         32.88,,,2/9/2015,,2/9/2015,,,,,3.68%,€               32.88,1.21,46.78,13.73,24.32,58%,42%,2.59%,8.81%,5.84%,-0.62%,16.54%,5.64,4.97%,-2.69%,,2003,0.38,0.80%,1/1/1973,1973,,6,2.95%,76,365,2.81%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,€                                                         33.50,,,2/16/2015,,2/17/2015,,,,,3.61%,€               33.50,1.21,46.78,13.73,24.32,60%,40%,2.59%,8.81%,5.73%,-2.44%,14.40%,5.64,4.97%,-0.87%,,2004,0.36,-5.77%,1/1/1974,1974,,7,3.05%,113,478,4.18%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,€                                                          33.16,,,2/23/2015,,2/23/2015,,,,,3.65%,€                33.16,1.21,46.78,13.73,24.32,59%,41%,2.59%,8.81%,5.79%,-1.46%,15.55%,5.64,4.97%,-1.86%,,2005,0.38,5.63%,1/1/1975,1975,,8,3.15%,165,643,6.10%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,€                                                         32.74,,,3/2/2015,,3/2/2015,,,,,3.70%,€               32.74,1.21,46.78,13.73,24.32,58%,43%,2.59%,8.81%,5.86%,-0.19%,17.03%,5.64,4.97%,-3.10%,,2006,0.48,26.67%,1/1/1976,1976,,9,3.25%,92,735,3.40%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,€                                                         32.42,,,3/9/2015,,3/9/2015,,,,,3.73%,€               32.42,1.21,46.78,13.73,24.32,57%,44%,2.59%,8.81%,5.92%,0.81%,18.20%,5.64,4.97%,-4.06%,,2007,0.54,12.63%,1/1/1977,1977,,10,3.35%,83,818,3.07%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,€                                                          32.31,,,3/16/2015,,3/16/2015,,,,,3.74%,€                32.31,1.21,46.78,13.73,24.32,56%,45%,2.59%,8.81%,5.94%,1.14%,18.59%,5.64,4.97%,-4.38%,,2008,0.61,14.49%,1/1/1978,1978,,11,3.45%,91,909,3.37%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,€                                                         32.88,,,3/23/2015,,3/23/2015,,,,,3.68%,€               32.88,1.21,46.78,13.73,24.32,58%,42%,2.59%,8.81%,5.84%,-0.60%,16.55%,5.64,4.97%,-2.70%,,2009,0.66,8.16%,1/1/1979,1979,,12,3.55%,65,974,2.40%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,€                                                          31.58,,,3/30/2015,,3/30/2015,,,,,3.83%,€                31.58,1.21,46.78,13.73,24.32,54%,48%,2.59%,8.81%,6.08%,3.47%,21.33%,5.64,4.97%,-6.54%,,2010,0.71,7.55%,1/1/1980,1980,,13,3.65%,57,1031,2.11%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,€                                                          31.59,,,4/7/2015,,4/6/2015,,,,,3.83%,€                31.59,1.21,46.78,13.73,24.32,54%,48%,2.59%,8.81%,6.08%,3.44%,21.29%,5.64,4.97%,-6.51%,,2011,0.76,7.02%,1/1/1981,1981,,14,3.75%,15,1046,0.55%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,€                                                         32.23,,,4/13/2015,,4/13/2015,,,,,3.75%,€               32.23,1.21,46.78,13.73,24.32,56%,45%,2.59%,8.81%,5.96%,1.41%,18.91%,5.64,4.97%,-4.63%,,2012,0.84,9.51%,1/1/1982,1982,,15,3.85%,7,1053,0.26%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,€                                                         32.45,,,4/20/2015,,4/20/2015,,,,,3.73%,€               32.45,1.21,46.78,13.73,24.32,57%,44%,2.59%,8.81%,5.92%,0.72%,18.10%,5.64,4.97%,-3.98%,,2013,0.92,10.18%,1/1/1983,1983,,16,3.95%,8,1061,0.30%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,€                                                         32.53,,,4/27/2015,,4/27/2015,,,,,3.72%,€               32.53,1.21,46.78,13.73,24.32,57%,44%,2.59%,8.81%,5.90%,0.46%,17.80%,5.64,4.97%,-3.73%,,2014,0.98,5.98%,1/1/1984,1984,,17,4.05%,15,1076,0.55%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,€                                                         32.94,,,5/4/2015,,5/4/2015,,,,,3.67%,€               32.94,1.21,46.78,13.73,24.32,58%,42%,2.59%,8.81%,5.83%,-0.79%,16.33%,5.64,4.97%,-2.52%,,2015,1.03,5.13%,1/1/1985,1985,,18,4.15%,15,1091,0.55%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,€                                                         32.60,,,5/11/2015,,5/11/2015,,,,,3.71%,€               32.60,1.21,46.78,13.73,24.32,57%,43%,2.59%,8.81%,5.89%,0.24%,17.54%,5.64,4.97%,-3.52%,,2016,1.21,18.05%,1/1/1986,1986,,19,4.25%,13,1104,0.48%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,€                                                         33.28,,,5/18/2015,,5/18/2015,,,,,3.64%,€               33.28,1.21,46.78,13.73,24.32,59%,41%,2.59%,8.81%,5.77%,-1.81%,15.13%,5.64,4.97%,-1.50%,,2017,1.34,10.74%,1/1/1987,1987,,20,4.35%,15,1119,0.55%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,€                                                         33.93,,,5/25/2015,,5/26/2015,,,,,3.57%,€               33.93,1.21,46.78,13.73,24.32,61%,38%,2.59%,8.81%,5.66%,-3.69%,12.93%,5.64,4.97%,0.00%,,2018,1.50,11.94%,1/1/1988,1988,,21,4.45%,49,1168,1.81%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,€                                                          33.16,,,6/1/2015,,6/1/2015,,,,,3.65%,€                33.16,1.21,46.78,13.73,24.32,59%,41%,2.59%,8.81%,5.79%,-1.44%,15.57%,5.64,4.97%,-2.28%,,2019,1.59,6.00%,1/1/1989,1989,,22,4.55%,42,1210,1.55%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,€                                                         32.37,,,6/8/2015,,6/8/2015,,,,,3.74%,€               32.37,1.21,46.78,13.73,24.32,56%,44%,2.59%,8.81%,5.93%,0.96%,18.38%,5.64,4.97%,-4.60%,,2020,1.75,10.06%,1/1/1990,1990,,23,4.65%,39,1249,1.44%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,€                                                          31.90,,,6/15/2015,,6/15/2015,,,,,3.79%,€                31.90,1.21,46.78,13.73,24.32,55%,47%,2.59%,8.81%,6.02%,2.44%,20.12%,5.64,4.97%,-5.98%,,2021,1.80,2.86%,1/1/1991,1991,,24,4.75%,54,1303,2.00%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,€                                                          31.29,,,6/22/2015,,6/22/2015,,,,,3.87%,€                31.29,1.21,46.78,13.73,24.32,53%,49%,2.59%,8.81%,6.14%,4.45%,22.47%,5.64,4.97%,-7.79%,,2022,1.86,3.33%,1/1/1992,1992,,25,4.85%,31,1334,1.15%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,€                                                         29.60,,,6/29/2015,,6/29/2015,,,,,4.09%,€               29.60,1.21,46.78,13.73,24.32,48%,58%,2.59%,8.81%,6.49%,10.42%,29.47%,5.64,4.97%,-12.77%,,2023,1.92,3.23%,1/1/1993,1993,,26,4.95%,15,1349,0.55%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,€                                                         29.25,,,7/6/2015,,7/6/2015,,,,,4.14%,€               29.25,1.21,46.78,13.73,24.32,47%,60%,2.59%,8.81%,6.56%,11.73%,31.01%,5.64,4.97%,-13.80%,,2024,1.92,0.00%,1/1/1994,1994,,27,5.05%,10,1359,0.37%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,€                                                         29.57,,,7/13/2015,,7/13/2015,,,,,4.09%,€               29.57,1.21,46.78,13.73,24.32,48%,58%,2.59%,8.81%,6.49%,10.53%,29.60%,5.64,4.97%,-12.86%,,2025,1.92,0.00%,1/1/1995,1995,,28,5.15%,9,1368,0.33%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,€                                                         28.75,,,7/20/2015,,7/20/2015,,,,,4.21%,€               28.75,1.21,46.78,13.73,24.32,45%,63%,2.59%,8.81%,6.68%,13.66%,33.28%,5.64,4.97%,-15.27%,,2026,1.92,0.00%,1/1/1996,1996,,29,5.25%,17,1385,0.63%
,,,,,,,,,,,,,,,,,,2016,2/15/2016,€                                                         30.48,,,7/27/2015,,7/27/2015,,,,,3.97%,€               30.48,1.21,46.78,13.73,24.32,51%,53%,2.59%,8.81%,6.30%,7.21%,25.72%,5.64,4.97%,-10.17%,,,,,1/1/1997,1997,,30,5.35%,30,1415,1.11%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,€                                                          31.02,,,8/3/2015,,8/3/2015,,,,,3.90%,€                31.02,1.21,46.78,13.73,24.32,52%,51%,2.59%,8.81%,6.19%,5.34%,23.52%,5.64,4.97%,-8.57%,,,,,1/1/1998,1998,,31,5.45%,41,1456,1.52%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,€                                                         30.85,,,8/10/2015,,8/10/2015,,,,,3.92%,€               30.85,1.21,46.78,13.73,24.32,52%,52%,2.59%,8.81%,6.22%,5.94%,24.22%,5.64,4.97%,-9.09%,,,,,1/1/1999,1999,,32,5.55%,31,1487,1.15%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,€                                                          31.70,,,8/17/2015,,8/17/2015,,,,,3.82%,€                31.70,1.21,46.78,13.73,24.32,54%,48%,2.59%,8.81%,6.06%,3.08%,20.87%,5.64,4.97%,-6.57%,,,,,1/1/2000,2000,,33,5.65%,26,1513,0.96%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,€                                                         32.49,,,8/24/2015,,8/24/2015,,,,,3.72%,€               32.49,1.21,46.78,13.73,24.32,57%,44%,2.59%,8.81%,5.91%,0.60%,17.96%,5.64,4.97%,-4.26%,,,,,1/1/2001,2001,,34,5.75%,23,1536,0.85%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,€                                                         32.43,,,8/31/2015,,8/31/2015,,,,,3.73%,€               32.43,1.21,46.78,13.73,24.32,57%,44%,2.59%,8.81%,5.92%,0.78%,18.17%,5.64,4.97%,-4.43%,,,,,1/1/2002,2002,,35,5.85%,41,1577,1.52%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,€                                                         32.98,,,9/7/2015,,9/8/2015,,,,,3.67%,€               32.98,1.21,46.78,13.73,24.32,58%,42%,2.59%,8.81%,5.82%,-0.91%,16.19%,5.64,4.97%,-2.81%,,,,,1/1/2003,2003,,36,5.95%,46,1623,1.70%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,€                                                         32.57,,,9/14/2015,,9/14/2015,,,,,3.72%,€               32.57,1.21,46.78,13.73,24.32,57%,44%,2.59%,8.81%,5.90%,0.34%,17.66%,5.64,4.97%,-4.02%,,,,,1/1/2004,2004,,37,6.05%,58,1681,2.15%
,,,,,,,,,,,,,,,,,,2016,2/25/2016,€                                                          32.14,,,9/21/2015,,9/21/2015,,,,,3.76%,€                32.14,1.21,46.78,13.73,24.32,56%,46%,2.59%,8.81%,5.97%,1.67%,19.22%,5.64,4.97%,-5.27%,,,,,1/1/2005,2005,,38,6.15%,35,1716,1.29%
