,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,RY CN,Royal Bank of Canada,,,,,,,,,,170%,-23%,$      296.11,$        128.45,$        155.38,$          305.74,$        227.16,5.94%,2.61%,3.77%,8.22%,355.55%,377.95%,180%,,,,,,,NO,,,5.17%,2.01%,3.17%,0.04%,79
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,3.50%,,Royal Bank of Canada - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.61%,11/10/2017,,,,,,,,,,$        155.38,-48%,2.00%,$        227.16,$          85.04,$             65.00,$          70.30,1.94%,4.61%,3.81%,1.75%,-3.15%,-3.15%,-29%,,,,5Y CAGR,6.50%,,Royal Bank of Canada - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,6.21%,,Royal Bank of Canada - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Royal Bank of Canada - Rating: 170% - Upside: -23%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       73.04,,,12/29/2014,,12/29/2014,,,,,4.44%,$             73.04,3.24,124.32,70.30,85.04,5%,70%,2.61%,4.61%,7.31%,305.41%,325.34%,14.56,3.81%,0.00%,,1997,0.00,-,170,,,0,2.01%,7,7,0.26%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       72.82,,,1/5/2015,,1/5/2015,,,,,4.45%,$             72.82,3.24,124.32,70.30,85.04,5%,71%,2.61%,4.61%,7.33%,306.63%,326.63%,14.56,3.81%,-0.30%,,1998,0.00,,-23,,,1,2.05%,7,14,0.26%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        71.57,,,1/12/2015,,1/12/2015,,,,,4.53%,$              71.57,3.24,124.32,70.30,85.04,2%,74%,2.61%,4.61%,7.46%,313.73%,334.08%,14.56,3.81%,-2.01%,,1999,0.00,,,,,2,2.09%,3,17,0.11%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       70.25,,,1/19/2015,,1/20/2015,,,,,4.61%,$             70.25,3.24,124.32,70.30,85.04,0%,77%,2.61%,4.61%,7.60%,321.51%,342.23%,14.56,3.81%,-3.82%,,2000,0.00,,1/1/1970,1970,,3,2.13%,4,21,0.15%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       70.07,,,1/26/2015,,1/26/2015,,,,,4.62%,$             70.07,3.24,124.32,70.30,85.04,0%,77%,2.61%,4.61%,7.62%,322.59%,343.37%,14.56,3.81%,-4.07%,,2001,0.00,,1/1/1971,1971,,4,2.17%,3,24,0.11%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                        70.41,,,2/2/2015,,2/2/2015,,,,,4.60%,$              70.41,3.24,124.32,70.30,85.04,0%,77%,2.61%,4.61%,7.58%,320.55%,341.23%,14.56,3.81%,-3.60%,,2002,0.76,,1/1/1972,1972,,5,2.21%,4,28,0.15%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       70.92,,,2/9/2015,,2/9/2015,,,,,4.57%,$             70.92,3.24,124.32,70.30,85.04,1%,75%,2.61%,4.61%,7.53%,317.53%,338.06%,14.56,3.81%,-2.90%,,2003,0.86,13.16%,1/1/1973,1973,,6,2.25%,6,34,0.23%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        69.15,,,2/17/2015,,2/17/2015,,,,,4.69%,$              69.15,3.24,124.32,70.30,85.04,-2%,80%,2.61%,4.61%,7.72%,328.21%,349.27%,14.56,3.81%,-5.33%,,2004,1.01,17.44%,1/1/1974,1974,,7,2.29%,1,35,0.04%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       69.57,,,2/23/2015,,2/23/2015,,,,,4.66%,$             69.57,3.24,124.32,70.30,85.04,-1%,79%,2.61%,4.61%,7.68%,325.63%,346.56%,14.56,3.81%,-4.75%,,2005,1.18,16.34%,1/1/1975,1975,,8,2.33%,3,38,0.11%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       67.05,,,3/2/2015,,3/2/2015,,,,,4.83%,$             67.05,3.24,124.32,70.30,85.04,-6%,85%,2.61%,4.61%,7.96%,341.63%,363.34%,14.56,3.81%,-8.20%,,2006,1.44,22.55%,1/1/1976,1976,,9,2.37%,6,44,0.23%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,$                                                       66.87,,,3/9/2015,,3/9/2015,,,,,4.85%,$             66.87,3.24,124.32,70.30,85.04,-6%,86%,2.61%,4.61%,7.99%,342.81%,364.59%,14.56,3.81%,-8.45%,,2007,1.82,26.39%,1/1/1977,1977,,10,2.41%,8,52,0.30%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       67.43,,,3/16/2015,,3/16/2015,,,,,4.80%,$             67.43,3.24,124.32,70.30,85.04,-5%,84%,2.61%,4.61%,7.92%,339.14%,360.73%,14.56,3.81%,-7.68%,,2008,2.00,9.89%,1/1/1978,1978,,11,2.45%,10,62,0.38%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       65.62,,,3/23/2015,,3/23/2015,,,,,4.94%,$             65.62,3.24,124.32,70.30,85.04,-9%,89%,2.61%,4.61%,8.14%,351.25%,373.44%,14.56,3.81%,-10.16%,,2009,2.00,0.00%,1/1/1979,1979,,12,2.49%,19,81,0.72%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       66.83,,,3/30/2015,,3/30/2015,,,,,4.85%,$             66.83,3.24,124.32,70.30,85.04,-6%,86%,2.61%,4.61%,7.99%,343.08%,364.87%,14.56,3.81%,-8.50%,,2010,2.00,0.00%,1/1/1980,1980,,13,2.53%,22,103,0.83%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       69.34,,,4/6/2015,,4/6/2015,,,,,4.67%,$             69.34,3.24,124.32,70.30,85.04,-2%,79%,2.61%,4.61%,7.70%,327.04%,348.04%,14.56,3.81%,-5.07%,,2011,2.08,4.00%,1/1/1981,1981,,14,2.57%,17,120,0.64%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                       67.03,,,4/13/2015,,4/13/2015,,,,,4.83%,$             67.03,3.24,124.32,70.30,85.04,-6%,85%,2.61%,4.61%,7.97%,341.76%,363.48%,14.56,3.81%,-8.23%,,2012,2.28,9.62%,1/1/1982,1982,,15,2.61%,16,136,0.60%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       67.62,,,4/20/2015,,4/20/2015,,,,,4.79%,$             67.62,3.24,124.32,70.30,85.04,-5%,84%,2.61%,4.61%,7.90%,337.90%,359.44%,14.56,3.81%,-7.42%,,2013,2.53,10.96%,1/1/1983,1983,,16,2.65%,8,144,0.30%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       68.63,,,4/27/2015,,4/27/2015,,,,,4.72%,$             68.63,3.24,124.32,70.30,85.04,-3%,81%,2.61%,4.61%,7.78%,331.46%,352.67%,14.56,3.81%,-6.04%,,2014,2.84,12.25%,1/1/1984,1984,,17,2.69%,5,149,0.19%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                        71.05,,,5/4/2015,,5/4/2015,,,,,4.56%,$              71.05,3.24,124.32,70.30,85.04,1%,75%,2.61%,4.61%,7.52%,316.76%,337.26%,14.56,3.81%,-2.72%,,2015,3.08,8.45%,1/1/1985,1985,,18,2.73%,6,155,0.23%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                       72.55,,,5/11/2015,,5/11/2015,,,,,4.47%,$             72.55,3.24,124.32,70.30,85.04,4%,71%,2.61%,4.61%,7.36%,308.15%,328.22%,14.56,3.81%,-0.67%,,2016,3.24,5.19%,1/1/1986,1986,,19,2.77%,2,157,0.08%
