,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,SAFE LN,Safestore Holdings PLC,,,,,,,,,,-1%,145%,$    622.00,$        631.97,$   1.047,27,$        1.418,00,$   1.522,57,5.73%,1.99%,3.10%,9.71%,99.42%,116.75%,168%,,,,,,,NO,,,5.15%,1.47%,3.68%,0.05%,74
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Safestore Holdings PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.79%,11/10/2017,,,,,,,,,,$   1.047,27,68%,4.87%,$   1.522,57,$       354.28,$            311.90,$        213.79,1.42%,4.79%,2.89%,2.14%,-56.14%,-56.14%,-12%,,,,5Y CAGR,8.45%,,Safestore Holdings PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,11.45%,,Safestore Holdings PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Safestore Holdings PLC - Rating: -1% - Upside: 145%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                    353.70,,,12/29/2014,,12/29/2014,,,,,2.90%,353.70,10.25,515.06,213.79,354.28,46%,46%,1.99%,4.79%,8.57%,75.86%,91.14%,54.05,2.89%,0.00%,,1997,0.00,-,-1,,,0,1.47%,13,13,0.48%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,360.50,,,1/5/2015,,1/5/2015,,,,,2.84%,360.50,10.25,515.06,213.79,354.28,49%,43%,1.99%,4.79%,8.40%,72.54%,87.53%,54.05,2.89%,0.00%,,1998,0.00,,145,,,1,1.52%,5,18,0.19%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,361.20,,,1/12/2015,,1/12/2015,,,,,2.84%,361.20,10.25,515.06,213.79,354.28,49%,43%,1.99%,4.79%,8.39%,72.20%,87.17%,54.05,2.89%,0.00%,,1999,0.00,,,,,2,1.57%,8,26,0.30%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,356.00,,,1/19/2015,,1/20/2015,,,,,2.88%,356.00,10.25,515.06,213.79,354.28,47%,45%,1.99%,4.79%,8.51%,74.72%,89.90%,54.05,2.89%,-1.44%,,2000,0.00,,1/1/1970,1970,,3,1.62%,6,32,0.22%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,354.90,,,1/26/2015,,1/26/2015,,,,,2.89%,354.90,10.25,515.06,213.79,354.28,47%,45%,1.99%,4.79%,8.54%,75.26%,90.49%,54.05,2.89%,-1.74%,,2001,0.00,,1/1/1971,1971,,4,1.67%,15,47,0.56%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,358.60,,,2/2/2015,,2/2/2015,,,,,2.86%,358.60,10.25,515.06,213.79,354.28,48%,44%,1.99%,4.79%,8.45%,73.45%,88.52%,54.05,2.89%,-0.72%,,2002,0.00,,1/1/1972,1972,,5,1.72%,9,56,0.33%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,356.10,,,2/9/2015,,2/9/2015,,,,,2.88%,356.10,10.25,515.06,213.79,354.28,47%,45%,1.99%,4.79%,8.51%,74.67%,89.85%,54.05,2.89%,-1.41%,,2003,0.00,,1/1/1973,1973,,6,1.77%,17,73,0.63%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,353.60,,,2/16/2015,,2/17/2015,,,,,2.90%,353.60,10.25,515.06,213.79,354.28,46%,46%,1.99%,4.79%,8.57%,75.90%,91.19%,54.05,2.89%,-2.10%,,2004,0.00,,1/1/1974,1974,,7,1.82%,12,85,0.44%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,345.80,,,2/23/2015,,2/23/2015,,,,,2.96%,345.80,10.25,515.06,213.79,354.28,44%,49%,1.99%,4.79%,8.76%,79.87%,95.50%,54.05,2.89%,-4.26%,,2005,0.00,,1/1/1975,1975,,8,1.87%,13,98,0.48%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,337.20,,,3/2/2015,,3/2/2015,,,,,3.04%,337.20,10.25,515.06,213.79,354.28,41%,53%,1.99%,4.79%,8.99%,84.46%,100.49%,54.05,2.89%,-6.64%,,2006,0.00,,1/1/1976,1976,,9,1.92%,20,118,0.74%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,333.10,,,3/9/2015,,3/9/2015,,,,,3.08%,333.10,10.25,515.06,213.79,354.28,40%,55%,1.99%,4.79%,9.10%,86.73%,102.96%,54.05,2.89%,-7.78%,,2007,1.50,,1/1/1977,1977,,10,1.97%,15,133,0.56%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,338.00,,,3/16/2015,,3/16/2015,,,,,3.03%,338.00,10.25,515.06,213.79,354.28,41%,52%,1.99%,4.79%,8.96%,84.02%,100.01%,54.05,2.89%,-6.42%,,2008,4.65,210.00%,1/1/1978,1978,,11,2.02%,26,159,0.96%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,330.00,,,3/23/2015,,3/23/2015,,,,,3.11%,330.00,10.25,515.06,213.79,354.28,39%,56%,1.99%,4.79%,9.18%,88.48%,104.86%,54.05,2.89%,-8.64%,,2009,4.65,0.00%,1/1/1979,1979,,12,2.07%,37,196,1.37%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,331.00,,,3/30/2015,,3/30/2015,,,,,3.10%,331.00,10.25,515.06,213.79,354.28,39%,56%,1.99%,4.79%,9.15%,87.92%,104.24%,54.05,2.89%,-8.36%,,2010,4.70,1.08%,1/1/1980,1980,,13,2.12%,52,248,1.93%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,333.40,,,4/7/2015,,4/6/2015,,,,,3.07%,333.40,10.25,515.06,213.79,354.28,40%,54%,1.99%,4.79%,9.09%,86.56%,102.77%,54.05,2.89%,-7.70%,,2011,5.00,6.38%,1/1/1981,1981,,14,2.17%,52,300,1.93%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,334.00,,,4/13/2015,,4/13/2015,,,,,3.07%,334.00,10.25,515.06,213.79,354.28,40%,54%,1.99%,4.79%,9.07%,86.23%,102.41%,54.05,2.89%,-7.53%,,2012,5.40,8.00%,1/1/1982,1982,,15,2.22%,50,350,1.85%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,332.10,,,4/20/2015,,4/20/2015,,,,,3.09%,332.10,10.25,515.06,213.79,354.28,39%,55%,1.99%,4.79%,9.12%,87.29%,103.57%,54.05,2.89%,-8.06%,,2013,5.65,4.63%,1/1/1983,1983,,16,2.27%,54,404,2.00%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,339.40,,,4/27/2015,,4/27/2015,,,,,3.02%,339.40,10.25,515.06,213.79,354.28,42%,52%,1.99%,4.79%,8.93%,83.26%,99.19%,54.05,2.89%,-6.04%,,2014,6.05,7.08%,1/1/1984,1984,,17,2.32%,62,466,2.30%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,338.00,,,5/5/2015,,5/4/2015,,,,,3.03%,338.00,10.25,515.06,213.79,354.28,41%,52%,1.99%,4.79%,8.96%,84.02%,100.01%,54.05,2.89%,-6.42%,,2015,8.30,37.19%,1/1/1985,1985,,18,2.37%,48,514,1.78%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,342.10,,,5/11/2015,,5/11/2015,,,,,3.00%,342.10,10.25,515.06,213.79,354.28,43%,51%,1.99%,4.79%,8.86%,81.82%,97.62%,54.05,2.89%,-5.29%,,2016,10.25,23.49%,1/1/1986,1986,,19,2.42%,51,565,1.89%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,339.20,,,5/18/2015,,5/18/2015,,,,,3.02%,339.20,10.25,515.06,213.79,354.28,42%,52%,1.99%,4.79%,8.93%,83.37%,99.31%,54.05,2.89%,-6.09%,,2017,12.25,19.51%,1/1/1987,1987,,20,2.47%,79,644,2.93%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,340.70,,,5/26/2015,,5/26/2015,,,,,3.01%,340.70,10.25,515.06,213.79,354.28,42%,51%,1.99%,4.79%,8.89%,82.57%,98.43%,54.05,2.89%,-5.68%,,2018,14.90,21.63%,1/1/1988,1988,,21,2.52%,68,712,2.52%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,340.90,,,6/1/2015,,6/1/2015,,,,,3.01%,340.90,10.25,515.06,213.79,354.28,42%,51%,1.99%,4.79%,8.89%,82.46%,98.31%,54.05,2.89%,-5.62%,,2019,16.65,11.74%,1/1/1989,1989,,22,2.57%,101,813,3.74%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,342.60,,,6/8/2015,,6/8/2015,,,,,2.99%,342.60,10.25,515.06,213.79,354.28,43%,50%,1.99%,4.79%,8.84%,81.55%,97.33%,54.05,2.89%,-5.15%,,2020,17.90,7.51%,1/1/1990,1990,,23,2.62%,74,887,2.74%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,346.00,,,6/15/2015,,6/15/2015,,,,,2.96%,346.00,10.25,515.06,213.79,354.28,44%,49%,1.99%,4.79%,8.76%,79.77%,95.39%,54.05,2.89%,-4.21%,,2021,20.20,12.85%,1/1/1991,1991,,24,2.67%,85,972,3.15%
