,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,SAN FP,Sanofi,,,,,,,,,,2%,34%,$       77.79,$          77.34,$           91.74,$           109.62,$        104.54,4.91%,3.41%,3.91%,5.66%,23.71%,34.16%,131%,,,,,,,NO,,,4.83%,3.25%,1.58%,0.02%,79
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Sanofi - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.60%,11/10/2017,,,,,,,,,,$           91.74,18%,4.58%,$        104.54,$           75.51,$             62.88,$          63.65,3.15%,4.60%,3.88%,3.25%,-29.04%,-29.04%,-18%,,,,5Y CAGR,2.16%,,Sanofi - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,1.97%,,Sanofi - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Sanofi - Rating: 2% - Upside: 34%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        78.19,,,12/29/2014,,12/29/2014,,,,,3.75%,€                78.19,2.93,86.04,63.65,75.51,65%,10%,3.41%,4.60%,4.55%,-0.51%,14.82%,11.99,3.88%,0.00%,,1997,0.00,-,2,,,0,3.25%,9,9,0.33%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                          77.17,,,1/5/2015,,1/5/2015,,,,,3.80%,€                77.17,2.93,86.04,63.65,75.51,60%,12%,3.41%,4.60%,4.61%,0.81%,16.35%,11.99,3.88%,-1.31%,,1998,0.00,,34,,,1,3.27%,5,14,0.18%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                         78.08,,,1/12/2015,,1/12/2015,,,,,3.75%,€               78.08,2.93,86.04,63.65,75.51,64%,10%,3.41%,4.60%,4.56%,-0.37%,14.98%,11.99,3.88%,-0.14%,,1999,0.00,,,,,2,3.29%,10,24,0.37%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                         77.03,,,1/19/2015,,1/20/2015,,,,,3.80%,€               77.03,2.93,86.04,63.65,75.51,60%,12%,3.41%,4.60%,4.62%,0.99%,16.56%,11.99,3.88%,-1.49%,,2000,0.00,,1/1/1970,1970,,3,3.31%,12,36,0.44%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                          76.19,,,1/26/2015,,1/26/2015,,,,,3.85%,€                76.19,2.93,86.04,63.65,75.51,56%,13%,3.41%,4.60%,4.67%,2.10%,17.84%,11.99,3.88%,-2.56%,,2001,0.00,,1/1/1971,1971,,4,3.33%,13,49,0.48%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                         74.28,,,2/2/2015,,2/2/2015,,,,,3.94%,€               74.28,2.93,86.04,63.65,75.51,47%,16%,3.41%,4.60%,4.79%,4.73%,20.87%,11.99,3.88%,-5.00%,,2002,0.76,,1/1/1972,1972,,5,3.35%,23,72,0.85%
