,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,SAP GR,SAP SE,,,,,,,,,,20%,74%,$      151.28,$        123.58,$        170.48,$          280.30,$       262.56,2.41%,0.95%,1.47%,3.16%,133.35%,141.52%,126%,,,,,,,NO,,,2.31%,0.86%,1.44%,0.02%,72
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,6.84%,,SAP SE - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.02%,11/10/2017,,,,,,,,,,$        170.48,13%,1.65%,$       262.56,$          78.42,$             64.83,$          56.85,0.84%,2.02%,1.47%,0.73%,-46.03%,-46.03%,-14%,,,,5Y CAGR,6.21%,,SAP SE - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,8.07%,,SAP SE - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,SAP SE - Rating: 20% - Upside: 74%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       70.35,,,12/29/2014,,12/29/2014,,,,,1.63%,€               70.35,1.15,120.78,56.85,78.42,21%,72%,0.95%,2.02%,2.91%,115.04%,122.57%,5.3,1.47%,0.00%,,1997,0.00,-,20,,,0,0.86%,17,17,0.63%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                         70.40,,,1/5/2015,,1/5/2015,,,,,1.63%,€               70.40,1.15,120.78,56.85,78.42,21%,72%,0.95%,2.02%,2.91%,114.89%,122.41%,5.3,1.47%,0.00%,,1998,0.00,,74,,,1,0.88%,37,54,1.38%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                          71.66,,,1/12/2015,,1/12/2015,,,,,1.60%,€                71.66,1.15,120.78,56.85,78.42,23%,69%,0.95%,2.02%,2.86%,111.11%,118.50%,5.3,1.47%,0.00%,,1999,0.00,,,,,2,0.90%,36,90,1.34%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                         70.03,,,1/19/2015,,1/20/2015,,,,,1.64%,€               70.03,1.15,120.78,56.85,78.42,21%,72%,0.95%,2.02%,2.93%,116.02%,123.59%,5.3,1.47%,-2.27%,,2000,0.00,,1/1/1970,1970,,3,0.92%,21,111,0.78%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                          71.40,,,1/26/2015,,1/26/2015,,,,,1.61%,€                71.40,1.15,120.78,56.85,78.42,23%,69%,0.95%,2.02%,2.87%,111.88%,119.30%,5.3,1.47%,-0.36%,,2001,0.00,,1/1/1971,1971,,4,0.94%,24,135,0.90%
