,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,SBS GR,STRATEC SE,,,,,,,,,,-1%,597%,$       20.05,$           21.55,$          70.42,$           145.20,$        139.68,5.87%,0.69%,1.79%,5.87%,21.37%,21.37%,114%,,,,,,,NO,,,5.72%,0.64%,5.09%,0.10%,51
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,STRATEC SE - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.50%,11/10/2017,,,,,,,,,,$          70.42,251%,4.84%,$        139.68,$          54.45,$              16.52,$           16.66,0.62%,4.50%,1.38%,0.67%,-86.19%,-86.19%,-4%,,,,5Y CAGR,1.51%,,STRATEC SE - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.61%,,STRATEC SE - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,STRATEC SE - Rating: -1% - Upside: 597%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       60.02,,,12/29/2014,,12/29/2014,,,,,1.25%,€               60.02,0.75,108.00,16.66,54.45,47%,80%,0.69%,4.50%,1.62%,-66.59%,-61.36%,3.14,1.38%,0.00%,,1997,0.00,-,-1,,,0,0.64%,190,190,7.09%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                          60.14,,,1/5/2015,,1/5/2015,,,,,1.25%,€                60.14,0.75,108.00,16.66,54.45,48%,80%,0.69%,4.50%,1.61%,-66.66%,-61.44%,3.14,1.38%,0.00%,,1998,0.00,,597,,,1,0.74%,179,369,6.68%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                         60.00,,,1/12/2015,,1/12/2015,,,,,1.25%,€               60.00,0.75,108.00,16.66,54.45,47%,80%,0.69%,4.50%,1.62%,-66.58%,-61.35%,3.14,1.38%,-0.23%,,1999,0.00,,,,,2,0.84%,98,467,3.66%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                         54.77,,,1/19/2015,,1/20/2015,,,,,1.37%,€               54.77,0.75,108.00,16.66,54.45,42%,97%,0.69%,4.50%,1.77%,-63.39%,-57.66%,3.14,1.38%,-8.93%,,2000,0.00,,1/1/1970,1970,,3,0.94%,75,542,2.80%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                         57.40,,,1/26/2015,,1/26/2015,,,,,1.31%,€               57.40,0.75,108.00,16.66,54.45,45%,88%,0.69%,4.50%,1.69%,-65.07%,-59.60%,3.14,1.38%,-4.56%,,2001,0.00,,1/1/1971,1971,,4,1.04%,240,782,8.95%
