,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,SBSI US,Southside Bancshares Inc,,,,,,,,,,25%,43%,$       32.46,$          27.68,$          37.87,$             44.82,$          46.46,5.56%,3.06%,3.94%,7.86%,79.69%,104.38%,147%,,,,,,,NO,,,5.46%,2.61%,2.85%,0.04%,71
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Southside Bancshares Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.13%,11/10/2017,,,,,,,,,,$          37.87,17%,4.37%,$          46.46,$           25.61,$              18.06,$            18.71,2.57%,5.13%,3.75%,3.17%,-27.58%,-27.58%,-11%,,,,5Y CAGR,1.63%,,Southside Bancshares Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,3.99%,,Southside Bancshares Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Southside Bancshares Inc - Rating: 25% - Upside: 43%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        21.48,,,12/29/2014,,12/29/2014,,,,,4.47%,$              21.48,0.96,31.41,18.71,25.61,22%,46%,3.06%,5.13%,6.61%,51.09%,71.85%,4.46,3.75%,0.00%,,1997,0.00,-,25,,,0,2.61%,15,15,0.57%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        21.46,,,1/5/2015,,1/5/2015,,,,,4.47%,$              21.46,0.96,31.41,18.71,25.61,22%,46%,3.06%,5.13%,6.62%,51.28%,72.07%,4.46,3.75%,-0.13%,,1998,0.00,,43,,,1,2.65%,6,21,0.23%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        21.44,,,1/12/2015,,1/12/2015,,,,,4.48%,$              21.44,0.96,31.41,18.71,25.61,21%,47%,3.06%,5.13%,6.62%,51.41%,72.22%,4.46,3.75%,-0.21%,,1999,0.00,,,,,2,2.69%,0,21,0.00%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       20.55,,,1/20/2015,,1/20/2015,,,,,4.67%,$             20.55,0.96,31.41,18.71,25.61,14%,53%,3.06%,5.13%,6.91%,57.93%,79.63%,4.46,3.75%,-4.33%,,2000,0.00,,1/1/1970,1970,,3,2.73%,0,21,0.00%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       20.20,,,1/26/2015,,1/26/2015,,,,,4.75%,$             20.20,0.96,31.41,18.71,25.61,12%,55%,3.06%,5.13%,7.03%,60.67%,82.75%,4.46,3.75%,-5.96%,,2001,0.00,,1/1/1971,1971,,4,2.77%,1,22,0.04%
