,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,SCHD US,Schwab US Dividend Equity ETF,,,,,,,,,,116%,-4%,$       33.43,$          23.40,$          27.66,$             33.43,$          32.05,15.41%,8.29%,9.67%,22.40%,181.72%,230.32%,120%,,,,,,,NO,,,13.49%,7.94%,5.54%,0.10%,55
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Schwab US Dividend Equity ETF - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,11.36%,11/10/2017,,,,,,,,,,$          27.66,-17%,7.95%,$          32.05,$           13.09,$               11.87,$            11.08,7.87%,11.36%,9.61%,7.95%,0.00%,0.00%,-71%,,,,5Y CAGR,3.40%,,Schwab US Dividend Equity ETF - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,7.77%,,Schwab US Dividend Equity ETF - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Schwab US Dividend Equity ETF - Rating: 116% - Upside: -4%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                         12.71,,,12/29/2014,,12/29/2014,,,,,9.90%,$               12.71,1.26,15.17,11.08,13.09,40%,19%,8.29%,11.36%,20.92%,163.09%,208.48%,5.7672,9.61%,0.00%,,1997,0.00,-,116,,,0,7.94%,18,18,0.68%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        12.78,,,1/5/2015,,1/5/2015,,,,,9.84%,$              12.78,1.26,15.17,11.08,13.09,42%,19%,8.29%,11.36%,20.80%,161.58%,206.71%,5.7672,9.61%,0.00%,,1998,0.00,,-4,,,1,8.04%,32,50,1.21%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        12.63,,,1/12/2015,,1/12/2015,,,,,9.96%,$              12.63,1.26,15.17,11.08,13.09,38%,20%,8.29%,11.36%,21.05%,164.76%,210.44%,5.7672,9.61%,-1.20%,,1999,0.00,,,,,2,8.14%,50,100,1.88%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        12.36,,,1/20/2015,,1/20/2015,,,,,10.18%,$              12.36,1.26,15.17,11.08,13.09,31%,23%,8.29%,11.36%,21.50%,170.40%,217.05%,5.7672,9.61%,-3.26%,,2000,0.00,,1/1/1970,1970,,3,8.24%,49,149,1.85%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        12.23,,,1/26/2015,,1/26/2015,,,,,10.29%,$              12.23,1.26,15.17,11.08,13.09,28%,24%,8.29%,11.36%,21.73%,173.35%,220.50%,5.7672,9.61%,-4.30%,,2001,0.00,,1/1/1971,1971,,4,8.34%,56,205,2.11%
