,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,SEIC US,SEI Investments Co,,,,,,,,,,110%,-4%,$      101.52,$          57.85,$          72.86,$            101.52,$          97.58,1.97%,0.91%,1.23%,2.63%,199.82%,207.00%,133%,,,,,,,NO,,,1.70%,0.81%,0.88%,0.02%,44
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,SEI Investments Co - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.54%,11/10/2017,,,,,,,,,,$          72.86,-28%,0.88%,$          97.58,$          44.20,$             33.86,$           35.10,0.80%,1.54%,1.22%,0.88%,0.00%,0.00%,-32%,,,,5Y CAGR,2.94%,,SEI Investments Co - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.12%,,SEI Investments Co - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,SEI Investments Co - Rating: 110% - Upside: -4%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       50.98,,,12/29/2014,,12/29/2014,,,,,1.06%,$             50.98,0.54,59.20,35.10,44.20,66%,16%,0.91%,1.54%,1.75%,99.14%,103.90%,2.43,1.22%,0.00%,,1997,0.00,-,110,,,0,0.81%,31,31,1.17%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        51.54,,,1/5/2015,,1/5/2015,,,,,1.05%,$              51.54,0.54,59.20,35.10,44.20,68%,15%,0.91%,1.54%,1.73%,96.97%,101.69%,2.43,1.22%,0.00%,,1998,0.00,,-4,,,1,0.83%,23,54,0.87%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       50.22,,,1/12/2015,,1/12/2015,,,,,1.08%,$             50.22,0.54,59.20,35.10,44.20,63%,18%,0.91%,1.54%,1.77%,102.15%,106.99%,2.43,1.22%,-2.56%,,1999,0.00,,,,,2,0.85%,24,78,0.90%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        48.71,,,1/20/2015,,1/20/2015,,,,,1.11%,$              48.71,0.54,59.20,35.10,44.20,56%,22%,0.91%,1.54%,1.83%,108.42%,113.41%,2.43,1.22%,-5.49%,,2000,0.00,,1/1/1970,1970,,3,0.87%,19,97,0.72%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       47.50,,,1/26/2015,,1/26/2015,,,,,1.14%,$             47.50,0.54,59.20,35.10,44.20,51%,25%,0.91%,1.54%,1.87%,113.73%,118.84%,2.43,1.22%,-7.84%,,2001,0.00,,1/1/1971,1971,,4,0.89%,27,124,1.02%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       47.05,,,2/2/2015,,2/2/2015,,,,,1.15%,$             47.05,0.54,59.20,35.10,44.20,50%,26%,0.91%,1.54%,1.89%,115.77%,120.94%,2.43,1.22%,-8.71%,,2002,0.09,,1/1/1972,1972,,5,0.91%,16,140,0.60%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       47.47,,,2/9/2015,,2/9/2015,,,,,1.14%,$             47.47,0.54,59.20,35.10,44.20,51%,25%,0.91%,1.54%,1.87%,113.86%,118.98%,2.43,1.22%,-7.90%,,2003,0.04,-58.82%,1/1/1973,1973,,6,0.93%,17,157,0.64%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       45.64,,,2/17/2015,,2/17/2015,,,,,1.18%,$             45.64,0.54,59.20,35.10,44.20,44%,30%,0.91%,1.54%,1.95%,122.44%,127.76%,2.43,1.22%,-11.45%,,2004,0.15,314.29%,1/1/1974,1974,,7,0.95%,38,195,1.43%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       46.25,,,2/23/2015,,2/23/2015,,,,,1.17%,$             46.25,0.54,59.20,35.10,44.20,46%,28%,0.91%,1.54%,1.92%,119.50%,124.76%,2.43,1.22%,-10.26%,,2005,0.11,-24.14%,1/1/1975,1975,,8,0.97%,63,258,2.38%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       44.73,,,3/2/2015,,3/2/2015,,,,,1.21%,$             44.73,0.54,59.20,35.10,44.20,40%,32%,0.91%,1.54%,1.99%,126.96%,132.39%,2.43,1.22%,-13.21%,,2006,0.12,9.09%,1/1/1976,1976,,9,0.99%,80,338,3.02%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       44.89,,,3/9/2015,,3/9/2015,,,,,1.20%,$             44.89,0.54,59.20,35.10,44.20,41%,32%,0.91%,1.54%,1.98%,126.15%,131.57%,2.43,1.22%,-12.90%,,2007,0.07,-41.67%,1/1/1977,1977,,10,1.01%,82,420,3.09%
