,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,SGAPY US,Singapore Teleco,,,,,,,,,,97%,2%,$       34.09,$           13.74,$          29.77,$             40.48,$          57.47,6.12%,2.24%,4.09%,5.27%,131.37%,131.37%,128%,,,,,,,NO,,,5.98%,1.97%,4.02%,0.10%,40
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Singapore Teleco - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.65%,11/10/2017,,,,,,,,,,$           17.97,-47%,2.28%,$          34.69,$            11.74,$              14.73,$             8.98,1.92%,5.65%,4.32%,1.92%,-15.79%,-15.79%,-5%,,,,5Y CAGR,8.89%,,Singapore Teleco - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,-4.78%,,Singapore Teleco - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Singapore Teleco - Rating: 97% - Upside: 2%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        25.18,,,12/29/2014,,12/29/2014,,,,,5.04%,$              25.18,1.27,56.63,22.43,29.33,8%,125%,2.24%,5.65%,3.09%,35.41%,55.59%,5.081013,4.32%,0.00%,,1997,0.00,-,97,,,0,1.97%,45,45,1.70%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        25.16,,,1/5/2015,,1/5/2015,,,,,5.04%,$              25.16,1.27,56.63,22.43,29.33,8%,125%,2.24%,5.65%,3.09%,35.52%,55.72%,5.081013,4.32%,-0.08%,,1998,0.00,,2,,,1,2.07%,39,84,1.47%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       24.46,,,1/12/2015,,1/12/2015,,,,,5.18%,$             24.46,1.27,56.63,22.43,29.33,6%,132%,2.24%,5.65%,3.18%,39.37%,60.14%,5.081013,4.32%,-2.84%,,1999,0.00,,,,,2,2.17%,50,134,1.89%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        24.31,,,1/20/2015,,1/20/2015,,,,,5.22%,$              24.31,1.27,56.63,22.43,29.33,5%,133%,2.24%,5.65%,3.20%,40.23%,61.13%,5.081013,4.32%,-3.44%,,2000,0.00,,1/1/1970,1970,,3,2.27%,63,197,2.38%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        24.41,,,1/26/2015,,1/26/2015,,,,,5.19%,$              24.41,1.27,56.63,22.43,29.33,6%,132%,2.24%,5.65%,3.18%,39.66%,60.47%,5.081013,4.32%,-3.04%,,2001,0.00,,1/1/1971,1971,,4,2.37%,39,236,1.47%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       24.58,,,2/2/2015,,2/2/2015,,,,,5.16%,$             24.58,1.27,56.63,22.43,29.33,6%,130%,2.24%,5.65%,3.16%,38.72%,59.39%,5.081013,4.32%,-2.38%,,2002,0.35,,1/1/1972,1972,,5,2.47%,30,266,1.13%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       24.77,,,2/9/2015,,2/9/2015,,,,,5.12%,$             24.77,1.27,56.63,22.43,29.33,7%,129%,2.24%,5.65%,3.14%,37.63%,58.14%,5.081013,4.32%,-1.61%,,2003,0.36,3.33%,1/1/1973,1973,,6,2.57%,39,305,1.47%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       24.68,,,2/17/2015,,2/17/2015,,,,,5.14%,$             24.68,1.27,56.63,22.43,29.33,7%,129%,2.24%,5.65%,3.15%,38.13%,58.72%,5.081013,4.32%,-1.97%,,2004,0.42,17.63%,1/1/1974,1974,,7,2.67%,71,376,2.68%
