,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,SGU US,Star Group LP,,,,,,,,,,77%,7%,$        12.65,$              9.71,$           12.02,$               15.10,$           13.54,8.08%,4.73%,5.39%,9.89%,95.52%,95.52%,162%,,,,,,,NO,,,7.35%,4.10%,3.25%,0.05%,65
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Star Group LP - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,$           12.02,-5%,5.06%,$           13.54,$              8.12,$                6.47,$             6.56,4.02%,6.59%,5.32%,4.24%,-16.23%,-16.23%,-47%,,,,5Y CAGR,2.71%,,Star Group LP - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.75%,,Star Group LP - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Star Group LP - Rating: 77% - Upside: 7%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2017,12/1/2017,$                                                        10.20,,,12/1/2017,,12/29/2014,,,,,4.24%,$              10.20,0.43,9.15,6.56,8.12,140%,-10%,4.73%,6.59%,6.27%,24.02%,37.62%,1.3875,5.32%,0.00%,,1997,0.00,-,77,,,0,4.10%,8,8,0.37%
,,,,,,,,,,,,,,,,,,2017,12/4/2017,$                                                        10.29,,,12/4/2017,,1/5/2015,,,,,4.20%,$              10.29,0.43,9.15,6.56,8.12,144%,-11%,4.73%,6.59%,6.22%,22.93%,36.42%,1.3875,5.32%,0.00%,,1998,0.00,,7,,,1,4.15%,3,11,0.14%
,,,,,,,,,,,,,,,,,,2017,12/5/2017,$                                                        10.56,,,12/11/2017,,1/12/2015,,,,,4.10%,$              10.56,0.43,9.15,6.56,8.12,154%,-13%,4.73%,6.59%,6.06%,19.79%,32.93%,1.3875,5.32%,0.00%,,1999,0.00,,,,,2,4.20%,8,19,0.37%
,,,,,,,,,,,,,,,,,,2017,12/6/2017,$                                                        10.62,,,12/18/2017,,1/20/2015,,,,,4.07%,$              10.62,0.43,9.15,6.56,8.12,157%,-14%,4.73%,6.59%,6.03%,19.11%,32.18%,1.3875,5.32%,0.00%,,2000,0.00,,1/1/1970,1970,,3,4.25%,12,31,0.55%
,,,,,,,,,,,,,,,,,,2017,12/7/2017,$                                                         10.41,,,12/26/2017,,1/26/2015,,,,,4.15%,$               10.41,0.43,9.15,6.56,8.12,149%,-12%,4.73%,6.59%,6.15%,21.52%,34.85%,1.3875,5.32%,-1.98%,,2001,0.00,,1/1/1971,1971,,4,4.30%,7,38,0.32%
,,,,,,,,,,,,,,,,,,2017,12/8/2017,$                                                        10.45,,,1/2/2018,,2/2/2015,,,,,4.14%,$              10.45,0.43,9.15,6.56,8.12,150%,-12%,4.73%,6.59%,6.12%,21.05%,34.33%,1.3875,5.32%,-1.60%,,2002,0.00,,1/1/1972,1972,,5,4.35%,3,41,0.14%
,,,,,,,,,,,,,,,,,,2017,12/11/2017,$                                                        10.45,,,1/8/2018,,2/9/2015,,,,,4.14%,$              10.45,0.43,9.15,6.56,8.12,150%,-12%,4.73%,6.59%,6.13%,21.11%,34.39%,1.3875,5.32%,-1.65%,,2003,0.00,,1/1/1973,1973,,6,4.40%,1,42,0.05%
,,,,,,,,,,,,,,,,,,2017,12/12/2017,$                                                        10.37,,,1/16/2018,,2/17/2015,,,,,4.17%,$              10.37,0.43,9.15,6.56,8.12,147%,-12%,4.73%,6.59%,6.17%,21.99%,35.37%,1.3875,5.32%,-2.35%,,2004,0.00,,1/1/1974,1974,,7,4.45%,4,46,0.18%
,,,,,,,,,,,,,,,,,,2017,12/13/2017,$                                                        10.45,,,1/22/2018,,2/23/2015,,,,,4.14%,$              10.45,0.43,9.15,6.56,8.12,150%,-12%,4.73%,6.59%,6.12%,21.05%,34.33%,1.3875,5.32%,-1.60%,,2005,0.00,,1/1/1975,1975,,8,4.50%,6,52,0.28%
,,,,,,,,,,,,,,,,,,2017,12/14/2017,$                                                        10.55,,,1/29/2018,,3/2/2015,,,,,4.10%,$              10.55,0.43,9.15,6.56,8.12,154%,-13%,4.73%,6.59%,6.07%,19.91%,33.06%,1.3875,5.32%,-0.66%,,2006,0.00,,1/1/1976,1976,,9,4.55%,10,62,0.46%
,,,,,,,,,,,,,,,,,,2017,12/15/2017,$                                                        10.50,,,2/5/2018,,3/9/2015,,,,,4.12%,$              10.50,0.43,9.15,6.56,8.12,152%,-13%,4.73%,6.59%,6.10%,20.48%,33.69%,1.3875,5.32%,-1.13%,,2007,0.00,,1/1/1977,1977,,10,4.60%,5,67,0.23%
,,,,,,,,,,,,,,,,,,2017,12/18/2017,$                                                         10.51,,,2/12/2018,,3/16/2015,,,,,4.12%,$               10.51,0.43,9.15,6.56,8.12,152%,-13%,4.73%,6.59%,6.09%,20.36%,33.56%,1.3875,5.32%,-1.04%,,2008,0.00,,1/1/1978,1978,,11,4.65%,15,82,0.69%
,,,,,,,,,,,,,,,,,,2017,12/19/2017,$                                                        10.60,,,2/20/2018,,3/23/2015,,,,,4.08%,$              10.60,0.43,9.15,6.56,8.12,156%,-14%,4.73%,6.59%,6.04%,19.34%,32.43%,1.3875,5.32%,-0.19%,,2009,0.00,,1/1/1979,1979,,12,4.70%,61,143,2.81%
,,,,,,,,,,,,,,,,,,2017,12/20/2017,$                                                        10.55,,,2/26/2018,,3/30/2015,,,,,4.10%,$              10.55,0.43,9.15,6.56,8.12,154%,-13%,4.73%,6.59%,6.07%,19.91%,33.06%,1.3875,5.32%,-0.66%,,2010,0.29,,1/1/1980,1980,,13,4.75%,81,224,3.73%
,,,,,,,,,,,,,,,,,,2017,12/21/2017,$                                                        10.55,,,3/5/2018,,4/6/2015,,,,,4.10%,$              10.55,0.43,9.15,6.56,8.12,154%,-13%,4.73%,6.59%,6.07%,19.91%,33.06%,1.3875,5.32%,-0.66%,,2011,0.31,6.90%,1/1/1981,1981,,14,4.80%,50,274,2.30%
,,,,,,,,,,,,,,,,,,2017,12/22/2017,$                                                        10.62,,,3/12/2018,,4/13/2015,,,,,4.07%,$              10.62,0.43,9.15,6.56,8.12,157%,-14%,4.73%,6.59%,6.03%,19.11%,32.18%,1.3875,5.32%,0.00%,,2012,0.31,0.00%,1/1/1982,1982,,15,4.85%,64,338,2.95%
,,,,,,,,,,,,,,,,,,2017,12/26/2017,$                                                        10.60,,,3/19/2018,,4/20/2015,,,,,4.08%,$              10.60,0.43,9.15,6.56,8.12,156%,-14%,4.73%,6.59%,6.04%,19.34%,32.43%,1.3875,5.32%,-0.19%,,2013,0.33,4.84%,1/1/1983,1983,,16,4.90%,88,426,4.05%
,,,,,,,,,,,,,,,,,,2017,12/27/2017,$                                                        10.58,,,3/26/2018,,4/27/2015,,,,,4.09%,$              10.58,0.43,9.15,6.56,8.12,155%,-13%,4.73%,6.59%,6.05%,19.57%,32.68%,1.3875,5.32%,-0.38%,,2014,0.35,6.15%,1/1/1984,1984,,17,4.95%,82,508,3.78%
,,,,,,,,,,,,,,,,,,2017,12/28/2017,$                                                        10.64,,,4/2/2018,,5/4/2015,,,,,4.06%,$              10.64,0.43,9.15,6.56,8.12,157%,-14%,4.73%,6.59%,6.02%,18.89%,31.93%,1.3875,5.32%,0.00%,,2015,0.37,7.97%,1/1/1985,1985,,18,5.00%,88,596,4.05%
,,,,,,,,,,,,,,,,,,2017,12/29/2017,$                                                        10.75,,,4/9/2018,,5/11/2015,,,,,4.02%,$              10.75,0.43,9.15,6.56,8.12,162%,-15%,4.73%,6.59%,5.95%,17.67%,30.58%,1.3875,5.32%,0.00%,,2016,0.40,8.05%,1/1/1986,1986,,19,5.05%,117,713,5.39%
,,,,,,,,,,,,,,,,,,2018,1/2/2018,$                                                        10.70,,,4/16/2018,,5/18/2015,,,,,4.32%,$              10.70,0.46,9.79,7.02,8.69,133%,-9%,4.73%,6.59%,5.98%,18.22%,27.15%,0.955,5.32%,-0.47%,,2017,0.43,7.45%,1/1/1987,1987,,20,5.10%,90,803,4.14%
,,,,,,,,,,,,,,,,,,2018,1/3/2018,$                                                        10.83,,,4/23/2018,,5/26/2015,,,,,4.27%,$              10.83,0.46,9.79,7.02,8.69,138%,-10%,4.73%,6.59%,5.91%,16.81%,25.62%,0.955,5.32%,0.00%,,2018,0.46,6.94%,1/1/1988,1988,,21,5.15%,71,874,3.27%
