,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,SHEL US,Shell PLC,,,,,,,,,,123%,-12%,$       86.37,$          32.82,$          89.87,$              94.15,$         115.83,10.18%,3.25%,4.97%,11.44%,299.49%,299.49%,141%,,,,,,,NO,,,9.03%,2.69%,6.34%,0.10%,63
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Shell PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,7.54%,11/10/2017,,,,,,,,,,$           59.13,-32%,2.86%,$           76.21,$          39.20,$              21.62,$           21.76,2.63%,7.54%,4.18%,2.63%,-8.26%,-8.26%,-20%,,,,5Y CAGR,8.57%,,Shell PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,-4.09%,,Shell PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Shell PLC - Rating: 123% - Upside: -12%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       45.83,,,12/29/2014,,12/29/2014,,,,,8.19%,$             45.83,3.75,115.67,49.81,89.74,-6%,152%,3.25%,7.54%,5.40%,88.46%,121.26%,15.03469488,4.18%,0.00%,,1997,0.00,-,123,,,0,2.69%,20,20,0.75%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        45.61,,,1/5/2015,,1/5/2015,,,,,8.23%,$              45.61,3.75,115.67,49.81,89.74,-6%,154%,3.25%,7.54%,5.42%,89.37%,122.33%,15.03469488,4.18%,-0.48%,,1998,0.00,,-12,,,1,2.79%,27,47,1.02%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       44.02,,,1/12/2015,,1/12/2015,,,,,8.53%,$             44.02,3.75,115.67,49.81,89.74,-9%,163%,3.25%,7.54%,5.62%,96.21%,130.36%,15.03469488,4.18%,-3.95%,,1999,0.00,,,,,2,2.89%,23,70,0.87%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        42.12,,,1/20/2015,,1/20/2015,,,,,8.91%,$              42.12,3.75,115.67,49.81,89.74,-12%,175%,3.25%,7.54%,5.87%,105.06%,140.75%,15.03469488,4.18%,-8.10%,,2000,0.00,,1/1/1970,1970,,3,2.99%,14,84,0.53%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       40.38,,,1/26/2015,,1/26/2015,,,,,9.30%,$             40.38,3.75,115.67,49.81,89.74,-14%,186%,3.25%,7.54%,6.13%,113.89%,151.13%,15.03469488,4.18%,-11.89%,,2001,0.00,,1/1/1971,1971,,4,3.09%,20,104,0.75%
