,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,SIE GR,Siemens,,,,,,,,,,,,$    274.05,,,,,,,,,,,,,,,,,,NO,,,,,,,
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Siemens - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,5Y CAGR,3.96%,,Siemens - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,1.96%,,Siemens - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       77.70,,,12/29/2014,,12/29/2014,,,,,4.50%,€               77.70,3.50,,,,,,,,5.47%,,,14.6,,0.00%,,1997,0.00,-,,,,0,,,,
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                         77.62,,,1/5/2015,,1/5/2015,,,,,4.51%,€               77.62,3.50,,,,,,,,5.48%,,,14.6,,-0.10%,,1998,0.00,,,,,1,,,,
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                         77.35,,,1/12/2015,,1/12/2015,,,,,4.53%,€               77.35,3.50,,,,,,,,5.49%,,,14.6,,-0.46%,,1999,0.00,,,,,2,,,,
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                          75.14,,,1/19/2015,,1/20/2015,,,,,4.66%,€                75.14,3.50,,,,,,,,5.66%,,,14.6,,-3.30%,,2000,0.00,,1/1/1970,1970,,3,,,,
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                         75.89,,,1/26/2015,,1/26/2015,,,,,4.61%,€               75.89,3.50,,,,,,,,5.60%,,,14.6,,-2.33%,,2001,0.00,,1/1/1971,1971,,4,,,,
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                          75.14,,,2/2/2015,,2/2/2015,,,,,4.66%,€                75.14,3.50,,,,,,,,5.66%,,,14.6,,-3.30%,,2002,1.00,,1/1/1972,1972,,5,,,,
,,,,,,,,,,,,,,,,,,2016,1/12/2016,€                                                         75.54,,,2/9/2015,,2/9/2015,,,,,4.63%,€               75.54,3.50,,,,,,,,5.63%,,,14.6,,-2.78%,,2003,1.00,0.00%,1/1/1973,1973,,6,,,,
,,,,,,,,,,,,,,,,,,2016,1/13/2016,€                                                         74.37,,,2/16/2015,,2/17/2015,,,,,4.71%,€               74.37,3.50,,,,,,,,5.71%,,,14.6,,-4.29%,,2004,1.10,10.00%,1/1/1974,1974,,7,,,,
,,,,,,,,,,,,,,,,,,2016,1/14/2016,€                                                          76.16,,,2/23/2015,,2/23/2015,,,,,4.60%,€                76.16,3.50,,,,,,,,5.58%,,,14.6,,-1.98%,,2005,1.25,13.64%,1/1/1975,1975,,8,,,,
,,,,,,,,,,,,,,,,,,2016,1/15/2016,€                                                           73.11,,,3/2/2015,,3/2/2015,,,,,4.79%,€                 73.11,3.50,,,,,,,,5.81%,,,14.6,,-5.91%,,2006,1.35,8.00%,1/1/1976,1976,,9,,,,
,,,,,,,,,,,,,,,,,,2016,1/18/2016,€                                                         73.74,,,3/9/2015,,3/9/2015,,,,,4.75%,€               73.74,3.50,,,,,,,,5.76%,,,14.6,,-5.10%,,2007,1.45,7.41%,1/1/1977,1977,,10,,,,
