,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,SLHN SW,Swiss Life Holding AG,,,,,,,,,,,,$    947.00,$        551.20,$        819.90,$          953.40,$                   -,6.15%,0.00%,3.02%,14.22%,348.82%,355.45%,,,,,,,,NO,,,5.80%,0.00%,5.80%,0.10%,58
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Swiss Life Holding AG - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.44%,11/10/2017,,,,,,,,,,$        819.90,-13%,3.17%,,$                   -,$            211.00,$                   -,0.00%,5.44%,3.66%,3.15%,-0.67%,-0.67%,,,,,5Y CAGR,7.39%,,Swiss Life Holding AG - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,,,Swiss Life Holding AG - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                    265.70,,,12/29/2014,,12/29/2014,,,,,0.00%,265.70 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.29%,256.42%,261.69%,14,3.66%,0.00%,,1997,0.00,-,,,,0,0.00%,754,754,28.41%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,266.40 CHF,,,1/5/2015,,1/5/2015,,,,,0.00%,266.40 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.26%,255.48%,260.74%,14,3.66%,0.00%,,1998,0.00,,,,,1,0.10%,0,754,0.00%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,265.60 CHF,,,1/12/2015,,1/12/2015,,,,,0.00%,265.60 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.30%,256.55%,261.82%,14,3.66%,-0.30%,,1999,0.00,,,,,2,0.20%,0,754,0.00%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,261.10 CHF,,,1/19/2015,,1/20/2015,,,,,0.00%,261.10 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.49%,262.70%,268.06%,14,3.66%,-1.99%,,2000,0.00,,1/1/1970,1970,,3,0.30%,0,754,0.00%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,257.20 CHF,,,1/26/2015,,1/26/2015,,,,,0.00%,257.20 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.66%,268.20%,273.64%,14,3.66%,-3.45%,,2001,0.00,,1/1/1971,1971,,4,0.40%,0,754,0.00%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,259.90 CHF,,,2/2/2015,,2/2/2015,,,,,0.00%,259.90 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.54%,264.37%,269.76%,14,3.66%,-2.44%,,2002,0.00,,1/1/1972,1972,,5,0.50%,0,754,0.00%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,263.50 CHF,,,2/9/2015,,2/9/2015,,,,,0.00%,263.50 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.39%,259.39%,264.71%,14,3.66%,-1.09%,,2003,0.00,,1/1/1973,1973,,6,0.60%,0,754,0.00%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,266.40 CHF,,,2/16/2015,,2/17/2015,,,,,0.00%,266.40 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.26%,255.48%,260.74%,14,3.66%,0.00%,,2004,0.00,,1/1/1974,1974,,7,0.70%,0,754,0.00%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,261.80 CHF,,,2/23/2015,,2/23/2015,,,,,0.00%,261.80 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.46%,261.73%,267.07%,14,3.66%,-1.73%,,2005,0.00,,1/1/1975,1975,,8,0.80%,0,754,0.00%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,261.50 CHF,,,3/2/2015,,3/2/2015,,,,,0.00%,261.50 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.47%,262.14%,267.50%,14,3.66%,-1.84%,,2006,0.00,,1/1/1976,1976,,9,0.90%,0,754,0.00%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,257.90 CHF,,,3/9/2015,,3/9/2015,,,,,0.00%,257.90 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.63%,267.20%,272.63%,14,3.66%,-3.19%,,2007,0.00,,1/1/1977,1977,,10,1.00%,0,754,0.00%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,261.80 CHF,,,3/16/2015,,3/16/2015,,,,,0.00%,261.80 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.46%,261.73%,267.07%,14,3.66%,-1.73%,,2008,0.00,,1/1/1978,1978,,11,1.10%,0,754,0.00%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,250.30 CHF,,,3/23/2015,,3/23/2015,,,,,0.00%,250.30 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.99%,278.35%,283.94%,14,3.66%,-6.04%,,2009,0.00,,1/1/1979,1979,,12,1.20%,0,754,0.00%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,254.60 CHF,,,3/30/2015,,3/30/2015,,,,,0.00%,254.60 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.78%,271.96%,277.45%,14,3.66%,-4.43%,,2010,0.00,,1/1/1980,1980,,13,1.30%,0,754,0.00%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,256.90 CHF,,,4/7/2015,,4/6/2015,,,,,0.00%,256.90 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.68%,268.63%,274.08%,14,3.66%,-3.57%,,2011,0.00,,1/1/1981,1981,,14,1.40%,0,754,0.00%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,255.20 CHF,,,4/13/2015,,4/13/2015,,,,,0.00%,255.20 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.76%,271.08%,276.57%,14,3.66%,-4.20%,,2012,0.00,,1/1/1982,1982,,15,1.50%,0,754,0.00%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,257.40 CHF,,,4/20/2015,,4/20/2015,,,,,0.00%,257.40 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.66%,267.91%,273.35%,14,3.66%,-3.38%,,2013,0.00,,1/1/1983,1983,,16,1.60%,0,754,0.00%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,256.70 CHF,,,4/27/2015,,4/27/2015,,,,,0.00%,256.70 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.69%,268.91%,274.37%,14,3.66%,-3.64%,,2014,0.00,,1/1/1984,1984,,17,1.70%,0,754,0.00%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,253.80 CHF,,,5/4/2015,,5/4/2015,,,,,0.00%,253.80 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.82%,273.13%,278.64%,14,3.66%,-4.73%,,2015,0.00,,1/1/1985,1985,,18,1.80%,0,754,0.00%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,259.30 CHF,,,5/11/2015,,5/11/2015,,,,,0.00%,259.30 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.57%,265.21%,270.61%,14,3.66%,-2.67%,,2016,0.00,,1/1/1986,1986,,19,1.90%,0,754,0.00%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,258.80 CHF,,,5/18/2015,,5/18/2015,,,,,0.00%,258.80 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.59%,265.92%,271.33%,14,3.66%,-2.85%,,2017,0.00,,1/1/1987,1987,,20,2.00%,0,754,0.00%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,256.00 CHF,,,5/26/2015,,5/26/2015,,,,,0.00%,256.00 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.72%,269.92%,275.39%,14,3.66%,-3.90%,,2018,0.00,,1/1/1988,1988,,21,2.10%,0,754,0.00%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,252.00 CHF,,,6/1/2015,,6/1/2015,,,,,0.00%,252.00 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.90%,275.79%,281.35%,14,3.66%,-5.41%,,2019,14.00,,1/1/1989,1989,,22,2.20%,0,754,0.00%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,245.90 CHF,,,6/8/2015,,6/8/2015,,,,,0.00%,245.90 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,12.20%,285.12%,290.81%,14,3.66%,-7.70%,,2020,15.00,7.14%,1/1/1990,1990,,23,2.30%,0,754,0.00%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,241.60 CHF,,,6/15/2015,,6/15/2015,,,,,0.00%,241.60 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,12.42%,291.97%,297.76%,14,3.66%,-9.31%,,2021,21.00,40.00%,1/1/1991,1991,,24,2.40%,0,754,0.00%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,232.90 CHF,,,6/22/2015,,6/22/2015,,,,,0.00%,232.90 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,12.88%,306.61%,312.62%,14,3.66%,-12.58%,,2022,25.00,19.05%,1/1/1992,1992,,25,2.50%,0,754,0.00%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,225.60 CHF,,,6/29/2015,,6/29/2015,,,,,0.00%,225.60 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,13.30%,319.77%,325.98%,14,3.66%,-15.32%,,2023,30.00,20.00%,1/1/1993,1993,,26,2.60%,0,754,0.00%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,230.70 CHF,,,7/6/2015,,7/6/2015,,,,,0.00%,230.70 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,13.00%,310.49%,316.56%,14,3.66%,-13.40%,,2024,30.00,0.00%,1/1/1994,1994,,27,2.70%,5,759,0.19%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,221.70 CHF,,,7/13/2015,,7/13/2015,,,,,0.00%,221.70 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,13.53%,327.15%,333.47%,14,3.66%,-16.78%,,2025,30.00,0.00%,1/1/1995,1995,,28,2.80%,82,841,3.09%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,223.60 CHF,,,7/20/2015,,7/20/2015,,,,,0.00%,223.60 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,13.42%,323.52%,329.79%,14,3.66%,-16.07%,,2026,30.00,0.00%,1/1/1996,1996,,29,2.90%,62,903,2.34%
,,,,,,,,,,,,,,,,,,2016,2/15/2016,231.20 CHF,,,7/27/2015,,7/27/2015,,,,,0.00%,231.20 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,12.98%,309.60%,315.66%,14,3.66%,-13.21%,,,,,1/1/1997,1997,,30,3.00%,65,968,2.45%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,230.30 CHF,,,8/3/2015,,8/3/2015,,,,,0.00%,230.30 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,13.03%,311.20%,317.28%,14,3.66%,-13.55%,,,,,1/1/1998,1998,,31,3.10%,33,1001,1.24%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,237.40 CHF,,,8/10/2015,,8/10/2015,,,,,0.00%,237.40 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,12.64%,298.90%,304.80%,14,3.66%,-10.89%,,,,,1/1/1999,1999,,32,3.20%,41,1042,1.54%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,239.30 CHF,,,8/17/2015,,8/17/2015,,,,,0.00%,239.30 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,12.54%,295.74%,301.59%,14,3.66%,-10.17%,,,,,1/1/2000,2000,,33,3.30%,66,1108,2.49%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,237.80 CHF,,,8/24/2015,,8/24/2015,,,,,0.00%,237.80 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,12.62%,298.23%,304.12%,14,3.66%,-10.74%,,,,,1/1/2001,2001,,34,3.40%,97,1205,3.65%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,241.50 CHF,,,8/31/2015,,8/31/2015,,,,,0.00%,241.50 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,12.42%,292.13%,297.93%,14,3.66%,-9.35%,,,,,1/1/2002,2002,,35,3.50%,76,1281,2.86%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,236.40 CHF,,,9/7/2015,,9/8/2015,,,,,0.00%,236.40 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,12.69%,300.59%,306.51%,14,3.66%,-11.26%,,,,,1/1/2003,2003,,36,3.60%,75,1356,2.83%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,232.70 CHF,,,9/14/2015,,9/14/2015,,,,,0.00%,232.70 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,12.89%,306.96%,312.98%,14,3.66%,-12.65%,,,,,1/1/2004,2004,,37,3.70%,57,1413,2.15%
,,,,,,,,,,,,,,,,,,2016,2/25/2016,235.20 CHF,,,9/21/2015,,9/21/2015,,,,,0.00%,235.20 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,12.76%,302.64%,308.59%,14,3.66%,-11.71%,,,,,1/1/2005,2005,,38,3.80%,37,1450,1.39%
,,,,,,,,,,,,,,,,,,2016,2/26/2016,242.00 CHF,,,9/28/2015,,9/28/2015,,,,,0.00%,242.00 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,12.40%,291.32%,297.11%,14,3.66%,-9.16%,,,,,1/1/2006,2006,,39,3.90%,29,1479,1.09%
,,,,,,,,,,,,,,,,,,2016,2/29/2016,243.80 CHF,,,10/5/2015,,10/5/2015,,,,,0.00%,243.80 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,12.31%,288.43%,294.18%,14,3.66%,-8.48%,,,,,1/1/2007,2007,,40,4.00%,60,1539,2.26%
,,,,,,,,,,,,,,,,,,2016,3/1/2016,257.80 CHF,,,10/12/2015,,10/12/2015,,,,,0.00%,257.80 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.64%,267.34%,272.77%,14,3.66%,-3.23%,,,,,1/1/2008,2008,,41,4.10%,76,1615,2.86%
,,,,,,,,,,,,,,,,,,2016,3/2/2016,259.40 CHF,,,10/19/2015,,10/19/2015,,,,,0.00%,259.40 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.57%,265.07%,270.47%,14,3.66%,-2.63%,,,,,1/1/2009,2009,,42,4.20%,96,1711,3.62%
,,,,,,,,,,,,,,,,,,2016,3/3/2016,255.40 CHF,,,10/26/2015,,10/26/2015,,,,,0.00%,255.40 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.75%,270.79%,276.27%,14,3.66%,-4.13%,,,,,1/1/2010,2010,,43,4.30%,104,1815,3.92%
,,,,,,,,,,,,,,,,,,2016,3/4/2016,257.10 CHF,,,11/2/2015,,11/2/2015,,,,,0.00%,257.10 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.67%,268.34%,273.78%,14,3.66%,-3.49%,,,,,1/1/2011,2011,,44,4.40%,104,1919,3.92%
,,,,,,,,,,,,,,,,,,2016,3/7/2016,257.20 CHF,,,11/9/2015,,11/9/2015,,,,,0.00%,257.20 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.66%,268.20%,273.64%,14,3.66%,-3.45%,,,,,1/1/2012,2012,,45,4.50%,93,2012,3.50%
,,,,,,,,,,,,,,,,,,2016,3/8/2016,255.30 CHF,,,11/16/2015,,11/16/2015,,,,,0.00%,255.30 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.75%,270.94%,276.42%,14,3.66%,-4.17%,,,,,1/1/2013,2013,,46,4.60%,92,2104,3.47%
,,,,,,,,,,,,,,,,,,2016,3/9/2016,256.10 CHF,,,11/23/2015,,11/23/2015,,,,,0.00%,256.10 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.71%,269.78%,275.24%,14,3.66%,-3.87%,,,,,1/1/2014,2014,,47,4.70%,59,2163,2.22%
,,,,,,,,,,,,,,,,,,2016,3/10/2016,255.30 CHF,,,11/30/2015,,11/30/2015,,,,,0.00%,255.30 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.75%,270.94%,276.42%,14,3.66%,-4.17%,,,,,1/1/2015,2015,,48,4.80%,71,2234,2.68%
,,,,,,,,,,,,,,,,,,2016,3/11/2016,262.50 CHF,,,12/7/2015,,12/7/2015,,,,,0.00%,262.50 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.43%,260.76%,266.10%,14,3.66%,-1.46%,,,,,1/1/2016,2016,,49,4.90%,50,2284,1.88%
,,,,,,,,,,,,,,,,,,2016,3/14/2016,262.50 CHF,,,12/14/2015,,12/14/2015,,,,,0.00%,262.50 CHF,0.00,,0.00,0.00,,,0.00%,5.44%,11.43%,260.76%,266.10%,14,3.66%,-1.46%,,,,,1/1/2017,2017,,50,5.00%,45,2329,1.70%
