,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,SOF BB,Sofina SA,,,,,,,,,,37%,59%,$    238.00,$        155.65,$         214.16,$           431.29,$       379.23,2.74%,0.85%,1.53%,3.63%,166.47%,178.19%,138%,,,,,,,NO,,,2.65%,0.71%,1.94%,0.03%,65
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Sofina SA - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.08%,11/10/2017,,,,,,,,,,$         214.16,-10%,1.36%,$       379.23,$         161.94,$              89.31,$         117.70,0.70%,2.08%,1.51%,0.75%,-44.82%,-44.82%,-17%,,,,5Y CAGR,1.45%,,Sofina SA - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.83%,,Sofina SA - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Sofina SA - Rating: 37% - Upside: 59%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                     100.68,,,12/29/2014,,12/29/2014,,,,,2.43%,€             100.68,2.45,286.76,117.70,161.94,-10%,185%,0.85%,2.08%,3.22%,136.40%,146.80%,10.467143,1.51%,0.00%,,1997,0.00,-,37,,,0,0.71%,11,11,0.41%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                       100.88,,,1/5/2015,,1/5/2015,,,,,2.43%,€             100.88,2.45,286.76,117.70,161.94,-10%,184%,0.85%,2.08%,3.21%,135.93%,146.31%,10.467143,1.51%,0.00%,,1998,0.00,,59,,,1,0.74%,32,43,1.18%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                         99.73,,,1/12/2015,,1/12/2015,,,,,2.46%,€               99.73,2.45,286.76,117.70,161.94,-11%,188%,0.85%,2.08%,3.25%,138.63%,149.13%,10.467143,1.51%,-1.13%,,1999,0.00,,,,,2,0.77%,35,78,1.29%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                         98.79,,,1/19/2015,,1/20/2015,,,,,2.48%,€               98.79,2.45,286.76,117.70,161.94,-11%,190%,0.85%,2.08%,3.28%,140.91%,151.51%,10.467143,1.51%,-2.07%,,2000,0.00,,1/1/1970,1970,,3,0.80%,30,108,1.11%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                         97.53,,,1/26/2015,,1/26/2015,,,,,2.51%,€               97.53,2.45,286.76,117.70,161.94,-12%,194%,0.85%,2.08%,3.32%,144.02%,154.76%,10.467143,1.51%,-3.32%,,2001,0.00,,1/1/1971,1971,,4,0.83%,31,139,1.15%
