,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,SOLB BB,Solvay SA,,,,,,,,,,34%,40%,$       26.22,$          20.83,$           28.14,$             39.35,$          36.59,25.49%,11.07%,14.47%,27.53%,78.22%,116.93%,121%,,,,,,,NO,,,21.92%,10.46%,11.47%,0.15%,76
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Solvay SA - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,19.44%,11/10/2017,,,,,,,,,,$           28.14,7%,15.45%,$          36.59,$          22.93,$               14.71,$           16.98,10.15%,19.44%,14.39%,10.29%,-33.37%,-33.37%,-31%,,,,5Y CAGR,1.55%,,Solvay SA - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.07%,,Solvay SA - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Solvay SA - Rating: 34% - Upside: 40%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       24.86,,,12/29/2014,,12/29/2014,,,,,13.27%,€               24.86,3.30,29.82,16.98,22.93,61%,20%,11.07%,19.44%,16.29%,5.46%,62.17%,14.1,14.39%,0.00%,,1997,0.00,-,34,,,0,10.46%,28,28,1.04%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                         24.83,,,1/5/2015,,1/5/2015,,,,,13.29%,€               24.83,3.30,29.82,16.98,22.93,61%,20%,11.07%,19.44%,16.31%,5.60%,62.39%,14.1,14.39%,-0.14%,,1998,0.00,,40,,,1,10.61%,24,52,0.89%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                         24.09,,,1/12/2015,,1/12/2015,,,,,13.70%,€               24.09,3.30,29.82,16.98,22.93,55%,24%,11.07%,19.44%,16.81%,8.84%,67.37%,14.1,14.39%,-3.10%,,1999,0.00,,,,,2,10.76%,32,84,1.18%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                         23.39,,,1/19/2015,,1/20/2015,,,,,14.11%,€               23.39,3.30,29.82,16.98,22.93,50%,27%,11.07%,19.44%,17.31%,12.09%,72.37%,14.1,14.39%,-5.92%,,2000,0.00,,1/1/1970,1970,,3,10.91%,36,120,1.33%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                         22.44,,,1/26/2015,,1/26/2015,,,,,14.71%,€               22.44,3.30,29.82,16.98,22.93,43%,33%,11.07%,19.44%,18.05%,16.86%,79.70%,14.1,14.39%,-9.75%,,2001,0.00,,1/1/1971,1971,,4,11.06%,19,139,0.70%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                         22.05,,,2/2/2015,,2/2/2015,,,,,14.96%,€               22.05,3.30,29.82,16.98,22.93,40%,35%,11.07%,19.44%,18.37%,18.90%,82.84%,14.1,14.39%,-11.30%,,2002,2.27,,1/1/1972,1972,,5,11.21%,24,163,0.89%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,€                                                         22.58,,,2/9/2015,,2/9/2015,,,,,14.62%,€               22.58,3.30,29.82,16.98,22.93,44%,32%,11.07%,19.44%,17.94%,16.14%,78.60%,14.1,14.39%,-9.20%,,2003,2.40,5.88%,1/1/1973,1973,,6,11.36%,49,212,1.81%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,€                                                          22.15,,,2/16/2015,,2/17/2015,,,,,14.90%,€                22.15,3.30,29.82,16.98,22.93,40%,35%,11.07%,19.44%,18.28%,18.37%,82.03%,14.1,14.39%,-10.91%,,2004,2.40,0.00%,1/1/1974,1974,,7,11.51%,22,234,0.81%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,€                                                         22.02,,,2/23/2015,,2/23/2015,,,,,14.99%,€               22.02,3.30,29.82,16.98,22.93,39%,35%,11.07%,19.44%,18.39%,19.07%,83.10%,14.1,14.39%,-11.43%,,2005,2.53,5.56%,1/1/1975,1975,,8,11.66%,44,278,1.63%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,€                                                          21.00,,,3/2/2015,,3/2/2015,,,,,15.72%,€                21.00,3.30,29.82,16.98,22.93,31%,42%,11.07%,19.44%,19.29%,24.88%,92.04%,14.1,14.39%,-15.55%,,2006,2.67,5.26%,1/1/1976,1976,,9,11.81%,64,342,2.37%
