,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,SON US,Sonoco Products Co,,,,,,,,,,46%,26%,$       58.68,$          45.66,$          63.60,$             69.28,$          73.90,5.14%,2.73%,3.33%,5.46%,58.55%,75.63%,118%,,,,,,,NO,,,5.04%,2.60%,2.44%,0.04%,61
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Sonoco Products Co - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.42%,11/10/2017,,,,,,,,,,$          63.60,8%,3.44%,$          73.90,$          45.97,$              37.01,$          33.00,2.56%,4.42%,3.18%,2.92%,-15.30%,-15.30%,-23%,,,,5Y CAGR,2.33%,,Sonoco Products Co - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,3.30%,,Sonoco Products Co - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Sonoco Products Co - Rating: 46% - Upside: 26%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       40.25,,,12/29/2014,,12/29/2014,,,,,3.63%,$             40.25,1.46,53.41,33.00,45.97,36%,33%,2.73%,4.42%,5.02%,45.79%,61.49%,6.32,3.18%,0.00%,,1997,0.00,-,46,,,0,2.60%,19,19,0.72%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        40.17,,,1/5/2015,,1/5/2015,,,,,3.63%,$              40.17,1.46,53.41,33.00,45.97,35%,33%,2.73%,4.42%,5.03%,46.08%,61.81%,6.32,3.18%,-0.20%,,1998,0.00,,26,,,1,2.64%,35,54,1.32%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       39.73,,,1/12/2015,,1/12/2015,,,,,3.67%,$             39.73,1.46,53.41,33.00,45.97,33%,34%,2.73%,4.42%,5.08%,47.70%,63.60%,6.32,3.18%,-1.29%,,1999,0.00,,,,,2,2.68%,47,101,1.77%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       39.05,,,1/20/2015,,1/20/2015,,,,,3.74%,$             39.05,1.46,53.41,33.00,45.97,30%,37%,2.73%,4.42%,5.17%,50.27%,66.45%,6.32,3.18%,-2.98%,,2000,0.00,,1/1/1970,1970,,3,2.72%,64,165,2.41%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       38.69,,,1/26/2015,,1/26/2015,,,,,3.77%,$             38.69,1.46,53.41,33.00,45.97,28%,38%,2.73%,4.42%,5.22%,51.67%,68.00%,6.32,3.18%,-3.88%,,2001,0.00,,1/1/1971,1971,,4,2.76%,71,236,2.67%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       38.82,,,2/2/2015,,2/2/2015,,,,,3.76%,$             38.82,1.46,53.41,33.00,45.97,29%,38%,2.73%,4.42%,5.20%,51.16%,67.44%,6.32,3.18%,-3.55%,,2002,0.83,,1/1/1972,1972,,5,2.80%,87,323,3.28%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       38.83,,,2/9/2015,,2/9/2015,,,,,3.76%,$             38.83,1.46,53.41,33.00,45.97,29%,38%,2.73%,4.42%,5.20%,51.12%,67.40%,6.32,3.18%,-3.53%,,2003,0.84,1.20%,1/1/1973,1973,,6,2.84%,135,458,5.08%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       38.04,,,2/17/2015,,2/17/2015,,,,,3.84%,$             38.04,1.46,53.41,33.00,45.97,25%,40%,2.73%,4.42%,5.31%,54.26%,70.87%,6.32,3.18%,-5.49%,,2004,0.87,3.57%,1/1/1974,1974,,7,2.88%,164,622,6.18%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       38.26,,,2/23/2015,,2/23/2015,,,,,3.82%,$             38.26,1.46,53.41,33.00,45.97,26%,40%,2.73%,4.42%,5.28%,53.37%,69.89%,6.32,3.18%,-4.94%,,2005,0.91,4.60%,1/1/1975,1975,,8,2.92%,122,744,4.60%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                        38.18,,,3/2/2015,,3/2/2015,,,,,3.82%,$              38.18,1.46,53.41,33.00,45.97,25%,40%,2.73%,4.42%,5.29%,53.69%,70.25%,6.32,3.18%,-5.14%,,2006,0.95,4.40%,1/1/1976,1976,,9,2.96%,143,887,5.39%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                        38.13,,,3/9/2015,,3/9/2015,,,,,3.83%,$              38.13,1.46,53.41,33.00,45.97,25%,40%,2.73%,4.42%,5.30%,53.89%,70.47%,6.32,3.18%,-5.27%,,2007,1.02,7.37%,1/1/1977,1977,,10,3.00%,115,1002,4.33%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       37.70,,,3/16/2015,,3/16/2015,,,,,3.87%,$             37.70,1.46,53.41,33.00,45.97,23%,42%,2.73%,4.42%,5.36%,55.65%,72.41%,6.32,3.18%,-6.34%,,2008,1.07,4.90%,1/1/1978,1978,,11,3.04%,111,1113,4.18%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                        37.13,,,3/23/2015,,3/23/2015,,,,,3.93%,$              37.13,1.46,53.41,33.00,45.97,20%,44%,2.73%,4.42%,5.44%,58.04%,75.06%,6.32,3.18%,-7.75%,,2009,1.08,0.93%,1/1/1979,1979,,12,3.08%,78,1191,2.94%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       38.53,,,3/30/2015,,3/30/2015,,,,,3.79%,$             38.53,1.46,53.41,33.00,45.97,27%,39%,2.73%,4.42%,5.24%,52.30%,68.70%,6.32,3.18%,-4.27%,,2010,1.11,2.78%,1/1/1980,1980,,13,3.12%,86,1277,3.24%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                        37.01,,,4/6/2015,,4/6/2015,,,,,3.94%,$              37.01,1.46,53.41,33.00,45.97,20%,44%,2.73%,4.42%,5.46%,58.55%,75.63%,6.32,3.18%,-8.05%,,2011,1.15,3.60%,1/1/1981,1981,,14,3.16%,72,1349,2.71%
