,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,SOW GR,Software AG,,,,,,,,,,117%,-14%,$        37.10,$               1.71,$          42.06,$             48.69,$       483.85,3.71%,0.16%,1.77%,0.27%,99.36%,99.36%,123%,,,,,,,NO,,,3.52%,0.13%,3.39%,0.05%,68
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Software AG - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.92%,11/10/2017,,,,,,,,,,$             2.77,-93%,0.13%,$           31.83,$             2.77,$               18.61,$               1.71,0.13%,2.92%,1.81%,0.10%,-23.80%,-21.01%,-1%,,,,5Y CAGR,-41.97%,,Software AG - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,-21.32%,,Software AG - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Software AG - Rating: 117% - Upside: -14%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       26.06,,,12/29/2014,,12/29/2014,,,,,2.11%,€               26.06,0.55,350.15,18.83,30.44,2%,1244%,0.16%,2.92%,0.19%,42.36%,52.00%,2.51,1.81%,0.00%,,1997,0.00,-,117,,,0,0.13%,206,206,9.96%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                         26.08,,,1/5/2015,,1/5/2015,,,,,2.11%,€               26.08,0.55,350.15,18.83,30.44,2%,1243%,0.16%,2.92%,0.19%,42.25%,51.88%,2.51,1.81%,0.00%,,1998,0.00,,-14,,,1,0.18%,23,229,1.11%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                          26.31,,,1/12/2015,,1/12/2015,,,,,2.09%,€                26.31,0.55,350.15,18.83,30.44,2%,1231%,0.16%,2.92%,0.19%,41.01%,50.55%,2.51,1.81%,0.00%,,1999,0.00,,,,,2,0.23%,55,284,2.66%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                         25.07,,,1/19/2015,,1/20/2015,,,,,2.19%,€               25.07,0.55,350.15,18.83,30.44,2%,1297%,0.16%,2.92%,0.20%,47.99%,58.00%,2.51,1.81%,-4.71%,,2000,0.00,,1/1/1970,1970,,3,0.28%,0,284,0.00%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                         25.56,,,1/26/2015,,1/26/2015,,,,,2.15%,€               25.56,0.55,350.15,18.83,30.44,2%,1270%,0.16%,2.92%,0.20%,45.18%,55.00%,2.51,1.81%,-2.87%,,2001,0.00,,1/1/1971,1971,,4,0.33%,0,284,0.00%
