,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,SPG US,Simon Property,,,,,,,,,,78%,14%,$     231.67,$         118.86,$        176.39,$           231.67,$       263.83,10.68%,3.24%,5.07%,16.93%,426.40%,426.40%,125%,,,,,,,NO,,,8.82%,2.92%,5.90%,0.10%,59
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,4.70%,,Simon Property - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,7.19%,11/10/2017,,,,,,,,,,$        176.39,-24%,3.69%,$       263.83,$          96.96,$              44.01,$          65.34,2.86%,7.19%,4.85%,3.22%,0.00%,0.00%,-27%,,,,5Y CAGR,7.89%,,Simon Property - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.78%,,Simon Property - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Simon Property - Rating: 78% - Upside: 14%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                     192.34,,,12/29/2014,,12/29/2014,,,,,3.38%,$           192.34,6.50,200.57,90.37,134.10,93%,4%,3.24%,7.19%,3.87%,20.45%,35.97%,29.85,4.85%,0.00%,,1997,0.00,-,78,,,0,2.92%,26,26,0.98%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                      196.17,,,1/5/2015,,1/5/2015,,,,,3.31%,$            196.17,6.50,200.57,90.37,134.10,96%,2%,3.24%,7.19%,3.80%,18.10%,33.31%,29.85,4.85%,0.00%,,1998,0.00,,14,,,1,3.02%,36,62,1.36%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                     195.69,,,1/12/2015,,1/12/2015,,,,,3.32%,$           195.69,6.50,200.57,90.37,134.10,96%,2%,3.24%,7.19%,3.81%,18.39%,33.64%,29.85,4.85%,-0.24%,,1999,0.00,,,,,2,3.12%,49,111,1.85%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                      191.56,,,1/20/2015,,1/20/2015,,,,,3.39%,$            191.56,6.50,200.57,90.37,134.10,92%,5%,3.24%,7.19%,3.89%,20.94%,36.52%,29.85,4.85%,-2.35%,,2000,0.00,,1/1/1970,1970,,3,3.22%,58,169,2.18%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                      186.10,,,1/26/2015,,1/26/2015,,,,,3.49%,$            186.10,6.50,200.57,90.37,134.10,87%,8%,3.24%,7.19%,4.00%,24.49%,40.53%,29.85,4.85%,-5.13%,,2001,0.00,,1/1/1971,1971,,4,3.32%,24,193,0.90%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                      186.71,,,2/2/2015,,2/2/2015,,,,,3.48%,$            186.71,6.50,200.57,90.37,134.10,87%,7%,3.24%,7.19%,3.99%,24.08%,40.07%,29.85,4.85%,-4.82%,,2002,2.18,,1/1/1972,1972,,5,3.42%,41,234,1.54%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                     185.54,,,2/9/2015,,2/9/2015,,,,,3.50%,$           185.54,6.50,200.57,90.37,134.10,86%,8%,3.24%,7.19%,4.02%,24.86%,40.95%,29.85,4.85%,-5.42%,,2003,2.40,10.34%,1/1/1973,1973,,6,3.52%,48,282,1.81%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                     184.27,,,2/17/2015,,2/17/2015,,,,,3.53%,$           184.27,6.50,200.57,90.37,134.10,85%,9%,3.24%,7.19%,4.04%,25.72%,41.92%,29.85,4.85%,-6.07%,,2004,2.60,8.33%,1/1/1974,1974,,7,3.62%,22,304,0.83%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                     185.66,,,2/23/2015,,2/23/2015,,,,,3.50%,$           185.66,6.50,200.57,90.37,134.10,86%,8%,3.24%,7.19%,4.01%,24.78%,40.86%,29.85,4.85%,-5.36%,,2005,2.80,7.69%,1/1/1975,1975,,8,3.72%,21,325,0.79%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                      184.17,,,3/2/2015,,3/2/2015,,,,,3.53%,$            184.17,6.50,200.57,90.37,134.10,85%,9%,3.24%,7.19%,4.05%,25.79%,42.00%,29.85,4.85%,-6.12%,,2006,3.04,8.57%,1/1/1976,1976,,9,3.82%,48,373,1.81%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                     186.40,,,3/9/2015,,3/9/2015,,,,,3.49%,$           186.40,6.50,200.57,90.37,134.10,87%,8%,3.24%,7.19%,4.00%,24.29%,40.30%,29.85,4.85%,-4.98%,,2007,3.36,10.53%,1/1/1977,1977,,10,3.92%,31,404,1.17%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                     180.64,,,3/16/2015,,3/16/2015,,,,,3.60%,$           180.64,6.50,200.57,90.37,134.10,82%,11%,3.24%,7.19%,4.12%,28.25%,44.77%,29.85,4.85%,-7.92%,,2008,3.60,7.14%,1/1/1978,1978,,11,4.02%,20,424,0.75%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                     182.70,,,3/23/2015,,3/23/2015,,,,,3.56%,$           182.70,6.50,200.57,90.37,134.10,84%,10%,3.24%,7.19%,4.08%,26.80%,43.14%,29.85,4.85%,-6.87%,,2009,0.45,-87.50%,1/1/1979,1979,,12,4.12%,57,481,2.15%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                     187.32,,,3/30/2015,,3/30/2015,,,,,3.47%,$           187.32,6.50,200.57,90.37,134.10,88%,7%,3.24%,7.19%,3.98%,23.68%,39.61%,29.85,4.85%,-4.51%,,2010,2.60,477.78%,1/1/1980,1980,,13,4.22%,94,575,3.54%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                      185.15,,,4/6/2015,,4/6/2015,,,,,3.51%,$            185.15,6.50,200.57,90.37,134.10,86%,8%,3.24%,7.19%,4.02%,25.13%,41.25%,29.85,4.85%,-5.62%,,2011,3.30,26.92%,1/1/1981,1981,,14,4.32%,116,691,4.37%
