,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,SPGI US,S&P Global Inc,,,,,,,,,,76%,13%,$    439.83,$       253.75,$         371.18,$           533.61,$       499.05,1.88%,0.72%,1.00%,4.71%,475.72%,485.35%,114%,,,,,,,NO,,,1.81%,0.68%,1.12%,0.02%,56
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,S&P Global Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.42%,11/10/2017,,,,,,,,,,$         371.18,-16%,0.82%,$       499.05,$        148.47,$             76.40,$         101.50,0.67%,1.42%,0.97%,0.67%,-17.57%,-17.57%,-26%,,,,5Y CAGR,3.17%,,S&P Global Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,9.60%,,S&P Global Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,S&P Global Inc - Rating: 76% - Upside: 13%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       89.67,,,12/29/2014,,12/29/2014,,,,,1.61%,$             89.67,1.44,199.62,101.50,148.47,-12%,123%,0.72%,1.42%,4.01%,390.51%,398.72%,7.36,0.97%,0.00%,,1997,0.00,-,76,,,0,0.68%,52,52,1.96%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       89.97,,,1/5/2015,,1/5/2015,,,,,1.60%,$             89.97,1.44,199.62,101.50,148.47,-12%,122%,0.72%,1.42%,4.00%,388.86%,397.04%,7.36,0.97%,0.00%,,1998,0.00,,13,,,1,0.70%,79,131,2.98%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       88.99,,,1/12/2015,,1/12/2015,,,,,1.62%,$             88.99,1.44,199.62,101.50,148.47,-13%,124%,0.72%,1.42%,4.05%,394.27%,402.54%,7.36,0.97%,-1.09%,,1999,0.00,,,,,2,0.72%,126,257,4.75%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        86.19,,,1/20/2015,,1/20/2015,,,,,1.67%,$              86.19,1.44,199.62,101.50,148.47,-16%,132%,0.72%,1.42%,4.18%,410.32%,418.86%,7.36,0.97%,-4.21%,,2000,0.00,,1/1/1970,1970,,3,0.74%,94,351,3.54%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       83.72,,,1/26/2015,,1/26/2015,,,,,1.72%,$             83.72,1.44,199.62,101.50,148.47,-18%,138%,0.72%,1.42%,4.30%,425.37%,434.16%,7.36,0.97%,-6.95%,,2001,0.00,,1/1/1971,1971,,4,0.76%,106,457,3.99%
