,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,SPXL US,Direxion Daily S&P500 Bull 3X Shares ETF,,,,,,,,,,,,$    260.58,$           18.73,$        317.94,$          288.03,$                   -,6.25%,0.00%,0.97%,6.94%,1675.07%,1692.84%,,,,,,,,NO,,,6.09%,0.00%,6.09%,0.10%,61
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,-3.20%,,Direxion Daily S&P500 Bull 3X Shares ETF - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.93%,11/10/2017,,,,,,,,,,$        170.93,-34%,0.35%,,$                   -,$              14.68,$                   -,0.00%,4.93%,0.54%,0.35%,-9.53%,-9.53%,,,,,5Y CAGR,42.75%,,Direxion Daily S&P500 Bull 3X Shares ETF - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,,,Direxion Daily S&P500 Bull 3X Shares ETF - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                         19.81,,,12/29/2014,,12/29/2014,,,,,0.00%,$               19.81,0.00,,0.00,0.00,,,0.00%,4.93%,5.14%,1215.23%,1228.40%,2.6091,0.54%,0.00%,,1997,0.00,-,,,,0,0.00%,252,252,9.49%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        19.95,,,1/5/2015,,1/5/2015,,,,,0.00%,$              19.95,0.00,,0.00,0.00,,,0.00%,4.93%,5.11%,1206.49%,1219.57%,2.6091,0.54%,0.00%,,1998,0.00,,,,,1,0.10%,296,548,11.15%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                         19.15,,,1/12/2015,,1/12/2015,,,,,0.00%,$               19.15,0.00,,0.00,0.00,,,0.00%,4.93%,5.32%,1260.55%,1274.18%,2.6091,0.54%,-3.97%,,1999,0.00,,,,,2,0.20%,268,816,10.09%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        17.79,,,1/20/2015,,1/20/2015,,,,,0.00%,$              17.79,0.00,,0.00,0.00,,,0.00%,4.93%,5.73%,1365.17%,1379.84%,2.6091,0.54%,-10.83%,,2000,0.00,,1/1/1970,1970,,3,0.30%,206,1022,7.76%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        17.20,,,1/26/2015,,1/26/2015,,,,,0.00%,$              17.20,0.00,,0.00,0.00,,,0.00%,4.93%,5.92%,1415.00%,1430.17%,2.6091,0.54%,-13.76%,,2001,0.00,,1/1/1971,1971,,4,0.40%,223,1245,8.40%
