,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,SRCE US,1st Source Corp,,,,,,,,,,112%,-6%,$       86.79,$          39.95,$          56.03,$             86.79,$           81.95,4.15%,1.59%,2.33%,4.77%,218.50%,227.64%,120%,,,,,,,NO,,,3.80%,1.46%,2.34%,0.03%,78
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,1st Source Corp - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.25%,11/10/2017,,,,,,,,,,$          56.03,-35%,1.50%,$           81.95,$           31.03,$             27.25,$           22.13,1.44%,3.25%,2.32%,1.50%,0.00%,0.00%,-20%,,,,5Y CAGR,1.45%,,1st Source Corp - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,6.09%,,1st Source Corp - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,1st Source Corp - Rating: 112% - Upside: -6%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        30.41,,,12/29/2014,,12/29/2014,,,,,2.37%,$              30.41,0.72,45.39,22.13,31.03,36%,49%,1.59%,3.25%,4.27%,185.40%,197.04%,3.54,2.32%,0.00%,,1997,0.00,-,112,,,0,1.46%,15,15,0.57%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       30.60,,,1/5/2015,,1/5/2015,,,,,2.35%,$             30.60,0.72,45.39,22.13,31.03,36%,48%,1.59%,3.25%,4.25%,183.63%,195.20%,3.54,2.32%,0.00%,,1998,0.00,,-6,,,1,1.49%,23,38,0.87%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        30.41,,,1/12/2015,,1/12/2015,,,,,2.37%,$              30.41,0.72,45.39,22.13,31.03,36%,49%,1.59%,3.25%,4.27%,185.40%,197.04%,3.54,2.32%,-0.62%,,1999,0.00,,,,,2,1.52%,25,63,0.94%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       29.75,,,1/20/2015,,1/20/2015,,,,,2.42%,$             29.75,0.72,45.39,22.13,31.03,33%,53%,1.59%,3.25%,4.37%,191.73%,203.63%,3.54,2.32%,-2.78%,,2000,0.00,,1/1/1970,1970,,3,1.55%,48,111,1.81%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       29.58,,,1/26/2015,,1/26/2015,,,,,2.43%,$             29.58,0.72,45.39,22.13,31.03,32%,53%,1.59%,3.25%,4.39%,193.41%,205.38%,3.54,2.32%,-3.33%,,2001,0.00,,1/1/1971,1971,,4,1.58%,34,145,1.28%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       29.79,,,2/2/2015,,2/2/2015,,,,,2.42%,$             29.79,0.72,45.39,22.13,31.03,33%,52%,1.59%,3.25%,4.36%,191.34%,203.22%,3.54,2.32%,-2.65%,,2002,0.36,,1/1/1972,1972,,5,1.61%,66,211,2.49%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                        29.71,,,2/9/2015,,2/9/2015,,,,,2.42%,$              29.71,0.72,45.39,22.13,31.03,33%,53%,1.59%,3.25%,4.38%,192.12%,204.04%,3.54,2.32%,-2.91%,,2003,0.37,2.78%,1/1/1973,1973,,6,1.64%,32,243,1.21%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       28.62,,,2/17/2015,,2/17/2015,,,,,2.52%,$             28.62,0.72,45.39,22.13,31.03,28%,59%,1.59%,3.25%,4.54%,203.25%,215.62%,3.54,2.32%,-6.47%,,2004,0.42,13.51%,1/1/1974,1974,,7,1.67%,38,281,1.43%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       28.74,,,2/23/2015,,2/23/2015,,,,,2.51%,$             28.74,0.72,45.39,22.13,31.03,28%,58%,1.59%,3.25%,4.52%,201.98%,214.30%,3.54,2.32%,-6.08%,,2005,0.49,16.67%,1/1/1975,1975,,8,1.70%,42,323,1.58%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       28.08,,,3/2/2015,,3/2/2015,,,,,2.56%,$             28.08,0.72,45.39,22.13,31.03,26%,62%,1.59%,3.25%,4.63%,209.08%,221.69%,3.54,2.32%,-8.24%,,2006,0.56,14.29%,1/1/1976,1976,,9,1.73%,38,361,1.43%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       28.57,,,3/9/2015,,3/9/2015,,,,,2.52%,$             28.57,0.72,45.39,22.13,31.03,28%,59%,1.59%,3.25%,4.55%,203.78%,216.17%,3.54,2.32%,-6.63%,,2007,0.56,0.00%,1/1/1977,1977,,10,1.76%,47,408,1.77%
