,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,STN CN,Stantec Inc,,,,,,,,,,60%,39%,$       99.62,$          42.46,$           61.65,$           158.78,$        138.50,2.08%,0.56%,1.21%,2.80%,257.70%,260.38%,121%,,,,,,,NO,,,2.04%,0.50%,1.54%,0.02%,77
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Stantec Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.84%,11/10/2017,,,,,,,,,,$           61.65,-38%,0.78%,$        138.50,$          35.57,$             27.85,$          24.50,0.49%,1.84%,1.27%,0.49%,-37.26%,-37.26%,-5%,,,,5Y CAGR,3.40%,,Stantec Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.65%,,Stantec Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Stantec Inc - Rating: 60% - Upside: 39%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       33.69,,,12/29/2014,,12/29/2014,,,,,1.34%,$             33.69,0.45,79.90,24.50,35.57,17%,137%,0.56%,1.84%,2.32%,195.70%,201.87%,2.08,1.27%,0.00%,,1997,0.00,-,60,,,0,0.50%,56,56,2.11%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        33.13,,,1/5/2015,,1/5/2015,,,,,1.36%,$              33.13,0.45,79.90,24.50,35.57,16%,141%,0.56%,1.84%,2.35%,200.69%,206.97%,2.08,1.27%,-1.66%,,1998,0.00,,39,,,1,0.52%,42,98,1.59%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       32.76,,,1/12/2015,,1/12/2015,,,,,1.37%,$             32.76,0.45,79.90,24.50,35.57,15%,144%,0.56%,1.84%,2.38%,204.09%,210.44%,2.08,1.27%,-2.76%,,1999,0.00,,,,,2,0.54%,17,115,0.64%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        32.15,,,1/19/2015,,1/20/2015,,,,,1.40%,$              32.15,0.45,79.90,24.50,35.57,14%,149%,0.56%,1.84%,2.43%,209.86%,216.33%,2.08,1.27%,-4.57%,,2000,0.00,,1/1/1970,1970,,3,0.56%,32,147,1.21%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       32.05,,,1/26/2015,,1/26/2015,,,,,1.40%,$             32.05,0.45,79.90,24.50,35.57,14%,149%,0.56%,1.84%,2.43%,210.83%,217.32%,2.08,1.27%,-4.87%,,2001,0.00,,1/1/1971,1971,,4,0.58%,27,174,1.02%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                        31.52,,,2/2/2015,,2/2/2015,,,,,1.43%,$              31.52,0.45,79.90,24.50,35.57,13%,154%,0.56%,1.84%,2.47%,216.05%,222.65%,2.08,1.27%,-6.44%,,2002,0.00,,1/1/1972,1972,,5,0.60%,16,190,0.60%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       32.04,,,2/9/2015,,2/9/2015,,,,,1.40%,$             32.04,0.45,79.90,24.50,35.57,14%,149%,0.56%,1.84%,2.43%,210.92%,217.42%,2.08,1.27%,-4.90%,,2003,0.00,,1/1/1973,1973,,6,0.62%,41,231,1.55%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        31.49,,,2/17/2015,,2/17/2015,,,,,1.43%,$              31.49,0.45,79.90,24.50,35.57,13%,154%,0.56%,1.84%,2.48%,216.35%,222.96%,2.08,1.27%,-6.53%,,2004,0.00,,1/1/1974,1974,,7,0.64%,73,304,2.76%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       32.09,,,2/23/2015,,2/23/2015,,,,,1.40%,$             32.09,0.45,79.90,24.50,35.57,14%,149%,0.56%,1.84%,2.43%,210.44%,216.92%,2.08,1.27%,-4.75%,,2005,0.00,,1/1/1975,1975,,8,0.66%,64,368,2.42%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                        31.60,,,3/2/2015,,3/2/2015,,,,,1.42%,$              31.60,0.45,79.90,24.50,35.57,13%,153%,0.56%,1.84%,2.47%,215.25%,221.84%,2.08,1.27%,-6.20%,,2006,0.00,,1/1/1976,1976,,9,0.68%,94,462,3.55%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,$                                                        31.96,,,3/9/2015,,3/9/2015,,,,,1.41%,$              31.96,0.45,79.90,24.50,35.57,13%,150%,0.56%,1.84%,2.44%,211.70%,218.21%,2.08,1.27%,-5.14%,,2007,0.00,,1/1/1977,1977,,10,0.70%,88,550,3.32%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                        31.97,,,3/16/2015,,3/16/2015,,,,,1.41%,$              31.97,0.45,79.90,24.50,35.57,13%,150%,0.56%,1.84%,2.44%,211.60%,218.11%,2.08,1.27%,-5.11%,,2008,0.00,,1/1/1978,1978,,11,0.72%,32,582,1.21%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                        31.80,,,3/23/2015,,3/23/2015,,,,,1.42%,$              31.80,0.45,79.90,24.50,35.57,13%,151%,0.56%,1.84%,2.45%,213.27%,219.81%,2.08,1.27%,-5.61%,,2009,0.00,,1/1/1979,1979,,12,0.74%,30,612,1.13%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                        31.80,,,3/30/2015,,3/30/2015,,,,,1.42%,$              31.80,0.45,79.90,24.50,35.57,13%,151%,0.56%,1.84%,2.45%,213.27%,219.81%,2.08,1.27%,-5.61%,,2010,0.00,,1/1/1980,1980,,13,0.76%,11,623,0.42%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                         33.11,,,4/6/2015,,4/6/2015,,,,,1.36%,$               33.11,0.45,79.90,24.50,35.57,16%,141%,0.56%,1.84%,2.36%,200.88%,207.16%,2.08,1.27%,-1.72%,,2011,0.00,,1/1/1981,1981,,14,0.78%,16,639,0.60%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                        32.01,,,4/13/2015,,4/13/2015,,,,,1.41%,$              32.01,0.45,79.90,24.50,35.57,14%,150%,0.56%,1.84%,2.44%,211.22%,217.71%,2.08,1.27%,-4.99%,,2012,0.30,,1/1/1982,1982,,15,0.80%,25,664,0.94%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                        32.71,,,4/20/2015,,4/20/2015,,,,,1.38%,$              32.71,0.45,79.90,24.50,35.57,15%,144%,0.56%,1.84%,2.38%,204.56%,210.91%,2.08,1.27%,-2.91%,,2013,0.33,10.00%,1/1/1983,1983,,16,0.82%,3,667,0.11%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       32.79,,,4/27/2015,,4/27/2015,,,,,1.37%,$             32.79,0.45,79.90,24.50,35.57,15%,144%,0.56%,1.84%,2.38%,203.81%,210.16%,2.08,1.27%,-2.67%,,2014,0.37,12.12%,1/1/1984,1984,,17,0.84%,7,674,0.26%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                       33.49,,,5/4/2015,,5/4/2015,,,,,1.34%,$             33.49,0.45,79.90,24.50,35.57,16%,139%,0.56%,1.84%,2.33%,197.46%,203.67%,2.08,1.27%,-0.59%,,2015,0.42,13.51%,1/1/1985,1985,,18,0.86%,44,718,1.66%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                        34.14,,,5/11/2015,,5/11/2015,,,,,1.32%,$              34.14,0.45,79.90,24.50,35.57,17%,134%,0.56%,1.84%,2.28%,191.80%,197.89%,2.08,1.27%,0.00%,,2016,0.45,7.14%,1/1/1986,1986,,19,0.88%,24,742,0.91%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                        34.15,,,5/19/2015,,5/18/2015,,,,,1.32%,$              34.15,0.45,79.90,24.50,35.57,17%,134%,0.56%,1.84%,2.28%,191.71%,197.80%,2.08,1.27%,0.00%,,2017,0.50,11.11%,1/1/1987,1987,,20,0.90%,17,759,0.64%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                        31.88,,,5/25/2015,,5/26/2015,,,,,1.41%,$              31.88,0.45,79.90,24.50,35.57,13%,151%,0.56%,1.84%,2.45%,212.48%,219.01%,2.08,1.27%,-6.65%,,2018,0.55,10.00%,1/1/1988,1988,,21,0.92%,39,798,1.47%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                       32.39,,,6/1/2015,,6/1/2015,,,,,1.39%,$             32.39,0.45,79.90,24.50,35.57,14%,147%,0.56%,1.84%,2.41%,207.56%,213.99%,2.08,1.27%,-5.15%,,2019,0.58,5.45%,1/1/1989,1989,,22,0.94%,31,829,1.17%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                        33.18,,,6/8/2015,,6/8/2015,,,,,1.36%,$              33.18,0.45,79.90,24.50,35.57,16%,141%,0.56%,1.84%,2.35%,200.24%,206.51%,2.08,1.27%,-2.84%,,2020,0.62,6.90%,1/1/1990,1990,,23,0.96%,21,850,0.79%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,$                                                       33.46,,,6/15/2015,,6/15/2015,,,,,1.34%,$             33.46,0.45,79.90,24.50,35.57,16%,139%,0.56%,1.84%,2.33%,197.73%,203.95%,2.08,1.27%,-2.02%,,2021,0.66,6.45%,1/1/1991,1991,,24,0.98%,34,884,1.28%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,$                                                       32.38,,,6/22/2015,,6/22/2015,,,,,1.39%,$             32.38,0.45,79.90,24.50,35.57,14%,147%,0.56%,1.84%,2.41%,207.66%,214.08%,2.08,1.27%,-5.18%,,2022,0.72,9.09%,1/1/1992,1992,,25,1.00%,13,897,0.49%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,$                                                        31.84,,,6/29/2015,,6/29/2015,,,,,1.41%,$              31.84,0.45,79.90,24.50,35.57,13%,151%,0.56%,1.84%,2.45%,212.88%,219.41%,2.08,1.27%,-6.76%,,2023,0.78,8.33%,1/1/1993,1993,,26,1.02%,12,909,0.45%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,$                                                        31.26,,,7/6/2015,,7/6/2015,,,,,1.44%,$              31.26,0.45,79.90,24.50,35.57,12%,156%,0.56%,1.84%,2.50%,218.68%,225.34%,2.08,1.27%,-8.46%,,2024,0.78,0.00%,1/1/1994,1994,,27,1.04%,15,924,0.57%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,$                                                        31.32,,,7/13/2015,,7/13/2015,,,,,1.44%,$              31.32,0.45,79.90,24.50,35.57,12%,155%,0.56%,1.84%,2.49%,218.07%,224.71%,2.08,1.27%,-8.29%,,2025,0.78,0.00%,1/1/1995,1995,,28,1.06%,35,959,1.32%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,$                                                        31.02,,,7/20/2015,,7/20/2015,,,,,1.45%,$              31.02,0.45,79.90,24.50,35.57,12%,158%,0.56%,1.84%,2.51%,221.15%,227.85%,2.08,1.27%,-9.17%,,2026,0.78,0.00%,1/1/1996,1996,,29,1.08%,61,1020,2.30%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,$                                                        31.90,,,7/27/2015,,7/27/2015,,,,,1.41%,$              31.90,0.45,79.90,24.50,35.57,13%,150%,0.56%,1.84%,2.45%,212.29%,218.81%,2.08,1.27%,-6.59%,,,,,1/1/1997,1997,,30,1.10%,37,1057,1.40%
