,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,STX US,Seagate Technology Holdings PL,,,,,,,,,,275%,-61%,$     816.99,$          37.78,$          67.68,$       1.094,04,$       320.67,13.46%,0.92%,4.44%,14.96%,4264.26%,4318.22%,373%,,,,,,,NO,,,12.34%,0.32%,12.02%,0.20%,60
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,1.87%,,Seagate Technology Holdings PL - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,7.83%,11/10/2017,,,,,,,,,,$          67.68,-92%,0.36%,$       320.67,$          57.62,$              18.72,$           32.16,0.27%,7.83%,4.37%,0.26%,-25.32%,-25.32%,-6%,,,,5Y CAGR,1.78%,,Seagate Technology Holdings PL - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,1.62%,,Seagate Technology Holdings PL - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Seagate Technology Holdings PL - Rating: 275% - Upside: -61%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       36.27,,,12/29/2014,,12/29/2014,,,,,6.95%,$             36.27,2.52,273.00,32.16,57.62,2%,653%,0.92%,7.83%,7.72%,2152.52%,2180.37%,10.1,4.37%,0.00%,,1997,0.00,-,275,,,0,0.32%,53,53,2.00%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       36.33,,,1/5/2015,,1/5/2015,,,,,6.94%,$             36.33,2.52,273.00,32.16,57.62,2%,651%,0.92%,7.83%,7.71%,2148.80%,2176.60%,10.1,4.37%,0.00%,,1998,0.00,,-61,,,1,0.52%,30,83,1.13%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       34.75,,,1/12/2015,,1/12/2015,,,,,7.25%,$             34.75,2.52,273.00,32.16,57.62,1%,686%,0.92%,7.83%,8.06%,2251.05%,2280.12%,10.1,4.37%,-4.35%,,1999,0.00,,,,,2,0.72%,36,119,1.36%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       34.54,,,1/20/2015,,1/20/2015,,,,,7.30%,$             34.54,2.52,273.00,32.16,57.62,1%,690%,0.92%,7.83%,8.11%,2265.34%,2294.59%,10.1,4.37%,-4.93%,,2000,0.00,,1/1/1970,1970,,3,0.92%,45,164,1.69%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       32.54,,,1/26/2015,,1/26/2015,,,,,7.74%,$             32.54,2.52,273.00,32.16,57.62,0%,739%,0.92%,7.83%,8.60%,2410.73%,2441.76%,10.1,4.37%,-10.43%,,2001,0.00,,1/1/1971,1971,,4,1.12%,28,192,1.05%
