,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,SU FP,Schneider Electric SE,,,,,,,,,,101%,-1%,$    265.60,$        104.88,$        172.97,$          292.75,$       263.93,4.50%,1.48%,2.46%,7.10%,498.26%,517.61%,118%,,,,,,,NO,,,4.28%,1.40%,2.88%,0.04%,72
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,7.38%,,Schneider Electric SE - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.72%,11/10/2017,,,,,,,,,,$        172.97,-35%,1.47%,$       263.93,$          88.70,$             44.40,$          53.78,1.33%,3.72%,2.25%,1.08%,-9.27%,-9.27%,-12%,,,,5Y CAGR,8.45%,,Schneider Electric SE - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,6.91%,,Schneider Electric SE - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Schneider Electric SE - Rating: 101% - Upside: -1%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       50.80,,,12/29/2014,,12/29/2014,,,,,3.94%,€               50.80,2.00,135.35,53.78,88.70,-4%,166%,1.48%,3.72%,6.20%,422.80%,439.70%,8.59,2.25%,0.00%,,1997,0.00,-,101,,,0,1.40%,36,36,1.33%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                         49.49,,,1/5/2015,,1/5/2015,,,,,4.04%,€               49.49,2.00,135.35,53.78,88.70,-5%,173%,1.48%,3.72%,6.37%,436.68%,454.04%,8.59,2.25%,-2.59%,,1998,0.00,,-1,,,1,1.44%,86,122,3.18%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                          49.71,,,1/12/2015,,1/12/2015,,,,,4.02%,€                49.71,2.00,135.35,53.78,88.70,-5%,172%,1.48%,3.72%,6.34%,434.28%,451.56%,8.59,2.25%,-2.15%,,1999,0.00,,,,,2,1.48%,51,173,1.89%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                         48.83,,,1/19/2015,,1/20/2015,,,,,4.10%,€               48.83,2.00,135.35,53.78,88.70,-6%,177%,1.48%,3.72%,6.45%,443.91%,461.50%,8.59,2.25%,-3.88%,,2000,0.00,,1/1/1970,1970,,3,1.52%,68,241,2.52%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                         47.83,,,1/26/2015,,1/26/2015,,,,,4.18%,€               47.83,2.00,135.35,53.78,88.70,-7%,183%,1.48%,3.72%,6.59%,455.34%,473.30%,8.59,2.25%,-5.86%,,2001,0.00,,1/1/1971,1971,,4,1.56%,72,313,2.66%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                         48.00,,,2/2/2015,,2/2/2015,,,,,4.17%,€               48.00,2.00,135.35,53.78,88.70,-7%,182%,1.48%,3.72%,6.56%,453.38%,471.28%,8.59,2.25%,-5.53%,,2002,0.00,,1/1/1972,1972,,5,1.60%,58,371,2.15%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,€                                                         47.08,,,2/9/2015,,2/9/2015,,,,,4.25%,€               47.08,2.00,135.35,53.78,88.70,-8%,188%,1.48%,3.72%,6.69%,464.17%,482.42%,8.59,2.25%,-7.33%,,2003,0.00,,1/1/1973,1973,,6,1.64%,80,451,2.96%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,€                                                         47.37,,,2/16/2015,,2/17/2015,,,,,4.22%,€               47.37,2.00,135.35,53.78,88.70,-8%,186%,1.48%,3.72%,6.65%,460.66%,478.80%,8.59,2.25%,-6.75%,,2004,0.00,,1/1/1974,1974,,7,1.68%,97,548,3.59%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,€                                                         47.44,,,2/23/2015,,2/23/2015,,,,,4.22%,€               47.44,2.00,135.35,53.78,88.70,-8%,185%,1.48%,3.72%,6.64%,459.81%,477.91%,8.59,2.25%,-6.61%,,2005,0.00,,1/1/1975,1975,,8,1.72%,77,625,2.85%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,€                                                         46.45,,,3/2/2015,,3/2/2015,,,,,4.31%,€               46.45,2.00,135.35,53.78,88.70,-9%,191%,1.48%,3.72%,6.78%,471.75%,490.24%,8.59,2.25%,-8.56%,,2006,0.00,,1/1/1976,1976,,9,1.76%,51,676,1.89%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,€                                                         44.83,,,3/9/2015,,3/9/2015,,,,,4.46%,€               44.83,2.00,135.35,53.78,88.70,-11%,202%,1.48%,3.72%,7.03%,492.46%,511.62%,8.59,2.25%,-11.76%,,2007,0.00,,1/1/1977,1977,,10,1.80%,46,722,1.70%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,€                                                         44.66,,,3/16/2015,,3/16/2015,,,,,4.48%,€               44.66,2.00,135.35,53.78,88.70,-11%,203%,1.48%,3.72%,7.05%,494.70%,513.93%,8.59,2.25%,-12.09%,,2008,0.00,,1/1/1978,1978,,11,1.84%,27,749,1.00%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,€                                                         46.25,,,3/23/2015,,3/23/2015,,,,,4.32%,€               46.25,2.00,135.35,53.78,88.70,-9%,193%,1.48%,3.72%,6.81%,474.26%,492.83%,8.59,2.25%,-8.96%,,2009,0.00,,1/1/1979,1979,,12,1.88%,47,796,1.74%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,€                                                         44.40,,,3/30/2015,,3/30/2015,,,,,4.50%,€               44.40,2.00,135.35,53.78,88.70,-12%,205%,1.48%,3.72%,7.10%,498.26%,517.61%,8.59,2.25%,-12.61%,,2010,0.00,,1/1/1980,1980,,13,1.92%,82,878,3.03%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,€                                                         46.00,,,4/7/2015,,4/6/2015,,,,,4.35%,€               46.00,2.00,135.35,53.78,88.70,-10%,194%,1.48%,3.72%,6.85%,477.33%,496.00%,8.59,2.25%,-9.45%,,2011,0.00,,1/1/1981,1981,,14,1.96%,69,947,2.55%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,€                                                         47.53,,,4/13/2015,,4/13/2015,,,,,4.21%,€               47.53,2.00,135.35,53.78,88.70,-8%,185%,1.48%,3.72%,6.63%,458.78%,476.85%,8.59,2.25%,-6.44%,,2012,0.00,,1/1/1982,1982,,15,2.00%,87,1034,3.22%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,€                                                         45.52,,,4/20/2015,,4/20/2015,,,,,4.39%,€               45.52,2.00,135.35,53.78,88.70,-10%,197%,1.48%,3.72%,6.92%,483.52%,502.40%,8.59,2.25%,-10.41%,,2013,0.00,,1/1/1983,1983,,16,2.04%,80,1114,2.96%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,€                                                         46.90,,,4/27/2015,,4/27/2015,,,,,4.26%,€               46.90,2.00,135.35,53.78,88.70,-8%,189%,1.48%,3.72%,6.72%,466.27%,484.58%,8.59,2.25%,-7.68%,,2014,0.00,,1/1/1984,1984,,17,2.08%,66,1180,2.44%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,€                                                         47.30,,,5/4/2015,,5/4/2015,,,,,4.23%,€               47.30,2.00,135.35,53.78,88.70,-8%,186%,1.48%,3.72%,6.66%,461.47%,479.62%,8.59,2.25%,-6.89%,,2015,0.00,,1/1/1985,1985,,18,2.12%,53,1233,1.96%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,€                                                         46.77,,,5/11/2015,,5/11/2015,,,,,4.28%,€               46.77,2.00,135.35,53.78,88.70,-9%,189%,1.48%,3.72%,6.74%,467.91%,486.27%,8.59,2.25%,-7.94%,,2016,2.00,,1/1/1986,1986,,19,2.16%,52,1285,1.92%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,€                                                         47.47,,,5/18/2015,,5/18/2015,,,,,4.21%,€               47.47,2.00,135.35,53.78,88.70,-8%,185%,1.48%,3.72%,6.64%,459.52%,477.62%,8.59,2.25%,-6.56%,,2017,2.04,2.00%,1/1/1987,1987,,20,2.20%,40,1325,1.48%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,€                                                         47.65,,,5/25/2015,,5/26/2015,,,,,4.20%,€               47.65,2.00,135.35,53.78,88.70,-8%,184%,1.48%,3.72%,6.61%,457.37%,475.39%,8.59,2.25%,-6.20%,,2018,2.20,7.84%,1/1/1988,1988,,21,2.24%,28,1353,1.04%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,€                                                         46.76,,,6/1/2015,,6/1/2015,,,,,4.28%,€               46.76,2.00,135.35,53.78,88.70,-9%,189%,1.48%,3.72%,6.74%,467.96%,486.33%,8.59,2.25%,-7.95%,,2019,2.35,6.82%,1/1/1989,1989,,22,2.28%,23,1376,0.85%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,€                                                         45.94,,,6/8/2015,,6/8/2015,,,,,4.35%,€               45.94,2.00,135.35,53.78,88.70,-10%,195%,1.48%,3.72%,6.86%,478.18%,496.88%,8.59,2.25%,-9.58%,,2020,2.55,8.51%,1/1/1990,1990,,23,2.32%,20,1396,0.74%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,€                                                         47.70,,,6/15/2015,,6/15/2015,,,,,4.19%,€               47.70,2.00,135.35,53.78,88.70,-7%,184%,1.48%,3.72%,6.60%,456.80%,474.81%,8.59,2.25%,-6.11%,,2021,2.60,1.96%,1/1/1991,1991,,24,2.36%,28,1424,1.04%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,€                                                         49.20,,,6/22/2015,,6/22/2015,,,,,4.07%,€               49.20,2.00,135.35,53.78,88.70,-6%,175%,1.48%,3.72%,6.40%,439.85%,457.30%,8.59,2.25%,-3.16%,,2022,2.90,11.54%,1/1/1992,1992,,25,2.40%,21,1445,0.78%
