,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,SXS LN,Spectris PLC,,,,,,,,,,103%,-1%,$ 4.142,00,$  2.527,70,$  3.275,57,$       4.166,00,$  4.088,30,4.01%,1.87%,2.39%,5.31%,187.24%,202.75%,126%,,,,,,,NO,,,3.83%,1.74%,2.08%,0.03%,69
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Spectris PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.03%,11/10/2017,,,,,,,,,,$  3.275,57,-21%,1.85%,$  4.088,30,$   2.146,65,$       1.442,00,$   1.656,53,1.70%,3.03%,2.34%,1.84%,-0.58%,-0.58%,-40%,,,,5Y CAGR,1.96%,,Spectris PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.32%,,Spectris PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Spectris PLC - Rating: 103% - Upside: -1%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                 1.755,00,,,12/29/2014,,12/29/2014,,,,,2.86%,1.755,00,50.20,2.679,28,1.656,53,2.146,65,10%,53%,1.87%,3.03%,4.36%,136.01%,148.75%,223.6,2.34%,0.00%,,1997,0.00,-,103,,,0,1.74%,10,10,0.39%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,1.759,00,,,1/5/2015,,1/5/2015,,,,,2.85%,1.759,00,50.20,2.679,28,1.656,53,2.146,65,10%,52%,1.87%,3.03%,4.35%,135.47%,148.19%,223.6,2.34%,0.00%,,1998,0.00,,-1,,,1,1.77%,11,21,0.43%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,1.757,00,,,1/12/2015,,1/12/2015,,,,,2.86%,1.757,00,50.20,2.679,28,1.656,53,2.146,65,10%,52%,1.87%,3.03%,4.36%,135.74%,148.47%,223.6,2.34%,-0.11%,,1999,0.00,,,,,2,1.80%,11,32,0.43%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,1.702,00,,,1/19/2015,,1/20/2015,,,,,2.95%,1.702,00,50.20,2.679,28,1.656,53,2.146,65,4%,57%,1.87%,3.03%,4.50%,143.36%,156.50%,223.6,2.34%,-3.24%,,2000,0.00,,1/1/1970,1970,,3,1.83%,35,67,1.38%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,1.694,00,,,1/26/2015,,1/26/2015,,,,,2.96%,1.694,00,50.20,2.679,28,1.656,53,2.146,65,4%,58%,1.87%,3.03%,4.52%,144.51%,157.71%,223.6,2.34%,-3.70%,,2001,0.00,,1/1/1971,1971,,4,1.86%,77,144,3.03%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,1.676,00,,,2/2/2015,,2/2/2015,,,,,3.00%,1.676,00,50.20,2.679,28,1.656,53,2.146,65,2%,60%,1.87%,3.03%,4.57%,147.14%,160.48%,223.6,2.34%,-4.72%,,2002,12.40,,1/1/1972,1972,,5,1.89%,41,185,1.62%
