,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,T CN,TELUS Corp,,,,,,,,,,-25%,133%,$        14.69,$           18.57,$          30.69,$             34.42,$          34.20,10.22%,4.25%,5.31%,10.22%,3.23%,3.28%,117%,,,,,,,NO,,,9.85%,4.04%,5.81%,0.10%,58
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,TELUS Corp - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,7.83%,11/10/2017,,,,,,,,,,$          30.69,109%,9.90%,$          34.20,$           19.42,$              14.23,$            11.75,3.94%,7.83%,4.74%,4.23%,-57.32%,-57.32%,-28%,,,,5Y CAGR,2.73%,,TELUS Corp - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.69%,,TELUS Corp - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,TELUS Corp - Rating: -25% - Upside: 133%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        18.99,,,12/29/2014,,12/29/2014,,,,,4.84%,$              18.99,0.92,21.63,11.75,19.42,73%,14%,4.25%,7.83%,7.66%,-22.64%,-1.15%,4.08125,4.74%,0.00%,,1997,0.00,-,-25,,,0,4.04%,46,46,1.74%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        19.08,,,1/5/2015,,1/5/2015,,,,,4.82%,$              19.08,0.92,21.63,11.75,19.42,74%,13%,4.25%,7.83%,7.62%,-22.99%,-1.59%,4.08125,4.74%,0.00%,,1998,0.00,,133,,,1,4.14%,57,103,2.15%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        18.85,,,1/12/2015,,1/12/2015,,,,,4.88%,$              18.85,0.92,21.63,11.75,19.42,72%,15%,4.25%,7.83%,7.72%,-22.07%,-0.42%,4.08125,4.74%,-1.18%,,1999,0.00,,,,,2,4.24%,185,288,6.98%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        18.86,,,1/19/2015,,1/20/2015,,,,,4.88%,$              18.86,0.92,21.63,11.75,19.42,72%,15%,4.25%,7.83%,7.71%,-22.11%,-0.47%,4.08125,4.74%,-1.13%,,2000,0.00,,1/1/1970,1970,,3,4.34%,264,552,9.97%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                         18.71,,,1/26/2015,,1/26/2015,,,,,4.92%,$               18.71,0.92,21.63,11.75,19.42,70%,16%,4.25%,7.83%,7.77%,-21.49%,0.33%,4.08125,4.74%,-1.91%,,2001,0.00,,1/1/1971,1971,,4,4.44%,258,810,9.74%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                        18.70,,,2/2/2015,,2/2/2015,,,,,4.92%,$              18.70,0.92,21.63,11.75,19.42,70%,16%,4.25%,7.83%,7.78%,-21.44%,0.38%,4.08125,4.74%,-1.97%,,2002,0.15,,1/1/1972,1972,,5,4.54%,284,1094,10.72%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                        18.90,,,2/9/2015,,2/9/2015,,,,,4.87%,$              18.90,0.92,21.63,11.75,19.42,72%,14%,4.25%,7.83%,7.70%,-22.28%,-0.68%,4.08125,4.74%,-0.92%,,2003,0.15,0.00%,1/1/1973,1973,,6,4.64%,231,1325,8.72%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        18.55,,,2/17/2015,,2/17/2015,,,,,4.96%,$              18.55,0.92,21.63,11.75,19.42,69%,17%,4.25%,7.83%,7.84%,-20.81%,1.19%,4.08125,4.74%,-2.75%,,2004,0.16,8.33%,1/1/1974,1974,,7,4.74%,129,1454,4.87%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                        18.62,,,2/23/2015,,2/23/2015,,,,,4.94%,$              18.62,0.92,21.63,11.75,19.42,69%,16%,4.25%,7.83%,7.81%,-21.09%,0.84%,4.08125,4.74%,-2.41%,,2005,0.22,34.62%,1/1/1975,1975,,8,4.84%,104,1558,3.93%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                         18.18,,,3/2/2015,,3/2/2015,,,,,5.06%,$               18.18,0.92,21.63,11.75,19.42,65%,19%,4.25%,7.83%,8.00%,-19.17%,3.28%,4.08125,4.74%,-4.72%,,2006,0.30,37.14%,1/1/1976,1976,,9,4.94%,74,1632,2.79%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,$                                                         18.18,,,3/9/2015,,3/9/2015,,,,,5.06%,$               18.18,0.92,21.63,11.75,19.42,65%,19%,4.25%,7.83%,8.00%,-19.17%,3.28%,4.08125,4.74%,-4.72%,,2007,0.39,31.25%,1/1/1977,1977,,10,5.04%,65,1697,2.45%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                         18.41,,,3/16/2015,,3/16/2015,,,,,5.00%,$               18.41,0.92,21.63,11.75,19.42,67%,18%,4.25%,7.83%,7.90%,-20.18%,1.99%,4.08125,4.74%,-3.51%,,2008,0.45,14.29%,1/1/1978,1978,,11,5.14%,52,1749,1.96%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                         18.18,,,3/23/2015,,3/23/2015,,,,,5.06%,$               18.18,0.92,21.63,11.75,19.42,65%,19%,4.25%,7.83%,8.00%,-19.20%,3.25%,4.08125,4.74%,-4.69%,,2009,0.48,5.56%,1/1/1979,1979,,12,5.24%,44,1793,1.66%
