,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,TCL/A CN,Transcontinental Inc,,,,,,,,,,103%,-2%,$          5.37,$              1.73,$             2.73,$                6.07,$             5.27,68.56%,17.09%,34.37%,68.94%,311.34%,311.34%,123%,,,,,,,NO,,,62.90%,15.67%,47.23%,0.01%,4723
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Transcontinental Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,52.01%,11/10/2017,,,,,,,,,,$             2.73,-49%,16.76%,$             5.27,$              1.82,$                  1.31,$               1.15,14.83%,52.01%,32.97%,14.83%,-11.53%,-11.53%,-12%,,,,5Y CAGR,0.00%,,Transcontinental Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,1.98%,,Transcontinental Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Transcontinental Inc - Rating: 103% - Upside: -2%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                          2.23,,,12/29/2014,,12/29/2014,,,,,33.17%,$                2.23,0.74,4.33,1.42,2.24,28%,94%,17.09%,52.01%,40.35%,140.74%,277.03%,3.04,32.97%,0.00%,,1997,0.00,-,103,,,0,15.67%,0,0,0.00%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                          2.28,,,1/5/2015,,1/5/2015,,,,,32.40%,$                2.28,0.74,4.33,1.42,2.24,30%,90%,17.09%,52.01%,39.41%,135.16%,268.28%,3.04,32.97%,0.00%,,1998,0.00,,-2,,,1,15.68%,0,0,0.00%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                          2.29,,,1/12/2015,,1/12/2015,,,,,32.35%,$                2.29,0.74,4.33,1.42,2.24,30%,89%,17.09%,52.01%,39.34%,134.74%,267.63%,3.04,32.97%,0.00%,,1999,0.00,,,,,2,15.69%,2,2,0.08%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                          2.28,,,1/19/2015,,1/20/2015,,,,,32.46%,$                2.28,0.74,4.33,1.42,2.24,29%,90%,17.09%,52.01%,39.48%,135.58%,268.94%,3.04,32.97%,-0.35%,,2000,0.00,,1/1/1970,1970,,3,15.70%,1,3,0.04%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                          2.25,,,1/26/2015,,1/26/2015,,,,,32.95%,$                2.25,0.74,4.33,1.42,2.24,28%,93%,17.09%,52.01%,40.08%,139.14%,274.53%,3.04,32.97%,-1.84%,,2001,0.00,,1/1/1971,1971,,4,15.71%,0,3,0.00%
