,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,TCS CN,TECSYS Inc,,,,,,,,,,39%,77%,$       33.64,$           17.20,$          28.75,$             65.55,$          59.57,2.12%,0.51%,1.07%,4.69%,417.54%,429.00%,137%,,,,,,,NO,,,1.96%,0.45%,1.51%,0.02%,76
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,TECSYS Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.77%,11/10/2017,,,,,,,,,,$          28.75,-15%,0.91%,$          59.57,$           12.26,$                6.50,$             7.33,0.40%,1.77%,1.06%,0.47%,-48.68%,-48.68%,-7%,,,,5Y CAGR,2.85%,,TECSYS Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,8.90%,,TECSYS Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,TECSYS Inc - Rating: 39% - Upside: 77%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                          7.33,,,12/29/2014,,12/29/2014,,,,,1.77%,$                7.33,0.13,25.39,7.33,12.26,0%,246%,0.51%,1.77%,4.16%,358.94%,369.10%,0.745,1.06%,0.00%,,1997,0.00,-,39,,,0,0.45%,42,42,1.62%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                          7.49,,,1/5/2015,,1/5/2015,,,,,1.74%,$                7.49,0.13,25.39,7.33,12.26,1%,239%,0.51%,1.77%,4.07%,349.13%,359.08%,0.745,1.06%,0.00%,,1998,0.00,,77,,,1,0.47%,36,78,1.39%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                          7.50,,,1/12/2015,,1/12/2015,,,,,1.73%,$                7.50,0.13,25.39,7.33,12.26,1%,239%,0.51%,1.77%,4.07%,348.53%,358.47%,0.745,1.06%,0.00%,,1999,0.00,,,,,2,0.49%,38,116,1.47%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                          7.75,,,1/19/2015,,1/20/2015,,,,,1.68%,$                7.75,0.13,25.39,7.33,12.26,2%,228%,0.51%,1.77%,3.94%,334.06%,343.68%,0.745,1.06%,0.00%,,2000,0.00,,1/1/1970,1970,,3,0.51%,19,135,0.73%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                          7.60,,,1/26/2015,,1/26/2015,,,,,1.71%,$                7.60,0.13,25.39,7.33,12.26,1%,234%,0.51%,1.77%,4.01%,342.63%,352.43%,0.745,1.06%,-1.94%,,2001,0.00,,1/1/1971,1971,,4,0.53%,25,160,0.97%
