,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,TD CN,Toronto Dominion Bank,,,,,,,,,,176%,-23%,$     168.87,$          79.67,$        108.47,$           175.27,$        130.42,6.31%,3.22%,4.07%,7.83%,244.49%,264.91%,188%,,,,,,,NO,,,5.64%,2.47%,3.17%,0.04%,79
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,3.03%,,Toronto Dominion Bank - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.27%,11/10/2017,,,,,,,,,,$        108.47,-36%,2.49%,$        130.42,$          55.78,$             49.02,$          40.97,2.40%,5.27%,3.87%,2.19%,-3.65%,-3.65%,-26%,,,,5Y CAGR,5.86%,,Toronto Dominion Bank - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,6.88%,,Toronto Dominion Bank - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Toronto Dominion Bank - Rating: 176% - Upside: -23%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       53.72,,,12/29/2014,,12/29/2014,,,,,4.02%,$             53.72,2.16,67.07,40.97,55.78,49%,25%,3.22%,5.27%,7.15%,214.35%,232.99%,10.01,3.87%,0.00%,,1997,0.00,-,176,,,0,2.47%,15,15,0.57%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        53.51,,,1/5/2015,,1/5/2015,,,,,4.04%,$              53.51,2.16,67.07,40.97,55.78,48%,25%,3.22%,5.27%,7.18%,215.59%,234.29%,10.01,3.87%,-0.39%,,1998,0.00,,-23,,,1,2.51%,1,16,0.04%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        52.18,,,1/12/2015,,1/12/2015,,,,,4.14%,$              52.18,2.16,67.07,40.97,55.78,43%,29%,3.22%,5.27%,7.36%,223.63%,242.81%,10.01,3.87%,-2.87%,,1999,0.00,,,,,2,2.55%,3,19,0.11%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        51.03,,,1/19/2015,,1/20/2015,,,,,4.23%,$              51.03,2.16,67.07,40.97,55.78,39%,31%,3.22%,5.27%,7.52%,230.92%,250.54%,10.01,3.87%,-5.01%,,2000,0.00,,1/1/1970,1970,,3,2.59%,1,20,0.04%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        51.05,,,1/26/2015,,1/26/2015,,,,,4.23%,$              51.05,2.16,67.07,40.97,55.78,39%,31%,3.22%,5.27%,7.52%,230.79%,250.40%,10.01,3.87%,-4.97%,,2001,0.00,,1/1/1971,1971,,4,2.63%,5,25,0.19%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                        51.39,,,2/2/2015,,2/2/2015,,,,,4.20%,$              51.39,2.16,67.07,40.97,55.78,40%,31%,3.22%,5.27%,7.47%,228.60%,248.08%,10.01,3.87%,-4.34%,,2002,0.56,,1/1/1972,1972,,5,2.67%,6,31,0.23%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       52.40,,,2/9/2015,,2/9/2015,,,,,4.12%,$             52.40,2.16,67.07,40.97,55.78,44%,28%,3.22%,5.27%,7.33%,222.27%,241.37%,10.01,3.87%,-2.46%,,2003,0.60,7.14%,1/1/1973,1973,,6,2.71%,3,34,0.11%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        51.50,,,2/17/2015,,2/17/2015,,,,,4.19%,$              51.50,2.16,67.07,40.97,55.78,40%,30%,3.22%,5.27%,7.46%,227.90%,247.34%,10.01,3.87%,-4.13%,,2004,0.70,16.67%,1/1/1974,1974,,7,2.75%,0,34,0.00%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                        51.29,,,2/23/2015,,2/23/2015,,,,,4.21%,$              51.29,2.16,67.07,40.97,55.78,40%,31%,3.22%,5.27%,7.49%,229.25%,248.76%,10.01,3.87%,-4.52%,,2005,0.82,17.14%,1/1/1975,1975,,8,2.79%,2,36,0.08%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       49.45,,,3/2/2015,,3/2/2015,,,,,4.37%,$             49.45,2.16,67.07,40.97,55.78,32%,36%,3.22%,5.27%,7.77%,241.50%,261.74%,10.01,3.87%,-7.95%,,2006,0.68,-17.07%,1/1/1976,1976,,9,2.83%,7,43,0.26%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,$                                                       49.38,,,3/9/2015,,3/9/2015,,,,,4.37%,$             49.38,2.16,67.07,40.97,55.78,32%,36%,3.22%,5.27%,7.78%,241.98%,262.25%,10.01,3.87%,-8.08%,,2007,1.06,55.15%,1/1/1977,1977,,10,2.87%,5,48,0.19%
