,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,TEG GR,TAG Immobilien AG,,,,,,,,,,-15%,394%,$        13.49,$             9.02,$          24.85,$              29.17,$          29.72,16.91%,3.13%,4.51%,0.00%,145.27%,145.27%,,,,,,,,NO,,,15.98%,3.04%,12.94%,0.20%,65
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,,,TAG Immobilien AG - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,10.31%,11/10/2017,,,,,,,,,,$          24.85,84%,15.46%,$          29.72,$           14.70,$                5.50,$             5.33,3.02%,10.31%,3.74%,0.00%,-53.75%,-53.75%,,,,,5Y CAGR,,,TAG Immobilien AG - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,,,TAG Immobilien AG - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,TAG Immobilien AG - Rating: -15% - Upside: 394%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                         11.63,,,12/29/2014,,12/29/2014,,,,,4.73%,€                 11.63,0.55,17.57,5.33,14.70,51%,51%,3.13%,10.31%,,15.99%,37.66%,2.52,3.74%,0.00%,,1997,0.00,-,-15,,,0,3.04%,186,186,10.48%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                           11.50,,,1/5/2015,,1/5/2015,,,,,4.78%,€                 11.50,0.55,17.57,5.33,14.70,50%,53%,3.13%,10.31%,,17.33%,39.25%,2.52,3.74%,-1.14%,,1998,0.00,,394,,,1,3.24%,237,423,13.35%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                           11.48,,,1/12/2015,,1/12/2015,,,,,4.79%,€                 11.48,0.55,17.57,5.33,14.70,50%,53%,3.13%,10.31%,,17.54%,39.50%,2.52,3.74%,-1.32%,,1999,0.00,,,,,2,3.44%,325,748,18.31%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                           11.30,,,1/19/2015,,1/20/2015,,,,,4.87%,€                 11.30,0.55,17.57,5.33,14.70,49%,55%,3.13%,10.31%,,19.34%,41.63%,2.52,3.74%,-2.80%,,2000,0.00,,1/1/1970,1970,,3,3.64%,177,925,9.97%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                           11.06,,,1/26/2015,,1/26/2015,,,,,4.97%,€                 11.06,0.55,17.57,5.33,14.70,47%,59%,3.13%,10.31%,,21.97%,44.76%,2.52,3.74%,-4.90%,,2001,0.00,,1/1/1971,1971,,4,3.84%,94,1019,5.30%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                           11.08,,,2/2/2015,,2/2/2015,,,,,4.96%,€                 11.08,0.55,17.57,5.33,14.70,47%,59%,3.13%,10.31%,,21.77%,44.52%,2.52,3.74%,-4.75%,,2002,0.00,,1/1/1972,1972,,5,4.04%,152,1171,8.56%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,€                                                          10.96,,,2/9/2015,,2/9/2015,,,,,5.02%,€                10.96,0.55,17.57,5.33,14.70,46%,60%,3.13%,10.31%,,23.08%,46.08%,2.52,3.74%,-5.76%,,2003,0.00,,1/1/1973,1973,,6,4.24%,124,1295,6.99%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,€                                                          10.80,,,2/16/2015,,2/17/2015,,,,,5.09%,€                10.80,0.55,17.57,5.33,14.70,45%,63%,3.13%,10.31%,,24.91%,48.24%,2.52,3.74%,-7.14%,,2004,0.00,,1/1/1974,1974,,7,4.44%,158,1453,8.90%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,€                                                          10.86,,,2/23/2015,,2/23/2015,,,,,5.06%,€                10.86,0.55,17.57,5.33,14.70,45%,62%,3.13%,10.31%,,24.23%,47.44%,2.52,3.74%,-6.63%,,2005,0.00,,1/1/1975,1975,,8,4.64%,88,1541,4.96%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,€                                                          10.67,,,3/2/2015,,3/2/2015,,,,,5.15%,€                10.67,0.55,17.57,5.33,14.70,44%,65%,3.13%,10.31%,,26.43%,50.05%,2.52,3.74%,-8.25%,,2006,0.00,,1/1/1976,1976,,9,4.84%,28,1569,1.58%
