,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,TEL NO,Telenor ASA,,,,,,,,,,26%,53%,$     133.30,$        108.92,$        157.55,$           190.25,$       203.44,10.61%,4.62%,6.26%,10.72%,52.03%,52.03%,117%,,,,,,,NO,,,10.25%,4.39%,5.86%,0.10%,59
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Telenor ASA - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,8.63%,11/10/2017,,,,,,,,,,$        157.55,18%,7.05%,$       203.44,$         125.71,$             87.68,$           86.91,4.29%,8.63%,5.97%,4.94%,-29.93%,-25.52%,-21%,,,,5Y CAGR,0.87%,,Telenor ASA - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.28%,,Telenor ASA - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Telenor ASA - Rating: 26% - Upside: 53%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       141.31,,,12/29/2014,,12/29/2014,,,,,5.31%,kr            141.31,7.50,162.32,86.91,125.71,72%,15%,4.62%,8.63%,6.65%,-5.67%,16.84%,31.8,5.97%,0.00%,,1997,0.00,-,26,,,0,4.39%,35,35,1.32%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,kr                                                     139.17,,,1/5/2015,,1/5/2015,,,,,5.39%,kr           139.17,7.50,162.32,86.91,125.71,69%,17%,4.62%,8.63%,6.75%,-4.22%,18.63%,31.8,5.97%,-1.52%,,1998,0.00,,53,,,1,4.49%,50,85,1.89%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,kr                                                    138.58,,,1/12/2015,,1/12/2015,,,,,5.41%,kr          138.58,7.50,162.32,86.91,125.71,69%,17%,4.62%,8.63%,6.78%,-3.81%,19.13%,31.8,5.97%,-1.93%,,1999,0.00,,,,,2,4.59%,99,184,3.73%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,kr                                                    139.65,,,1/19/2015,,1/20/2015,,,,,5.37%,kr          139.65,7.50,162.32,86.91,125.71,70%,16%,4.62%,8.63%,6.73%,-4.55%,18.22%,31.8,5.97%,-1.17%,,2000,0.00,,1/1/1970,1970,,3,4.69%,53,237,2.00%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,kr                                                     143.16,,,1/26/2015,,1/26/2015,,,,,5.24%,kr           143.16,7.50,162.32,86.91,125.71,75%,13%,4.62%,8.63%,6.57%,-6.89%,15.33%,31.8,5.97%,0.00%,,2001,0.00,,1/1/1971,1971,,4,4.79%,98,335,3.70%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,kr                                                     141.02,,,2/2/2015,,2/2/2015,,,,,5.32%,kr           141.02,7.50,162.32,86.91,125.71,72%,15%,4.62%,8.63%,6.67%,-5.47%,17.08%,31.8,5.97%,-1.50%,,2002,0.35,,1/1/1972,1972,,5,4.89%,66,401,2.49%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,kr                                                    138.00,,,2/9/2015,,2/9/2015,,,,,5.43%,kr          138.00,7.50,162.32,86.91,125.71,68%,18%,4.62%,8.63%,6.81%,-3.41%,19.64%,31.8,5.97%,-3.60%,,2003,0.45,28.57%,1/1/1973,1973,,6,4.99%,74,475,2.79%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,kr                                                    138.58,,,2/16/2015,,2/17/2015,,,,,5.41%,kr          138.58,7.50,162.32,86.91,125.71,69%,17%,4.62%,8.63%,6.78%,-3.81%,19.13%,31.8,5.97%,-3.20%,,2004,1.00,122.22%,1/1/1974,1974,,7,5.09%,68,543,2.57%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,kr                                                     133.91,,,2/23/2015,,2/23/2015,,,,,5.60%,kr           133.91,7.50,162.32,86.91,125.71,62%,21%,4.62%,8.63%,7.02%,-0.46%,23.29%,31.8,5.97%,-6.46%,,2005,1.50,50.00%,1/1/1975,1975,,8,5.19%,74,617,2.79%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,kr                                                     131.38,,,3/2/2015,,3/2/2015,,,,,5.71%,kr           131.38,7.50,162.32,86.91,125.71,59%,24%,4.62%,8.63%,7.15%,1.46%,25.66%,31.8,5.97%,-8.23%,,2006,2.00,33.33%,1/1/1976,1976,,9,5.29%,60,677,2.26%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,kr                                                    129.92,,,3/9/2015,,3/9/2015,,,,,5.77%,kr          129.92,7.50,162.32,86.91,125.71,57%,25%,4.62%,8.63%,7.24%,2.60%,27.08%,31.8,5.97%,-9.25%,,2007,0.00,-100.00%,1/1/1977,1977,,10,5.39%,58,735,2.19%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,kr                                                      134.11,,,3/16/2015,,3/16/2015,,,,,5.59%,kr            134.11,7.50,162.32,86.91,125.71,63%,21%,4.62%,8.63%,7.01%,-0.60%,23.11%,31.8,5.97%,-6.32%,,2008,3.40,,1/1/1978,1978,,11,5.49%,71,806,2.68%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,kr                                                    130.90,,,3/23/2015,,3/23/2015,,,,,5.73%,kr          130.90,7.50,162.32,86.91,125.71,58%,24%,4.62%,8.63%,7.18%,1.84%,26.13%,31.8,5.97%,-8.57%,,2009,0.00,-100.00%,1/1/1979,1979,,12,5.59%,138,944,5.21%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,kr                                                     134.01,,,3/30/2015,,3/30/2015,,,,,5.60%,kr           134.01,7.50,162.32,86.91,125.71,62%,21%,4.62%,8.63%,7.01%,-0.53%,23.20%,31.8,5.97%,-6.39%,,2010,2.50,,1/1/1980,1980,,13,5.69%,139,1083,5.24%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,kr                                                    138.00,,,4/7/2015,,4/6/2015,,,,,5.43%,kr          138.00,7.50,162.32,86.91,125.71,68%,18%,4.62%,8.63%,6.81%,-3.41%,19.64%,31.8,5.97%,-3.60%,,2011,3.80,52.00%,1/1/1981,1981,,14,5.79%,143,1226,5.39%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,kr                                                    140.34,,,4/13/2015,,4/13/2015,,,,,5.34%,kr          140.34,7.50,162.32,86.91,125.71,71%,16%,4.62%,8.63%,6.70%,-5.01%,17.65%,31.8,5.97%,-1.97%,,2012,5.00,31.58%,1/1/1982,1982,,15,5.89%,121,1347,4.56%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,kr                                                    140.24,,,4/20/2015,,4/20/2015,,,,,5.35%,kr          140.24,7.50,162.32,86.91,125.71,71%,16%,4.62%,8.63%,6.70%,-4.95%,17.73%,31.8,5.97%,-2.04%,,2013,6.00,20.00%,1/1/1983,1983,,16,5.99%,124,1471,4.68%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,kr                                                    140.63,,,4/27/2015,,4/27/2015,,,,,5.33%,kr          140.63,7.50,162.32,86.91,125.71,71%,15%,4.62%,8.63%,6.68%,-5.21%,17.40%,31.8,5.97%,-1.77%,,2014,7.00,16.67%,1/1/1984,1984,,17,6.09%,101,1572,3.81%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,kr                                                    136.83,,,5/4/2015,,5/4/2015,,,,,5.48%,kr          136.83,7.50,162.32,86.91,125.71,66%,19%,4.62%,8.63%,6.87%,-2.58%,20.66%,31.8,5.97%,-4.42%,,2015,7.30,4.29%,1/1/1985,1985,,18,6.19%,77,1649,2.90%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,kr                                                    137.03,,,5/11/2015,,5/11/2015,,,,,5.47%,kr          137.03,7.50,162.32,86.91,125.71,66%,18%,4.62%,8.63%,6.86%,-2.72%,20.49%,31.8,5.97%,-4.28%,,2016,7.50,2.74%,1/1/1986,1986,,19,6.29%,42,1691,1.58%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,kr                                                     136.15,,,5/18/2015,,5/18/2015,,,,,5.51%,kr           136.15,7.50,162.32,86.91,125.71,65%,19%,4.62%,8.63%,6.90%,-2.09%,21.26%,31.8,5.97%,-4.89%,,2017,7.80,4.00%,1/1/1987,1987,,20,6.39%,70,1761,2.64%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,kr                                                    130.90,,,5/26/2015,,5/26/2015,,,,,5.73%,kr          130.90,7.50,162.32,86.91,125.71,58%,24%,4.62%,8.63%,7.18%,1.84%,26.13%,31.8,5.97%,-8.57%,,2018,8.10,3.85%,1/1/1988,1988,,21,6.49%,58,1819,2.19%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,kr                                                    129.34,,,6/1/2015,,6/1/2015,,,,,5.80%,kr          129.34,7.50,162.32,86.91,125.71,56%,25%,4.62%,8.63%,7.27%,3.06%,27.65%,31.8,5.97%,-9.65%,,2019,8.40,3.70%,1/1/1989,1989,,22,6.59%,35,1854,1.32%
