,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,TEMN SW,Temenos AG,,,,,,,,,,,,$        65.15,$           59.18,$       258.09,$           183.35,$                   -,2.07%,0.00%,0.75%,2.62%,55.30%,55.30%,,,,,,,,NO,,,1.99%,0.00%,1.99%,0.03%,66
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Temenos AG - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.86%,11/10/2017,,,,,,,,,,$       258.09,296%,1.69%,,$                   -,$              41.95,$                   -,0.00%,1.86%,0.43%,0.60%,-64.47%,-64.47%,,,,,5Y CAGR,12.89%,,Temenos AG - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,,,Temenos AG - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       50.90,,,12/29/2014,,12/29/2014,,,,,0.00%,50.90 CHF,0.00,,0.00,0.00,,,0.00%,1.86%,2.16%,28.00%,28.00%,0,0.43%,0.00%,,1997,0.00,-,,,,0,0.00%,1003,1003,37.79%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,50.40 CHF,,,1/5/2015,,1/5/2015,,,,,0.00%,50.40 CHF,0.00,,0.00,0.00,,,0.00%,1.86%,2.18%,29.27%,29.27%,0,0.43%,-0.98%,,1998,0.00,,,,,1,0.03%,0,1003,0.00%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,50.00 CHF,,,1/12/2015,,1/12/2015,,,,,0.00%,50.00 CHF,0.00,,0.00,0.00,,,0.00%,1.86%,2.20%,30.30%,30.30%,0,0.43%,-1.77%,,1999,0.00,,,,,2,0.06%,0,1003,0.00%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,47.20 CHF,,,1/19/2015,,1/20/2015,,,,,0.00%,47.20 CHF,0.00,,0.00,0.00,,,0.00%,1.86%,2.33%,38.03%,38.03%,0,0.43%,-7.27%,,2000,0.00,,1/1/1970,1970,,3,0.09%,0,1003,0.00%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,46.65 CHF,,,1/26/2015,,1/26/2015,,,,,0.00%,46.65 CHF,0.00,,0.00,0.00,,,0.00%,1.86%,2.36%,39.66%,39.66%,0,0.43%,-8.35%,,2001,0.00,,1/1/1971,1971,,4,0.12%,0,1003,0.00%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,46.80 CHF,,,2/2/2015,,2/2/2015,,,,,0.00%,46.80 CHF,0.00,,0.00,0.00,,,0.00%,1.86%,2.35%,39.21%,39.21%,0,0.43%,-8.06%,,2002,0.00,,1/1/1972,1972,,5,0.15%,0,1003,0.00%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,47.05 CHF,,,2/9/2015,,2/9/2015,,,,,0.00%,47.05 CHF,0.00,,0.00,0.00,,,0.00%,1.86%,2.34%,38.47%,38.47%,0,0.43%,-7.56%,,2003,0.00,,1/1/1973,1973,,6,0.18%,0,1003,0.00%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,47.15 CHF,,,2/16/2015,,2/17/2015,,,,,0.00%,47.15 CHF,0.00,,0.00,0.00,,,0.00%,1.86%,2.33%,38.18%,38.18%,0,0.43%,-7.37%,,2004,0.00,,1/1/1974,1974,,7,0.21%,0,1003,0.00%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,46.30 CHF,,,2/23/2015,,2/23/2015,,,,,0.00%,46.30 CHF,0.00,,0.00,0.00,,,0.00%,1.86%,2.38%,40.71%,40.71%,0,0.43%,-9.04%,,2005,0.00,,1/1/1975,1975,,8,0.24%,23,1026,0.87%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,44.25 CHF,,,3/2/2015,,3/2/2015,,,,,0.00%,44.25 CHF,0.00,,0.00,0.00,,,0.00%,1.86%,2.49%,47.23%,47.23%,0,0.43%,-13.06%,,2006,0.00,,1/1/1976,1976,,9,0.27%,69,1095,2.60%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,45.75 CHF,,,3/9/2015,,3/9/2015,,,,,0.00%,45.75 CHF,0.00,,0.00,0.00,,,0.00%,1.86%,2.40%,42.40%,42.40%,0,0.43%,-10.12%,,2007,0.00,,1/1/1977,1977,,10,0.30%,50,1145,1.88%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,48.30 CHF,,,3/16/2015,,3/16/2015,,,,,0.00%,48.30 CHF,0.00,,0.00,0.00,,,0.00%,1.86%,2.28%,34.89%,34.89%,0,0.43%,-5.11%,,2008,0.00,,1/1/1978,1978,,11,0.33%,53,1198,2.00%
