,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,TERB BB,TER Beke SA,,,,,,,,,,-13%,141%,$     142.00,$          93.98,$          113.16,$           180.33,$        195.28,4.95%,2.05%,3.30%,0.00%,162.55%,162.55%,,,,,,,,NO,,,4.76%,1.97%,2.79%,0.04%,70
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,,,TER Beke SA - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.26%,11/10/2017,,,,,,,,,,$          113.16,-20%,4.93%,$        195.28,$           99.01,$             54.09,$          82.23,1.94%,4.26%,3.53%,0.00%,-21.26%,-14.88%,,,,,5Y CAGR,,,TER Beke SA - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,,,TER Beke SA - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,TER Beke SA - Rating: -13% - Upside: 141%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       98.63,,,12/29/2014,,12/29/2014,,,,,3.55%,€               98.63,3.50,170.87,82.23,99.01,19%,73%,2.05%,4.26%,,43.97%,59.18%,15,3.53%,0.00%,,1997,0.00,-,-13,,,0,1.97%,41,41,2.29%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                          96.81,,,1/5/2015,,1/5/2015,,,,,3.62%,€                96.81,3.50,170.87,82.23,99.01,16%,77%,2.05%,4.26%,,46.68%,62.18%,15,3.53%,-1.85%,,1998,0.00,,141,,,1,2.01%,51,92,2.84%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                         98.58,,,1/12/2015,,1/12/2015,,,,,3.55%,€               98.58,3.50,170.87,82.23,99.01,18%,73%,2.05%,4.26%,,44.04%,59.26%,15,3.53%,-0.05%,,1999,0.00,,,,,2,2.05%,43,135,2.40%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                         95.85,,,1/19/2015,,1/20/2015,,,,,3.65%,€               95.85,3.50,170.87,82.23,99.01,15%,78%,2.05%,4.26%,,48.15%,63.80%,15,3.53%,-2.82%,,2000,0.00,,1/1/1970,1970,,3,2.09%,15,150,0.84%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                          95.41,,,1/26/2015,,1/26/2015,,,,,3.67%,€                95.41,3.50,170.87,82.23,99.01,15%,79%,2.05%,4.26%,,48.84%,64.56%,15,3.53%,-3.27%,,2001,0.00,,1/1/1971,1971,,4,2.13%,23,173,1.28%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                         94.05,,,2/2/2015,,2/2/2015,,,,,3.72%,€               94.05,3.50,170.87,82.23,99.01,13%,82%,2.05%,4.26%,,50.99%,66.94%,15,3.53%,-4.65%,,2002,1.33,,1/1/1972,1972,,5,2.17%,15,188,0.84%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,€                                                         94.36,,,2/9/2015,,2/9/2015,,,,,3.71%,€               94.36,3.50,170.87,82.23,99.01,14%,81%,2.05%,4.26%,,50.48%,66.38%,15,3.53%,-4.33%,,2003,1.53,15.00%,1/1/1973,1973,,6,2.21%,9,197,0.50%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,€                                                         95.90,,,2/16/2015,,2/17/2015,,,,,3.65%,€               95.90,3.50,170.87,82.23,99.01,15%,78%,2.05%,4.26%,,48.08%,63.72%,15,3.53%,-2.77%,,2004,1.80,17.39%,1/1/1974,1974,,7,2.25%,5,202,0.28%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,€                                                         92.64,,,2/23/2015,,2/23/2015,,,,,3.78%,€               92.64,3.50,170.87,82.23,99.01,12%,84%,2.05%,4.26%,,53.29%,69.48%,15,3.53%,-6.08%,,2005,2.00,11.11%,1/1/1975,1975,,8,2.29%,7,209,0.39%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,€                                                         90.96,,,3/2/2015,,3/2/2015,,,,,3.85%,€               90.96,3.50,170.87,82.23,99.01,10%,88%,2.05%,4.26%,,56.12%,72.61%,15,3.53%,-7.78%,,2006,2.10,5.00%,1/1/1976,1976,,9,2.33%,24,233,1.34%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,€                                                         89.45,,,3/9/2015,,3/9/2015,,,,,3.91%,€               89.45,3.50,170.87,82.23,99.01,8%,91%,2.05%,4.26%,,58.74%,75.51%,15,3.53%,-9.30%,,2007,2.10,0.00%,1/1/1977,1977,,10,2.37%,44,277,2.45%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,€                                                         94.93,,,3/16/2015,,3/16/2015,,,,,3.69%,€               94.93,3.50,170.87,82.23,99.01,14%,80%,2.05%,4.26%,,49.59%,65.39%,15,3.53%,-3.75%,,2008,2.10,0.00%,1/1/1978,1978,,11,2.41%,55,332,3.07%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,€                                                         92.42,,,3/23/2015,,3/23/2015,,,,,3.79%,€               92.42,3.50,170.87,82.23,99.01,11%,85%,2.05%,4.26%,,53.65%,69.89%,15,3.53%,-6.30%,,2009,2.10,0.00%,1/1/1979,1979,,12,2.45%,55,387,3.07%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,€                                                         89.66,,,3/30/2015,,3/30/2015,,,,,3.90%,€               89.66,3.50,170.87,82.23,99.01,8%,91%,2.05%,4.26%,,58.37%,75.10%,15,3.53%,-9.09%,,2010,2.35,11.90%,1/1/1980,1980,,13,2.49%,45,432,2.51%
