,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,THFF US,First Financial Corp/IN,,,,,,,,,,,,$       77.67,,,,,,,,,,,,,,,,,,NO,,,,,,,
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,First Financial Corp/IN - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,5Y CAGR,7.62%,,First Financial Corp/IN - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.45%,,First Financial Corp/IN - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       32.30,,,12/29/2014,,12/29/2014,,,,,3.07%,$             32.30,0.99,,,,,,,,4.74%,,,4.04,,0.00%,,1997,0.00,-,,,,0,,,,
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       32.44,,,1/5/2015,,1/5/2015,,,,,3.05%,$             32.44,0.99,,,,,,,,4.72%,,,4.04,,0.00%,,1998,0.00,,,,,1,,,,
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       32.49,,,1/12/2015,,1/12/2015,,,,,3.05%,$             32.49,0.99,,,,,,,,4.71%,,,4.04,,0.00%,,1999,0.00,,,,,2,,,,
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        31.56,,,1/20/2015,,1/20/2015,,,,,3.14%,$              31.56,0.99,,,,,,,,4.85%,,,4.04,,-2.88%,,2000,0.00,,1/1/1970,1970,,3,,,,
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                         31.17,,,1/26/2015,,1/26/2015,,,,,3.18%,$               31.17,0.99,,,,,,,,4.91%,,,4.04,,-4.07%,,2001,0.00,,1/1/1971,1971,,4,,,,
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                        31.42,,,2/2/2015,,2/2/2015,,,,,3.15%,$              31.42,0.99,,,,,,,,4.87%,,,4.04,,-3.30%,,2002,0.62,,1/1/1972,1972,,5,,,,
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                        31.79,,,2/9/2015,,2/9/2015,,,,,3.11%,$              31.79,0.99,,,,,,,,4.81%,,,4.04,,-2.17%,,2003,0.70,12.90%,1/1/1973,1973,,6,,,,
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                         31.01,,,2/17/2015,,2/17/2015,,,,,3.19%,$               31.01,0.99,,,,,,,,4.93%,,,4.04,,-4.55%,,2004,0.79,12.86%,1/1/1974,1974,,7,,,,
