,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,TLX GR,Talanx AG,,,,,,,,,,106%,-4%,$      115.00,$          40.87,$          50.26,$           123.70,$         110.90,6.71%,1.80%,3.71%,8.94%,414.31%,414.31%,118%,,,,,,,NO,,,5.53%,1.68%,3.85%,0.05%,77
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Talanx AG - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.89%,11/10/2017,,,,,,,,,,$          50.26,-56%,1.74%,$         110.90,$          32.67,$             22.36,$          26.57,1.62%,4.89%,3.98%,1.62%,-7.03%,-7.03%,-16%,,,,5Y CAGR,5.92%,,Talanx AG - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.40%,,Talanx AG - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Talanx AG - Rating: 106% - Upside: -4%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       27.50,,,12/29/2014,,12/29/2014,,,,,4.73%,€               27.50,1.30,72.09,26.57,32.67,2%,162%,1.80%,4.89%,7.27%,318.18%,338.18%,5.5,3.98%,0.00%,,1997,0.00,-,106,,,0,1.68%,25,25,0.93%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                         27.08,,,1/5/2015,,1/5/2015,,,,,4.80%,€               27.08,1.30,72.09,26.57,32.67,1%,166%,1.80%,4.89%,7.39%,324.67%,344.98%,5.5,3.98%,-1.53%,,1998,0.00,,-4,,,1,1.73%,57,82,2.13%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                         27.26,,,1/12/2015,,1/12/2015,,,,,4.77%,€               27.26,1.30,72.09,26.57,32.67,2%,164%,1.80%,4.89%,7.34%,321.94%,342.12%,5.5,3.98%,-0.89%,,1999,0.00,,,,,2,1.78%,95,177,3.54%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                         26.28,,,1/19/2015,,1/20/2015,,,,,4.95%,€               26.28,1.30,72.09,26.57,32.67,-1%,174%,1.80%,4.89%,7.61%,337.60%,358.52%,5.5,3.98%,-4.44%,,2000,0.00,,1/1/1970,1970,,3,1.83%,58,235,2.16%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                          26.71,,,1/26/2015,,1/26/2015,,,,,4.87%,€                26.71,1.30,72.09,26.57,32.67,0%,170%,1.80%,4.89%,7.49%,330.55%,351.14%,5.5,3.98%,-2.87%,,2001,0.00,,1/1/1971,1971,,4,1.88%,45,280,1.68%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                         26.57,,,2/2/2015,,2/2/2015,,,,,4.89%,€               26.57,1.30,72.09,26.57,32.67,0%,171%,1.80%,4.89%,7.53%,332.90%,353.60%,5.5,3.98%,-3.40%,,2002,0.00,,1/1/1972,1972,,5,1.93%,15,295,0.56%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,€                                                          27.15,,,2/9/2015,,2/9/2015,,,,,4.79%,€                27.15,1.30,72.09,26.57,32.67,1%,166%,1.80%,4.89%,7.37%,323.57%,343.83%,5.5,3.98%,-1.27%,,2003,0.00,,1/1/1973,1973,,6,1.98%,12,307,0.45%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,€                                                         27.39,,,2/16/2015,,2/17/2015,,,,,4.75%,€               27.39,1.30,72.09,26.57,32.67,2%,163%,1.80%,4.89%,7.30%,319.86%,339.94%,5.5,3.98%,-0.40%,,2004,0.00,,1/1/1974,1974,,7,2.03%,16,323,0.60%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,€                                                         26.59,,,2/23/2015,,2/23/2015,,,,,4.89%,€               26.59,1.30,72.09,26.57,32.67,0%,171%,1.80%,4.89%,7.52%,332.49%,353.18%,5.5,3.98%,-3.31%,,2005,0.00,,1/1/1975,1975,,8,2.08%,3,326,0.11%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,€                                                         26.46,,,3/2/2015,,3/2/2015,,,,,4.91%,€               26.46,1.30,72.09,26.57,32.67,0%,172%,1.80%,4.89%,7.56%,334.62%,355.40%,5.5,3.98%,-3.78%,,2006,0.00,,1/1/1976,1976,,9,2.13%,6,332,0.22%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,€                                                         26.02,,,3/9/2015,,3/9/2015,,,,,5.00%,€               26.02,1.30,72.09,26.57,32.67,-1%,177%,1.80%,4.89%,7.69%,341.97%,363.11%,5.5,3.98%,-5.38%,,2007,0.00,,1/1/1977,1977,,10,2.18%,5,337,0.19%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,€                                                         26.30,,,3/16/2015,,3/16/2015,,,,,4.94%,€               26.30,1.30,72.09,26.57,32.67,-1%,174%,1.80%,4.89%,7.60%,337.26%,358.17%,5.5,3.98%,-4.36%,,2008,0.00,,1/1/1978,1978,,11,2.23%,6,343,0.22%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,€                                                         25.24,,,3/23/2015,,3/23/2015,,,,,5.15%,€               25.24,1.30,72.09,26.57,32.67,-3%,186%,1.80%,4.89%,7.93%,355.72%,377.51%,5.5,3.98%,-8.24%,,2009,0.00,,1/1/1979,1979,,12,2.28%,4,347,0.15%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,€                                                         25.73,,,3/30/2015,,3/30/2015,,,,,5.05%,€               25.73,1.30,72.09,26.57,32.67,-2%,180%,1.80%,4.89%,7.77%,347.04%,368.42%,5.5,3.98%,-6.45%,,2010,0.00,,1/1/1980,1980,,13,2.33%,13,360,0.48%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,€                                                         26.32,,,4/7/2015,,4/6/2015,,,,,4.94%,€               26.32,1.30,72.09,26.57,32.67,-1%,174%,1.80%,4.89%,7.60%,336.93%,357.83%,5.5,3.98%,-4.29%,,2011,0.00,,1/1/1981,1981,,14,2.38%,19,379,0.71%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,€                                                         26.30,,,4/13/2015,,4/13/2015,,,,,4.94%,€               26.30,1.30,72.09,26.57,32.67,-1%,174%,1.80%,4.89%,7.61%,337.35%,358.26%,5.5,3.98%,-4.38%,,2012,0.00,,1/1/1982,1982,,15,2.43%,22,401,0.82%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,€                                                          26.15,,,4/20/2015,,4/20/2015,,,,,4.97%,€                26.15,1.30,72.09,26.57,32.67,-1%,176%,1.80%,4.89%,7.65%,339.85%,360.89%,5.5,3.98%,-4.93%,,2013,1.05,,1/1/1983,1983,,16,2.48%,8,409,0.30%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,€                                                         26.08,,,4/27/2015,,4/27/2015,,,,,4.99%,€               26.08,1.30,72.09,26.57,32.67,-1%,176%,1.80%,4.89%,7.67%,341.04%,362.13%,5.5,3.98%,-5.18%,,2014,1.20,14.29%,1/1/1984,1984,,17,2.53%,11,420,0.41%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,€                                                          25.81,,,5/4/2015,,5/4/2015,,,,,5.04%,€                25.81,1.30,72.09,26.57,32.67,-2%,179%,1.80%,4.89%,7.75%,345.56%,366.87%,5.5,3.98%,-6.15%,,2015,1.25,4.17%,1/1/1985,1985,,18,2.58%,14,434,0.52%
