,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,TNC US,Tennant Company,,,,,,,,,,62%,15%,$       86.72,$          64.82,$          82.80,$           122.92,$           99.91,1.83%,1.08%,1.32%,2.31%,86.33%,93.60%,166%,,,,,,,NO,,,1.77%,0.90%,0.86%,0.02%,43
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Tennant Company - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.66%,11/10/2017,,,,,,,,,,$          82.80,-5%,1.24%,$           99.91,$          62.39,$             46.54,$          48.84,0.87%,1.66%,1.30%,0.87%,-29.45%,-29.45%,-18%,,,,5Y CAGR,2.72%,,Tennant Company - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.87%,,Tennant Company - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Tennant Company - Rating: 62% - Upside: 15%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       53.95,,,12/29/2014,,12/29/2014,,,,,1.50%,$             53.95,0.81,75.28,48.84,62.39,19%,40%,1.08%,1.66%,1.99%,60.74%,67.01%,3.38,1.30%,0.00%,,1997,0.00,-,62,,,0,0.90%,5,5,0.19%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       54.74,,,1/5/2015,,1/5/2015,,,,,1.48%,$             54.74,0.81,75.28,48.84,62.39,22%,38%,1.08%,1.66%,1.96%,58.42%,64.60%,3.38,1.30%,0.00%,,1998,0.00,,15,,,1,0.92%,15,20,0.56%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       55.04,,,1/12/2015,,1/12/2015,,,,,1.47%,$             55.04,0.81,75.28,48.84,62.39,23%,37%,1.08%,1.66%,1.95%,57.56%,63.70%,3.38,1.30%,0.00%,,1999,0.00,,,,,2,0.94%,6,26,0.23%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       53.64,,,1/20/2015,,1/20/2015,,,,,1.51%,$             53.64,0.81,75.28,48.84,62.39,18%,40%,1.08%,1.66%,2.00%,61.67%,67.97%,3.38,1.30%,-2.54%,,2000,0.00,,1/1/1970,1970,,3,0.96%,7,33,0.26%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       53.02,,,1/26/2015,,1/26/2015,,,,,1.53%,$             53.02,0.81,75.28,48.84,62.39,16%,42%,1.08%,1.66%,2.03%,63.56%,69.94%,3.38,1.30%,-3.67%,,2001,0.00,,1/1/1971,1971,,4,0.98%,11,44,0.41%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       53.79,,,2/2/2015,,2/2/2015,,,,,1.51%,$             53.79,0.81,75.28,48.84,62.39,19%,40%,1.08%,1.66%,2.00%,61.22%,67.50%,3.38,1.30%,-2.27%,,2002,0.41,,1/1/1972,1972,,5,1.00%,15,59,0.56%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                        54.13,,,2/9/2015,,2/9/2015,,,,,1.50%,$              54.13,0.81,75.28,48.84,62.39,20%,39%,1.08%,1.66%,1.99%,60.21%,66.45%,3.38,1.30%,-1.65%,,2003,0.42,2.44%,1/1/1973,1973,,6,1.02%,8,67,0.30%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       52.72,,,2/17/2015,,2/17/2015,,,,,1.54%,$             52.72,0.81,75.28,48.84,62.39,15%,43%,1.08%,1.66%,2.04%,64.49%,70.90%,3.38,1.30%,-4.22%,,2004,0.43,2.38%,1/1/1974,1974,,7,1.04%,30,97,1.13%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                        51.57,,,2/23/2015,,2/23/2015,,,,,1.57%,$              51.57,0.81,75.28,48.84,62.39,10%,46%,1.08%,1.66%,2.08%,68.16%,74.71%,3.38,1.30%,-6.30%,,2005,0.44,2.33%,1/1/1975,1975,,8,1.06%,45,142,1.69%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                        51.67,,,3/2/2015,,3/2/2015,,,,,1.57%,$              51.67,0.81,75.28,48.84,62.39,11%,46%,1.08%,1.66%,2.08%,67.83%,74.38%,3.38,1.30%,-6.12%,,2006,0.46,4.55%,1/1/1976,1976,,9,1.08%,56,198,2.11%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       50.25,,,3/9/2015,,3/9/2015,,,,,1.61%,$             50.25,0.81,75.28,48.84,62.39,5%,50%,1.08%,1.66%,2.14%,72.58%,79.30%,3.38,1.30%,-8.70%,,2007,0.48,4.35%,1/1/1977,1977,,10,1.10%,96,294,3.62%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       50.37,,,3/16/2015,,3/16/2015,,,,,1.61%,$             50.37,0.81,75.28,48.84,62.39,6%,49%,1.08%,1.66%,2.13%,72.17%,78.88%,3.38,1.30%,-8.48%,,2008,0.52,8.33%,1/1/1978,1978,,11,1.12%,124,418,4.67%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                        49.31,,,3/23/2015,,3/23/2015,,,,,1.64%,$              49.31,0.81,75.28,48.84,62.39,2%,53%,1.08%,1.66%,2.18%,75.87%,82.72%,3.38,1.30%,-10.41%,,2009,0.53,1.92%,1/1/1979,1979,,12,1.14%,111,529,4.18%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       52.22,,,3/30/2015,,3/30/2015,,,,,1.55%,$             52.22,0.81,75.28,48.84,62.39,13%,44%,1.08%,1.66%,2.06%,66.07%,72.54%,3.38,1.30%,-5.12%,,2010,0.59,11.32%,1/1/1980,1980,,13,1.16%,107,636,4.03%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                        51.58,,,4/6/2015,,4/6/2015,,,,,1.57%,$              51.58,0.81,75.28,48.84,62.39,10%,46%,1.08%,1.66%,2.08%,68.13%,74.68%,3.38,1.30%,-6.29%,,2011,0.68,15.25%,1/1/1981,1981,,14,1.18%,106,742,3.99%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       52.66,,,4/13/2015,,4/13/2015,,,,,1.54%,$             52.66,0.81,75.28,48.84,62.39,14%,43%,1.08%,1.66%,2.04%,64.68%,71.10%,3.38,1.30%,-4.32%,,2012,0.69,1.47%,1/1/1982,1982,,15,1.20%,82,824,3.09%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       52.23,,,4/20/2015,,4/20/2015,,,,,1.55%,$             52.23,0.81,75.28,48.84,62.39,13%,44%,1.08%,1.66%,2.06%,66.03%,72.51%,3.38,1.30%,-5.11%,,2013,0.72,4.35%,1/1/1983,1983,,16,1.22%,111,935,4.18%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                       52.87,,,4/27/2015,,4/27/2015,,,,,1.53%,$             52.87,0.81,75.28,48.84,62.39,15%,42%,1.08%,1.66%,2.03%,64.02%,70.42%,3.38,1.30%,-3.94%,,2014,0.78,8.33%,1/1/1984,1984,,17,1.24%,145,1080,5.46%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                         54.11,,,5/4/2015,,5/4/2015,,,,,1.50%,$               54.11,0.81,75.28,48.84,62.39,20%,39%,1.08%,1.66%,1.99%,60.27%,66.51%,3.38,1.30%,-1.69%,,2015,0.80,2.56%,1/1/1985,1985,,18,1.26%,126,1206,4.75%
