,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,TR US,Tootsie Roll Industries Inc,,,,,,,,,,81%,7%,$       38.58,$          26.98,$           31.62,$              44.81,$           41.27,1.42%,0.87%,1.13%,1.42%,51.92%,57.14%,125%,,,,,,,NO,,,1.40%,0.83%,0.57%,0.01%,57
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Tootsie Roll Industries Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.33%,11/10/2017,,,,,,,,,,$           31.62,-18%,0.93%,$           41.27,$           31.62,$             25.39,$          26.98,0.80%,1.33%,1.14%,0.80%,-13.90%,-13.90%,-11%,,,,5Y CAGR,0.00%,,Tootsie Roll Industries Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,0.00%,,Tootsie Roll Industries Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Tootsie Roll Industries Inc - Rating: 81% - Upside: 7%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       25.89,,,12/29/2014,,12/29/2014,,,,,1.39%,$             25.89,0.36,41.27,26.98,31.62,-8%,59%,0.87%,1.33%,1.39%,48.99%,54.55%,1.44,1.14%,0.00%,,1997,0.00,-,81,,,0,0.83%,13,13,0.49%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       25.73,,,1/5/2015,,1/5/2015,,,,,1.40%,$             25.73,0.36,41.27,26.98,31.62,-9%,60%,0.87%,1.33%,1.40%,49.96%,55.56%,1.44,1.14%,-0.65%,,1998,0.00,,7,,,1,0.84%,32,45,1.21%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       25.80,,,1/12/2015,,1/12/2015,,,,,1.40%,$             25.80,0.36,41.27,26.98,31.62,-8%,60%,0.87%,1.33%,1.40%,49.52%,55.10%,1.44,1.14%,-0.36%,,1999,0.00,,,,,2,0.85%,36,81,1.36%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       25.48,,,1/20/2015,,1/20/2015,,,,,1.41%,$             25.48,0.36,41.27,26.98,31.62,-10%,62%,0.87%,1.33%,1.41%,51.39%,57.04%,1.44,1.14%,-1.58%,,2000,0.00,,1/1/1970,1970,,3,0.86%,35,116,1.32%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       25.47,,,1/26/2015,,1/26/2015,,,,,1.41%,$             25.47,0.36,41.27,26.98,31.62,-11%,62%,0.87%,1.33%,1.41%,51.49%,57.14%,1.44,1.14%,-1.65%,,2001,0.00,,1/1/1971,1971,,4,0.87%,25,141,0.94%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       25.74,,,2/2/2015,,2/2/2015,,,,,1.40%,$             25.74,0.36,41.27,26.98,31.62,-9%,60%,0.87%,1.33%,1.40%,49.91%,55.50%,1.44,1.14%,-0.61%,,2002,0.28,,1/1/1972,1972,,5,0.88%,26,167,0.98%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       25.85,,,2/9/2015,,2/9/2015,,,,,1.39%,$             25.85,0.36,41.27,26.98,31.62,-8%,60%,0.87%,1.33%,1.39%,49.23%,54.80%,1.44,1.14%,-0.16%,,2003,0.28,0.00%,1/1/1973,1973,,6,0.89%,20,187,0.75%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       25.48,,,2/17/2015,,2/17/2015,,,,,1.41%,$             25.48,0.36,41.27,26.98,31.62,-10%,62%,0.87%,1.33%,1.41%,51.39%,57.04%,1.44,1.14%,-1.58%,,2004,0.28,0.00%,1/1/1974,1974,,7,0.90%,12,199,0.45%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       25.65,,,2/23/2015,,2/23/2015,,,,,1.40%,$             25.65,0.36,41.27,26.98,31.62,-9%,61%,0.87%,1.33%,1.40%,50.40%,56.01%,1.44,1.14%,-0.94%,,2005,0.29,3.57%,1/1/1975,1975,,8,0.91%,16,215,0.60%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       25.64,,,3/2/2015,,3/2/2015,,,,,1.40%,$             25.64,0.36,41.27,26.98,31.62,-9%,61%,0.87%,1.33%,1.40%,50.50%,56.11%,1.44,1.14%,-1.00%,,2006,0.32,10.34%,1/1/1976,1976,,9,0.92%,18,233,0.68%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                       25.80,,,3/9/2015,,3/9/2015,,,,,1.40%,$             25.80,0.36,41.27,26.98,31.62,-8%,60%,0.87%,1.33%,1.40%,49.52%,55.10%,1.44,1.14%,-0.36%,,2007,0.32,0.00%,1/1/1977,1977,,10,0.93%,15,248,0.56%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       25.79,,,3/16/2015,,3/16/2015,,,,,1.40%,$             25.79,0.36,41.27,26.98,31.62,-8%,60%,0.87%,1.33%,1.40%,49.62%,55.20%,1.44,1.14%,-0.42%,,2008,0.32,0.00%,1/1/1978,1978,,11,0.94%,27,275,1.02%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       25.74,,,3/23/2015,,3/23/2015,,,,,1.40%,$             25.74,0.36,41.27,26.98,31.62,-9%,60%,0.87%,1.33%,1.40%,49.91%,55.50%,1.44,1.14%,-0.61%,,2009,0.32,0.00%,1/1/1979,1979,,12,0.95%,23,298,0.87%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       26.07,,,3/30/2015,,3/30/2015,,,,,1.38%,$             26.07,0.36,41.27,26.98,31.62,-6%,58%,0.87%,1.33%,1.38%,47.98%,53.51%,1.44,1.14%,0.00%,,2010,0.32,0.00%,1/1/1980,1980,,13,0.96%,12,310,0.45%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                        25.91,,,4/6/2015,,4/6/2015,,,,,1.39%,$              25.91,0.36,41.27,26.98,31.62,-7%,59%,0.87%,1.33%,1.39%,48.89%,54.45%,1.44,1.14%,-0.61%,,2011,0.32,0.00%,1/1/1981,1981,,14,0.97%,23,333,0.87%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       26.66,,,4/13/2015,,4/13/2015,,,,,1.35%,$             26.66,0.36,41.27,26.98,31.62,-2%,55%,0.87%,1.33%,1.35%,44.73%,50.13%,1.44,1.14%,0.00%,,2012,0.32,0.00%,1/1/1982,1982,,15,0.98%,31,364,1.17%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                       26.50,,,4/20/2015,,4/20/2015,,,,,1.36%,$             26.50,0.36,41.27,26.98,31.62,-3%,56%,0.87%,1.33%,1.36%,45.60%,51.03%,1.44,1.14%,-0.60%,,2013,0.32,0.00%,1/1/1983,1983,,16,0.99%,28,392,1.05%
