,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,TRI US,Thomson Reuters Corp,,,,,,,,,,39%,77%,$       97.76,$          50.66,$        100.98,$            214.21,$        172.68,4.49%,1.16%,2.29%,5.77%,182.38%,200.31%,134%,,,,,,,NO,,,4.35%,0.99%,3.36%,0.05%,67
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Thomson Reuters Corp - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.94%,11/10/2017,,,,,,,,,,$        100.98,3%,2.04%,$        172.68,$          75.55,$             34.62,$          37.90,0.93%,3.94%,1.98%,0.93%,-54.36%,-54.36%,-5%,,,,5Y CAGR,3.51%,,Thomson Reuters Corp - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.54%,,Thomson Reuters Corp - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Thomson Reuters Corp - Rating: 39% - Upside: 77%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                         37.11,,,12/29/2014,,12/29/2014,,,,,4.19%,$               37.11,1.55,134.40,39.43,78.59,-2%,262%,1.16%,3.94%,5.38%,163.43%,180.16%,6.20717721,1.98%,0.00%,,1997,0.84,-,39,,,0,0.99%,41,41,1.54%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       37.04,,,1/5/2015,,1/5/2015,,,,,4.20%,$             37.04,1.55,134.40,39.43,78.59,-3%,263%,1.16%,3.94%,5.39%,163.93%,180.69%,6.20717721,1.98%,-0.19%,,1998,0.22,-73.73%,77,,,1,1.04%,14,55,0.53%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        37.01,,,1/12/2015,,1/12/2015,,,,,4.20%,$              37.01,1.55,134.40,39.43,78.59,-3%,263%,1.16%,3.94%,5.39%,164.14%,180.92%,6.20717721,1.98%,-0.27%,,1999,#N/A,,,,,2,1.09%,45,100,1.69%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       35.29,,,1/20/2015,,1/20/2015,,,,,4.40%,$             35.29,1.55,134.40,39.43,78.59,-4%,281%,1.16%,3.94%,5.66%,177.02%,194.61%,6.20717721,1.98%,-4.90%,,2000,#N/A,,1/1/1970,1970,,3,1.14%,123,223,4.63%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       35.54,,,1/26/2015,,1/26/2015,,,,,4.37%,$             35.54,1.55,134.40,39.43,78.59,-4%,278%,1.16%,3.94%,5.62%,175.07%,192.54%,6.20717721,1.98%,-4.23%,,2001,#N/A,,1/1/1971,1971,,4,1.19%,96,319,3.62%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       35.30,,,2/2/2015,,2/2/2015,,,,,4.40%,$             35.30,1.55,134.40,39.43,78.59,-4%,281%,1.16%,3.94%,5.66%,176.94%,194.52%,6.20717721,1.98%,-4.88%,,2002,0.41,,1/1/1972,1972,,5,1.24%,67,386,2.52%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       35.65,,,2/9/2015,,2/9/2015,,,,,4.36%,$             35.65,1.55,134.40,39.43,78.59,-4%,277%,1.16%,3.94%,5.60%,174.22%,191.63%,6.20717721,1.98%,-3.93%,,2003,0.83,104.23%,1/1/1973,1973,,6,1.29%,51,437,1.92%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        35.13,,,2/17/2015,,2/17/2015,,,,,4.42%,$              35.13,1.55,134.40,39.43,78.59,-5%,283%,1.16%,3.94%,5.68%,178.28%,195.95%,6.20717721,1.98%,-5.34%,,2004,0.86,4.14%,1/1/1974,1974,,7,1.34%,26,463,0.98%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       35.76,,,2/23/2015,,2/23/2015,,,,,4.35%,$             35.76,1.55,134.40,39.43,78.59,-4%,276%,1.16%,3.94%,5.58%,173.38%,190.74%,6.20717721,1.98%,-3.64%,,2005,0.90,4.64%,1/1/1975,1975,,8,1.39%,79,542,2.98%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                        35.18,,,3/2/2015,,3/2/2015,,,,,4.42%,$              35.18,1.55,134.40,39.43,78.59,-4%,282%,1.16%,3.94%,5.68%,177.89%,195.53%,6.20717721,1.98%,-5.20%,,2006,1.01,11.39%,1/1/1976,1976,,9,1.44%,58,600,2.18%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                        35.41,,,3/9/2015,,3/9/2015,,,,,4.39%,$              35.41,1.55,134.40,39.43,78.59,-4%,280%,1.16%,3.94%,5.64%,176.08%,193.61%,6.20717721,1.98%,-4.58%,,2007,1.12,11.36%,1/1/1977,1977,,10,1.49%,93,693,3.50%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       35.07,,,3/16/2015,,3/16/2015,,,,,4.43%,$             35.07,1.55,134.40,39.43,78.59,-5%,283%,1.16%,3.94%,5.69%,178.76%,196.46%,6.20717721,1.98%,-5.50%,,2008,1.23,10.20%,1/1/1978,1978,,11,1.54%,76,769,2.86%
