,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,TRN IM,Terna - Rete Elettrica Naziona,,,,,,,,,,122%,-6%,$        10.33,$             6.70,$             7.67,$              10.39,$             9.67,5.44%,3.34%,4.19%,7.32%,134.19%,144.69%,124%,,,,,,,NO,,,5.03%,3.13%,1.90%,0.03%,63
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Terna - Rete Elettrica Naziona - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,$             7.67,-26%,3.13%,$             9.67,$             5.33,$                 4.41,$             4.65,3.11%,4.82%,4.21%,3.11%,-0.53%,-0.53%,-25%,,,,5Y CAGR,3.13%,,Terna - Rete Elettrica Naziona - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.80%,,Terna - Rete Elettrica Naziona - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Terna - Rete Elettrica Naziona - Rating: 122% - Upside: -6%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2018,1/22/2018,$                                                          4.95,,,1/22/2018,,12/29/2014,,,,,4.54%,€                  4.95,0.22,6.72,4.65,5.33,14%,36%,3.34%,4.82%,6.53%,108.77%,118.13%,0.463137,4.21%,0.00%,,1997,0.00,-,122,,,0,3.13%,21,21,0.97%
,,,,,,,,,,,,,,,,,,2018,1/23/2018,€                                                            4.97,,,1/29/2018,,1/5/2015,,,,,4.52%,€                  4.97,0.22,6.72,4.65,5.33,15%,35%,3.34%,4.82%,6.50%,107.93%,117.25%,0.463137,4.21%,0.00%,,1998,0.00,,-6,,,1,3.16%,17,38,0.79%
,,,,,,,,,,,,,,,,,,2018,1/24/2018,€                                                            4.87,,,2/5/2018,,1/12/2015,,,,,4.61%,€                  4.87,0.22,6.72,4.65,5.33,11%,38%,3.34%,4.82%,6.63%,112.03%,121.53%,0.463137,4.21%,-1.93%,,1999,0.00,,,,,2,3.19%,21,59,0.97%
,,,,,,,,,,,,,,,,,,2018,1/25/2018,€                                                            4.85,,,2/12/2018,,1/20/2015,,,,,4.63%,€                  4.85,0.22,6.72,4.65,5.33,9%,39%,3.34%,4.82%,6.66%,113.17%,122.72%,0.463137,4.21%,-2.46%,,2000,0.00,,1/1/1970,1970,,3,3.22%,13,72,0.60%
,,,,,,,,,,,,,,,,,,2018,1/26/2018,€                                                             4.91,,,2/19/2018,,1/26/2015,,,,,4.57%,€                   4.91,0.22,6.72,4.65,5.33,12%,37%,3.34%,4.82%,6.58%,110.56%,120.00%,0.463137,4.21%,-1.25%,,2001,0.00,,1/1/1971,1971,,4,3.25%,16,88,0.74%
,,,,,,,,,,,,,,,,,,2018,1/29/2018,€                                                            4.84,,,2/26/2018,,2/2/2015,,,,,4.63%,€                  4.84,0.22,6.72,4.65,5.33,9%,39%,3.34%,4.82%,6.67%,113.25%,122.81%,0.463137,4.21%,-2.50%,,2002,0.00,,1/1/1972,1972,,5,3.28%,8,96,0.37%
,,,,,,,,,,,,,,,,,,2018,1/30/2018,€                                                            4.82,,,3/5/2018,,2/9/2015,,,,,4.65%,€                  4.82,0.22,6.72,4.65,5.33,8%,39%,3.34%,4.82%,6.70%,114.23%,123.83%,0.463137,4.21%,-2.94%,,2003,0.00,,1/1/1973,1973,,6,3.31%,3,99,0.14%
,,,,,,,,,,,,,,,,,,2018,1/31/2018,€                                                            4.85,,,3/12/2018,,2/17/2015,,,,,4.63%,€                  4.85,0.22,6.72,4.65,5.33,9%,39%,3.34%,4.82%,6.66%,113.08%,122.63%,0.463137,4.21%,-2.42%,,2004,0.05,,1/1/1974,1974,,7,3.34%,3,102,0.14%
