,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,TROW US,T Rowe Price Group Inc,,,,,,,,,,17%,92%,$       119.21,$          97.32,$        159.98,$          223.87,$        229.41,6.33%,2.21%,3.50%,7.72%,88.59%,104.86%,126%,,,,,,,NO,,,5.81%,1.98%,3.83%,0.05%,77
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,1.35%,,T Rowe Price Group Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.22%,11/10/2017,,,,,,,,,,$        159.98,34%,4.26%,$        229.41,$          68.02,$              63.21,$           41.38,1.93%,5.22%,3.18%,2.18%,-46.75%,-46.75%,-13%,,,,5Y CAGR,3.29%,,T Rowe Price Group Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,8.93%,,T Rowe Price Group Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,T Rowe Price Group Inc - Rating: 17% - Upside: 92%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        70.19,,,12/29/2014,,12/29/2014,,,,,3.08%,$              70.19,2.16,97.55,41.38,68.02,51%,39%,2.21%,5.22%,6.95%,69.84%,84.48%,10.28,3.18%,0.00%,,1997,0.00,-,17,,,0,1.98%,29,29,1.09%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       70.48,,,1/5/2015,,1/5/2015,,,,,3.06%,$             70.48,2.16,97.55,41.38,68.02,52%,38%,2.21%,5.22%,6.92%,69.14%,83.73%,10.28,3.18%,0.00%,,1998,0.00,,92,,,1,2.03%,15,44,0.56%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       68.90,,,1/12/2015,,1/12/2015,,,,,3.13%,$             68.90,2.16,97.55,41.38,68.02,49%,42%,2.21%,5.22%,7.08%,73.02%,87.94%,10.28,3.18%,-2.24%,,1999,0.00,,,,,2,2.08%,30,74,1.13%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       67.06,,,1/20/2015,,1/20/2015,,,,,3.22%,$             67.06,2.16,97.55,41.38,68.02,46%,45%,2.21%,5.22%,7.28%,77.77%,93.10%,10.28,3.18%,-4.85%,,2000,0.00,,1/1/1970,1970,,3,2.13%,20,94,0.75%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       65.36,,,1/26/2015,,1/26/2015,,,,,3.30%,$             65.36,2.16,97.55,41.38,68.02,43%,49%,2.21%,5.22%,7.47%,82.39%,98.12%,10.28,3.18%,-7.26%,,2001,0.00,,1/1/1971,1971,,4,2.18%,46,140,1.73%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                        65.01,,,2/2/2015,,2/2/2015,,,,,3.32%,$              65.01,2.16,97.55,41.38,68.02,42%,50%,2.21%,5.22%,7.51%,83.37%,99.18%,10.28,3.18%,-7.76%,,2002,0.33,,1/1/1972,1972,,5,2.23%,40,180,1.51%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                        66.71,,,2/9/2015,,2/9/2015,,,,,3.24%,$              66.71,2.16,97.55,41.38,68.02,45%,46%,2.21%,5.22%,7.32%,78.70%,94.11%,10.28,3.18%,-5.35%,,2003,0.35,7.69%,1/1/1973,1973,,6,2.28%,31,211,1.17%
