,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,TRV US,Travelers Cos Inc/The,,,,,,,,,,165%,-26%,$    390.35,$         136.19,$        175.93,$          390.35,$       289.98,4.13%,1.36%,2.16%,4.81%,377.84%,377.84%,165%,,,,,,,NO,,,3.59%,1.16%,2.43%,0.04%,61
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Travelers Cos Inc/The - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.89%,11/10/2017,,,,,,,,,,$        175.93,-55%,1.01%,$       289.98,$         117.29,$              81.69,$          90.79,1.01%,2.89%,2.23%,1.01%,0.00%,0.00%,-27%,,,,5Y CAGR,2.40%,,Travelers Cos Inc/The - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.14%,,Travelers Cos Inc/The - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Travelers Cos Inc/The - Rating: 165% - Upside: -26%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                     109.97,,,12/29/2014,,12/29/2014,,,,,2.38%,$           109.97,2.62,193.32,90.79,117.29,19%,76%,1.36%,2.89%,3.57%,254.96%,265.61%,11.71,2.23%,0.00%,,1997,0.00,-,165,,,0,1.16%,8,8,0.30%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                      110.47,,,1/5/2015,,1/5/2015,,,,,2.37%,$            110.47,2.62,193.32,90.79,117.29,19%,75%,1.36%,2.89%,3.56%,253.35%,263.95%,11.71,2.23%,0.00%,,1998,0.00,,-26,,,1,1.20%,3,11,0.11%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                     109.04,,,1/12/2015,,1/12/2015,,,,,2.40%,$           109.04,2.62,193.32,90.79,117.29,18%,77%,1.36%,2.89%,3.60%,257.99%,268.73%,11.71,2.23%,-1.29%,,1999,0.00,,,,,2,1.24%,16,27,0.60%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                     106.44,,,1/20/2015,,1/20/2015,,,,,2.46%,$           106.44,2.62,193.32,90.79,117.29,15%,82%,1.36%,2.89%,3.69%,266.73%,277.73%,11.71,2.23%,-3.65%,,2000,0.00,,1/1/1970,1970,,3,1.28%,55,82,2.07%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                     105.99,,,1/26/2015,,1/26/2015,,,,,2.47%,$           105.99,2.62,193.32,90.79,117.29,15%,82%,1.36%,2.89%,3.71%,268.29%,279.34%,11.71,2.23%,-4.06%,,2001,0.00,,1/1/1971,1971,,4,1.32%,42,124,1.58%
