,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,TSM US,Taiwan Semiconductor Manufactu,,,,,,,,,,113%,-9%,$    399.09,$          80.53,$         181.07,$          477.57,$        363.19,5.91%,1.07%,2.51%,8.98%,1848.68%,1875.20%,140%,,,,,,,NO,,,5.56%,0.89%,4.67%,0.10%,47
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,28.17%,,Taiwan Semiconductor Manufactu - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.81%,11/10/2017,,,,,,,,,,$         181.07,-55%,0.97%,$        363.19,$          43.94,$             20.48,$           19.54,0.81%,4.81%,2.14%,0.38%,-16.43%,-16.43%,-5%,,,,5Y CAGR,15.62%,,Taiwan Semiconductor Manufactu - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,15.21%,,Taiwan Semiconductor Manufactu - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Taiwan Semiconductor Manufactu - Rating: 113% - Upside: -9%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       22.09,,,12/29/2014,,12/29/2014,,,,,4.25%,$             22.09,0.94,88.14,19.54,43.94,4%,299%,1.07%,4.81%,8.32%,1706.65%,1731.24%,5.4316102,2.14%,0.00%,,1997,0.00,-,113,,,0,0.89%,50,50,1.88%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        21.95,,,1/5/2015,,1/5/2015,,,,,4.28%,$              21.95,0.94,88.14,19.54,43.94,4%,302%,1.07%,4.81%,8.38%,1718.18%,1742.92%,5.4316102,2.14%,-0.63%,,1998,0.00,,-9,,,1,0.99%,84,134,3.16%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                        21.34,,,1/12/2015,,1/12/2015,,,,,4.40%,$              21.34,0.94,88.14,19.54,43.94,3%,313%,1.07%,4.81%,8.61%,1770.15%,1795.60%,5.4316102,2.14%,-3.40%,,1999,0.00,,,,,2,1.09%,90,224,3.39%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                         21.10,,,1/20/2015,,1/20/2015,,,,,4.45%,$               21.10,0.94,88.14,19.54,43.94,2%,318%,1.07%,4.81%,8.71%,1791.42%,1817.16%,5.4316102,2.14%,-4.48%,,2000,0.00,,1/1/1970,1970,,3,1.19%,76,300,2.86%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        20.81,,,1/26/2015,,1/26/2015,,,,,4.51%,$              20.81,0.94,88.14,19.54,43.94,2%,324%,1.07%,4.81%,8.83%,1817.78%,1843.88%,5.4316102,2.14%,-5.79%,,2001,0.00,,1/1/1971,1971,,4,1.29%,93,393,3.50%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       20.93,,,2/2/2015,,2/2/2015,,,,,4.49%,$             20.93,0.94,88.14,19.54,43.94,2%,321%,1.07%,4.81%,8.78%,1806.78%,1832.74%,5.4316102,2.14%,-5.25%,,2002,0.00,,1/1/1972,1972,,5,1.39%,89,482,3.35%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       20.75,,,2/9/2015,,2/9/2015,,,,,4.53%,$             20.75,0.94,88.14,19.54,43.94,2%,325%,1.07%,4.81%,8.86%,1823.33%,1849.50%,5.4316102,2.14%,-6.07%,,2003,0.00,,1/1/1973,1973,,6,1.49%,170,652,6.40%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       20.48,,,2/17/2015,,2/17/2015,,,,,4.59%,$             20.48,0.94,88.14,19.54,43.94,1%,330%,1.07%,4.81%,8.98%,1848.68%,1875.20%,5.4316102,2.14%,-7.29%,,2004,0.00,,1/1/1974,1974,,7,1.59%,166,818,6.25%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                        21.82,,,2/23/2015,,2/23/2015,,,,,4.31%,$              21.82,0.94,88.14,19.54,43.94,3%,304%,1.07%,4.81%,8.43%,1729.01%,1753.90%,5.4316102,2.14%,-1.22%,,2005,0.00,,1/1/1975,1975,,8,1.69%,112,930,4.22%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                         21.10,,,3/2/2015,,3/2/2015,,,,,4.45%,$               21.10,0.94,88.14,19.54,43.94,2%,318%,1.07%,4.81%,8.71%,1791.42%,1817.16%,5.4316102,2.14%,-4.48%,,2006,0.00,,1/1/1976,1976,,9,1.79%,97,1027,3.65%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                        21.66,,,3/9/2015,,3/9/2015,,,,,4.34%,$              21.66,0.94,88.14,19.54,43.94,3%,307%,1.07%,4.81%,8.49%,1742.52%,1767.60%,5.4316102,2.14%,-1.95%,,2007,0.00,,1/1/1977,1977,,10,1.89%,100,1127,3.77%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                        21.09,,,3/16/2015,,3/16/2015,,,,,4.45%,$              21.09,0.94,88.14,19.54,43.94,2%,318%,1.07%,4.81%,8.72%,1792.32%,1818.07%,5.4316102,2.14%,-4.53%,,2008,0.00,,1/1/1978,1978,,11,1.99%,129,1256,4.86%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                        21.33,,,3/23/2015,,3/23/2015,,,,,4.40%,$              21.33,0.94,88.14,19.54,43.94,3%,313%,1.07%,4.81%,8.62%,1771.03%,1796.49%,5.4316102,2.14%,-3.44%,,2009,0.00,,1/1/1979,1979,,12,2.09%,106,1362,3.99%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                        21.93,,,3/30/2015,,3/30/2015,,,,,4.28%,$              21.93,0.94,88.14,19.54,43.94,3%,302%,1.07%,4.81%,8.38%,1719.84%,1744.60%,5.4316102,2.14%,-0.72%,,2010,0.00,,1/1/1980,1980,,13,2.19%,56,1418,2.11%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                        21.79,,,4/6/2015,,4/6/2015,,,,,4.31%,$              21.79,0.94,88.14,19.54,43.94,3%,304%,1.07%,4.81%,8.44%,1731.53%,1756.46%,5.4316102,2.14%,-1.36%,,2011,0.00,,1/1/1981,1981,,14,2.29%,26,1444,0.98%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                        21.59,,,4/13/2015,,4/13/2015,,,,,4.35%,$              21.59,0.94,88.14,19.54,43.94,3%,308%,1.07%,4.81%,8.52%,1748.49%,1773.65%,5.4316102,2.14%,-2.26%,,2012,0.00,,1/1/1982,1982,,15,2.39%,17,1461,0.64%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                        21.68,,,4/20/2015,,4/20/2015,,,,,4.33%,$              21.68,0.94,88.14,19.54,43.94,3%,307%,1.07%,4.81%,8.48%,1740.82%,1765.87%,5.4316102,2.14%,-1.86%,,2013,0.00,,1/1/1983,1983,,16,2.49%,13,1474,0.49%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                        21.63,,,4/27/2015,,4/27/2015,,,,,4.34%,$              21.63,0.94,88.14,19.54,43.94,3%,307%,1.07%,4.81%,8.50%,1745.08%,1770.19%,5.4316102,2.14%,-2.08%,,2014,0.00,,1/1/1984,1984,,17,2.59%,9,1483,0.34%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                       22.35,,,5/4/2015,,5/4/2015,,,,,4.20%,$             22.35,0.94,88.14,19.54,43.94,4%,294%,1.07%,4.81%,8.23%,1685.64%,1709.94%,5.4316102,2.14%,0.00%,,2015,0.72,,1/1/1985,1985,,18,2.69%,26,1509,0.98%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                       22.46,,,5/11/2015,,5/11/2015,,,,,4.18%,$             22.46,0.94,88.14,19.54,43.94,4%,292%,1.07%,4.81%,8.19%,1676.89%,1701.08%,5.4316102,2.14%,0.00%,,2016,0.94,29.96%,1/1/1986,1986,,19,2.79%,31,1540,1.17%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                       22.56,,,5/18/2015,,5/18/2015,,,,,4.16%,$             22.56,0.94,88.14,19.54,43.94,4%,291%,1.07%,4.81%,8.15%,1669.02%,1693.09%,5.4316102,2.14%,0.00%,,2017,1.15,22.55%,1/1/1987,1987,,20,2.89%,92,1632,3.47%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                       22.92,,,5/26/2015,,5/26/2015,,,,,4.10%,$             22.92,0.94,88.14,19.54,43.94,5%,285%,1.07%,4.81%,8.02%,1641.23%,1664.93%,5.4316102,2.14%,0.00%,,2018,1.31,13.88%,1/1/1988,1988,,21,2.99%,110,1742,4.14%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                       23.23,,,6/1/2015,,6/1/2015,,,,,4.04%,$             23.23,0.94,88.14,19.54,43.94,5%,279%,1.07%,4.81%,7.91%,1617.99%,1641.38%,5.4316102,2.14%,0.00%,,2019,2.03,54.82%,1/1/1989,1989,,22,3.09%,112,1854,4.22%
