,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,TUB BB,Financiere de Tubize SA,,,,,,,,,,98%,1%,$    209.80,$           72.31,$        100.74,$          247.50,$         211.95,1.41%,0.41%,0.84%,1.70%,314.79%,318.98%,125%,,,,,,,NO,,,1.34%,0.37%,0.98%,0.02%,49
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Financiere de Tubize SA - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.19%,11/10/2017,,,,,,,,,,$        100.74,-52%,0.41%,$         211.95,$          58.57,$             50.58,$          42.04,0.35%,1.19%,0.85%,0.35%,-15.23%,-15.23%,-8%,,,,5Y CAGR,4.81%,,Financiere de Tubize SA - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.57%,,Financiere de Tubize SA - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Financiere de Tubize SA - Rating: 98% - Upside: 1%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       67.03,,,12/29/2014,,12/29/2014,,,,,0.75%,€               67.03,0.50,123.23,42.04,58.57,31%,84%,0.41%,1.19%,1.28%,212.99%,216.16%,2.12,0.85%,0.00%,,1997,0.00,-,98,,,0,0.37%,57,57,2.11%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                          67.15,,,1/5/2015,,1/5/2015,,,,,0.74%,€                67.15,0.50,123.23,42.04,58.57,31%,84%,0.41%,1.19%,1.28%,212.43%,215.59%,2.12,0.85%,0.00%,,1998,0.00,,1,,,1,0.39%,61,118,2.26%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                          66.31,,,1/12/2015,,1/12/2015,,,,,0.75%,€                66.31,0.50,123.23,42.04,58.57,30%,86%,0.41%,1.19%,1.30%,216.39%,219.59%,2.12,0.85%,-1.25%,,1999,0.00,,,,,2,0.41%,56,174,2.07%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                         65.26,,,1/19/2015,,1/20/2015,,,,,0.77%,€               65.26,0.50,123.23,42.04,58.57,29%,89%,0.41%,1.19%,1.32%,221.48%,224.73%,2.12,0.85%,-2.81%,,2000,0.00,,1/1/1970,1970,,3,0.43%,23,197,0.85%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                          64.21,,,1/26/2015,,1/26/2015,,,,,0.78%,€                64.21,0.50,123.23,42.04,58.57,27%,92%,0.41%,1.19%,1.34%,226.74%,230.04%,2.12,0.85%,-4.38%,,2001,0.00,,1/1/1971,1971,,4,0.45%,2,199,0.07%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                         63.75,,,2/2/2015,,2/2/2015,,,,,0.78%,€               63.75,0.50,123.23,42.04,58.57,27%,93%,0.41%,1.19%,1.35%,229.10%,232.42%,2.12,0.85%,-5.06%,,2002,0.31,,1/1/1972,1972,,5,0.47%,0,199,0.00%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,€                                                         64.47,,,2/9/2015,,2/9/2015,,,,,0.78%,€               64.47,0.50,123.23,42.04,58.57,28%,91%,0.41%,1.19%,1.33%,225.42%,228.71%,2.12,0.85%,-3.99%,,2003,0.38,21.28%,1/1/1973,1973,,6,0.49%,0,199,0.00%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,€                                                         64.42,,,2/16/2015,,2/17/2015,,,,,0.78%,€               64.42,0.50,123.23,42.04,58.57,28%,91%,0.41%,1.19%,1.33%,225.68%,228.97%,2.12,0.85%,-4.07%,,2004,0.41,8.77%,1/1/1974,1974,,7,0.51%,15,214,0.55%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,€                                                         63.88,,,2/23/2015,,2/23/2015,,,,,0.78%,€               63.88,0.50,123.23,42.04,58.57,27%,93%,0.41%,1.19%,1.35%,228.43%,231.75%,2.12,0.85%,-4.87%,,2005,0.44,6.45%,1/1/1975,1975,,8,0.53%,14,228,0.52%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,€                                                           61.15,,,3/2/2015,,3/2/2015,,,,,0.82%,€                 61.15,0.50,123.23,42.04,58.57,24%,102%,0.41%,1.19%,1.41%,243.09%,246.56%,2.12,0.85%,-8.94%,,2006,0.45,3.02%,1/1/1976,1976,,9,0.55%,14,242,0.52%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,€                                                         60.96,,,3/9/2015,,3/9/2015,,,,,0.82%,€               60.96,0.50,123.23,42.04,58.57,23%,102%,0.41%,1.19%,1.41%,244.16%,247.64%,2.12,0.85%,-9.22%,,2007,0.46,2.21%,1/1/1977,1977,,10,0.57%,27,269,1.00%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,€                                                         63.00,,,3/16/2015,,3/16/2015,,,,,0.79%,€               63.00,0.50,123.23,42.04,58.57,26%,96%,0.41%,1.19%,1.37%,233.02%,236.38%,2.12,0.85%,-6.18%,,2008,0.47,2.16%,1/1/1978,1978,,11,0.59%,37,306,1.37%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,€                                                          61.70,,,3/23/2015,,3/23/2015,,,,,0.81%,€                61.70,0.50,123.23,42.04,58.57,24%,100%,0.41%,1.19%,1.39%,240.03%,243.47%,2.12,0.85%,-8.12%,,2009,0.48,1.42%,1/1/1979,1979,,12,0.61%,41,347,1.52%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,€                                                         62.28,,,3/30/2015,,3/30/2015,,,,,0.80%,€               62.28,0.50,123.23,42.04,58.57,25%,98%,0.41%,1.19%,1.38%,236.87%,240.27%,2.12,0.85%,-7.25%,,2010,0.48,0.00%,1/1/1980,1980,,13,0.63%,29,376,1.07%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,€                                                         64.40,,,4/7/2015,,4/6/2015,,,,,0.78%,€               64.40,0.50,123.23,42.04,58.57,28%,91%,0.41%,1.19%,1.34%,225.78%,229.07%,2.12,0.85%,-4.10%,,2011,0.48,0.00%,1/1/1981,1981,,14,0.65%,34,410,1.26%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,€                                                         65.34,,,4/13/2015,,4/13/2015,,,,,0.77%,€               65.34,0.50,123.23,42.04,58.57,29%,89%,0.41%,1.19%,1.32%,221.09%,224.33%,2.12,0.85%,-2.70%,,2012,0.48,0.00%,1/1/1982,1982,,15,0.67%,27,437,1.00%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,€                                                         68.00,,,4/20/2015,,4/20/2015,,,,,0.74%,€               68.00,0.50,123.23,42.04,58.57,32%,81%,0.41%,1.19%,1.26%,208.53%,211.65%,2.12,0.85%,0.00%,,2013,0.48,0.00%,1/1/1983,1983,,16,0.69%,26,463,0.96%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,€                                                         67.24,,,4/27/2015,,4/27/2015,,,,,0.74%,€               67.24,0.50,123.23,42.04,58.57,31%,83%,0.41%,1.19%,1.28%,212.02%,215.17%,2.12,0.85%,-1.12%,,2014,0.48,0.00%,1/1/1984,1984,,17,0.71%,30,493,1.11%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,€                                                         62.93,,,5/4/2015,,5/4/2015,,,,,0.79%,€               62.93,0.50,123.23,42.04,58.57,26%,96%,0.41%,1.19%,1.37%,233.39%,236.76%,2.12,0.85%,-7.46%,,2015,0.48,0.00%,1/1/1985,1985,,18,0.73%,61,554,2.26%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,€                                                          61.90,,,5/11/2015,,5/11/2015,,,,,0.81%,€                61.90,0.50,123.23,42.04,58.57,24%,99%,0.41%,1.19%,1.39%,238.93%,242.36%,2.12,0.85%,-8.97%,,2016,0.50,4.17%,1/1/1986,1986,,19,0.75%,65,619,2.40%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,€                                                         63.02,,,5/18/2015,,5/18/2015,,,,,0.79%,€               63.02,0.50,123.23,42.04,58.57,26%,96%,0.41%,1.19%,1.36%,232.91%,236.27%,2.12,0.85%,-7.32%,,2017,0.52,4.00%,1/1/1987,1987,,20,0.77%,141,760,5.22%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,€                                                          62.12,,,5/25/2015,,5/26/2015,,,,,0.80%,€                62.12,0.50,123.23,42.04,58.57,25%,98%,0.41%,1.19%,1.38%,237.73%,241.15%,2.12,0.85%,-8.65%,,2018,0.54,3.85%,1/1/1988,1988,,21,0.79%,162,922,5.99%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,€                                                         60.50,,,6/1/2015,,6/1/2015,,,,,0.83%,€               60.50,0.50,123.23,42.04,58.57,23%,104%,0.41%,1.19%,1.42%,246.78%,250.28%,2.12,0.85%,-11.03%,,2019,0.56,3.70%,1/1/1989,1989,,22,0.81%,155,1077,5.73%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,€                                                         58.98,,,6/8/2015,,6/8/2015,,,,,0.85%,€               58.98,0.50,123.23,42.04,58.57,21%,109%,0.41%,1.19%,1.46%,255.71%,259.31%,2.12,0.85%,-13.26%,,2020,0.62,10.71%,1/1/1990,1990,,23,0.83%,168,1245,6.22%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,€                                                         56.90,,,6/15/2015,,6/15/2015,,,,,0.88%,€               56.90,0.50,123.23,42.04,58.57,18%,117%,0.41%,1.19%,1.51%,268.72%,272.44%,2.12,0.85%,-16.32%,,2021,0.68,9.68%,1/1/1991,1991,,24,0.85%,201,1446,7.44%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,€                                                          54.31,,,6/22/2015,,6/22/2015,,,,,0.92%,€                54.31,0.50,123.23,42.04,58.57,15%,127%,0.41%,1.19%,1.58%,286.30%,290.20%,2.12,0.85%,-20.13%,,2022,0.75,10.29%,1/1/1992,1992,,25,0.87%,272,1718,10.06%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,€                                                         55.64,,,6/29/2015,,6/29/2015,,,,,0.90%,€               55.64,0.50,123.23,42.04,58.57,17%,121%,0.41%,1.19%,1.55%,277.07%,280.88%,2.12,0.85%,-18.18%,,2023,0.86,14.67%,1/1/1993,1993,,26,0.89%,216,1934,7.99%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,€                                                          56.51,,,7/6/2015,,7/6/2015,,,,,0.88%,€                56.51,0.50,123.23,42.04,58.57,18%,118%,0.41%,1.19%,1.52%,271.26%,275.01%,2.12,0.85%,-16.90%,,2024,0.86,0.00%,1/1/1994,1994,,27,0.91%,132,2066,4.88%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,€                                                         56.80,,,7/13/2015,,7/13/2015,,,,,0.88%,€               56.80,0.50,123.23,42.04,58.57,18%,117%,0.41%,1.19%,1.51%,269.37%,273.10%,2.12,0.85%,-16.47%,,2025,0.86,0.00%,1/1/1995,1995,,28,0.93%,80,2146,2.96%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,€                                                         58.52,,,7/20/2015,,7/20/2015,,,,,0.85%,€               58.52,0.50,123.23,42.04,58.57,20%,111%,0.41%,1.19%,1.47%,258.51%,262.13%,2.12,0.85%,-13.94%,,2026,0.86,0.00%,1/1/1996,1996,,29,0.95%,63,2209,2.33%
,,,,,,,,,,,,,,,,,,2016,2/15/2016,€                                                         59.73,,,7/27/2015,,7/27/2015,,,,,0.84%,€               59.73,0.50,123.23,42.04,58.57,22%,106%,0.41%,1.19%,1.44%,251.25%,254.80%,2.12,0.85%,-12.16%,,,,,1/1/1997,1997,,30,0.97%,37,2246,1.37%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,€                                                         59.25,,,8/3/2015,,8/3/2015,,,,,0.84%,€               59.25,0.50,123.23,42.04,58.57,21%,108%,0.41%,1.19%,1.45%,254.09%,257.67%,2.12,0.85%,-12.87%,,,,,1/1/1998,1998,,31,0.99%,19,2265,0.70%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,€                                                         60.30,,,8/10/2015,,8/10/2015,,,,,0.83%,€               60.30,0.50,123.23,42.04,58.57,22%,104%,0.41%,1.19%,1.43%,247.93%,251.44%,2.12,0.85%,-11.32%,,,,,1/1/1999,1999,,32,1.01%,9,2274,0.33%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,€                                                           61.14,,,8/17/2015,,8/17/2015,,,,,0.82%,€                 61.14,0.50,123.23,42.04,58.57,24%,102%,0.41%,1.19%,1.41%,243.15%,246.61%,2.12,0.85%,-10.09%,,,,,1/1/2000,2000,,33,1.03%,26,2300,0.96%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,€                                                         60.37,,,8/24/2015,,8/24/2015,,,,,0.83%,€               60.37,0.50,123.23,42.04,58.57,23%,104%,0.41%,1.19%,1.42%,247.52%,251.04%,2.12,0.85%,-11.22%,,,,,1/1/2001,2001,,34,1.05%,10,2310,0.37%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,€                                                         58.29,,,8/31/2015,,8/31/2015,,,,,0.86%,€               58.29,0.50,123.23,42.04,58.57,20%,111%,0.41%,1.19%,1.48%,259.92%,263.56%,2.12,0.85%,-14.28%,,,,,1/1/2002,2002,,35,1.07%,27,2337,1.00%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,€                                                         59.49,,,9/7/2015,,9/8/2015,,,,,0.84%,€               59.49,0.50,123.23,42.04,58.57,21%,107%,0.41%,1.19%,1.45%,252.66%,256.23%,2.12,0.85%,-12.51%,,,,,1/1/2003,2003,,36,1.09%,55,2392,2.03%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,€                                                          57.15,,,9/14/2015,,9/14/2015,,,,,0.87%,€                57.15,0.50,123.23,42.04,58.57,19%,116%,0.41%,1.19%,1.50%,267.10%,270.81%,2.12,0.85%,-15.96%,,,,,1/1/2004,2004,,37,1.11%,45,2437,1.66%
,,,,,,,,,,,,,,,,,,2016,2/25/2016,€                                                         56.90,,,9/21/2015,,9/21/2015,,,,,0.88%,€               56.90,0.50,123.23,42.04,58.57,18%,117%,0.41%,1.19%,1.51%,268.72%,272.44%,2.12,0.85%,-16.32%,,,,,1/1/2005,2005,,38,1.13%,49,2486,1.81%
,,,,,,,,,,,,,,,,,,2016,2/26/2016,€                                                          57.16,,,9/28/2015,,9/28/2015,,,,,0.87%,€                57.16,0.50,123.23,42.04,58.57,19%,116%,0.41%,1.19%,1.50%,267.04%,270.75%,2.12,0.85%,-15.94%,,,,,1/1/2006,2006,,39,1.15%,37,2523,1.37%
,,,,,,,,,,,,,,,,,,2016,2/29/2016,€                                                         55.59,,,10/5/2015,,10/5/2015,,,,,0.90%,€               55.59,0.50,123.23,42.04,58.57,17%,122%,0.41%,1.19%,1.55%,277.41%,281.22%,2.12,0.85%,-18.25%,,,,,1/1/2007,2007,,40,1.17%,28,2551,1.04%
,,,,,,,,,,,,,,,,,,2016,3/1/2016,€                                                         56.75,,,10/12/2015,,10/12/2015,,,,,0.88%,€               56.75,0.50,123.23,42.04,58.57,18%,117%,0.41%,1.19%,1.52%,269.69%,273.43%,2.12,0.85%,-16.54%,,,,,1/1/2008,2008,,41,1.19%,33,2584,1.22%
,,,,,,,,,,,,,,,,,,2016,3/2/2016,€                                                         56.50,,,10/19/2015,,10/19/2015,,,,,0.88%,€               56.50,0.50,123.23,42.04,58.57,18%,118%,0.41%,1.19%,1.52%,271.33%,275.08%,2.12,0.85%,-16.91%,,,,,1/1/2009,2009,,42,1.21%,30,2614,1.11%
