,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,TXN US,Texas Instruments,,,,,,,,,,135%,-11%,$     279.41,$        165.63,$       202.36,$          332.28,$       249.90,3.98%,2.18%,2.69%,10.45%,481.74%,501.73%,198%,,,,,,,NO,,,3.71%,1.77%,1.94%,0.03%,65
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,2.71%,,Texas Instruments - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.28%,11/10/2017,,,,,,,,,,$       202.36,-28%,1.95%,$       249.90,$           61.00,$             48.03,$          49.93,1.64%,3.28%,2.69%,1.51%,-15.91%,-15.91%,-34%,,,,5Y CAGR,5.26%,,Texas Instruments - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,12.74%,,Texas Instruments - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Texas Instruments - Rating: 135% - Upside: -11%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       54.34,,,12/29/2014,,12/29/2014,,,,,3.02%,$             54.34,1.64,75.34,49.93,61.00,17%,39%,2.18%,3.28%,9.24%,414.19%,431.85%,9.6,2.69%,0.00%,,1997,0.00,-,135,,,0,1.77%,10,10,0.38%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       53.77,,,1/5/2015,,1/5/2015,,,,,3.05%,$             53.77,1.64,75.34,49.93,61.00,15%,40%,2.18%,3.28%,9.34%,419.64%,437.49%,9.6,2.69%,-1.05%,,1998,0.00,,-11,,,1,1.80%,11,21,0.41%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       53.42,,,1/12/2015,,1/12/2015,,,,,3.07%,$             53.42,1.64,75.34,49.93,61.00,14%,41%,2.18%,3.28%,9.40%,423.04%,441.01%,9.6,2.69%,-1.69%,,1999,0.00,,,,,2,1.83%,6,27,0.23%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                        51.70,,,1/20/2015,,1/20/2015,,,,,3.17%,$              51.70,1.64,75.34,49.93,61.00,7%,46%,2.18%,3.28%,9.71%,440.44%,459.01%,9.6,2.69%,-4.86%,,2000,0.00,,1/1/1970,1970,,3,1.86%,5,32,0.19%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       50.36,,,1/26/2015,,1/26/2015,,,,,3.26%,$             50.36,1.64,75.34,49.93,61.00,2%,50%,2.18%,3.28%,9.97%,454.83%,473.89%,9.6,2.69%,-7.32%,,2001,0.00,,1/1/1971,1971,,4,1.89%,8,40,0.30%
