,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,UMBF US,UMB Financial Corp,,,,,,,,,,131%,-13%,$     140.97,$          60.40,$          93.39,$           148.02,$         122.01,2.94%,1.25%,1.71%,3.74%,244.42%,255.19%,142%,,,,,,,NO,,,2.84%,1.07%,1.77%,0.03%,59
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,UMB Financial Corp - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.53%,11/10/2017,,,,,,,,,,$          93.39,-34%,1.09%,$         122.01,$          60.43,$             40.93,$          39.08,1.03%,2.53%,1.64%,1.03%,-4.76%,-4.76%,-14%,,,,5Y CAGR,2.09%,,UMB Financial Corp - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.45%,,UMB Financial Corp - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,UMB Financial Corp - Rating: 131% - Upside: -13%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       45.39,,,12/29/2014,,12/29/2014,,,,,2.18%,$             45.39,0.99,78.95,39.08,60.43,16%,74%,1.25%,2.53%,3.37%,210.58%,220.29%,4.41,1.64%,0.00%,,1997,0.00,-,131,,,0,1.07%,9,9,0.34%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                        45.21,,,1/5/2015,,1/5/2015,,,,,2.19%,$              45.21,0.99,78.95,39.08,60.43,15%,75%,1.25%,2.53%,3.38%,211.81%,221.57%,4.41,1.64%,-0.40%,,1998,0.00,,-13,,,1,1.10%,3,12,0.11%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       45.09,,,1/12/2015,,1/12/2015,,,,,2.20%,$             45.09,0.99,78.95,39.08,60.43,15%,75%,1.25%,2.53%,3.39%,212.64%,222.42%,4.41,1.64%,-0.66%,,1999,0.00,,,,,2,1.13%,11,23,0.41%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       43.68,,,1/20/2015,,1/20/2015,,,,,2.27%,$             43.68,0.99,78.95,39.08,60.43,12%,81%,1.25%,2.53%,3.50%,222.73%,232.83%,4.41,1.64%,-3.77%,,2000,0.00,,1/1/1970,1970,,3,1.16%,20,43,0.75%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                        43.18,,,1/26/2015,,1/26/2015,,,,,2.29%,$              43.18,0.99,78.95,39.08,60.43,10%,83%,1.25%,2.53%,3.54%,226.47%,236.68%,4.41,1.64%,-4.87%,,2001,0.00,,1/1/1971,1971,,4,1.19%,24,67,0.90%
