,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,UNH US,UnitedHealth,,,,,,,,,,28%,64%,$     417.64,$        315.03,$       542.26,$          625.25,$       683.67,3.53%,1.23%,1.65%,6.67%,282.35%,294.10%,120%,,,,,,,NO,,,3.15%,1.16%,1.99%,0.03%,66
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,4.84%,,UnitedHealth - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.67%,11/10/2017,,,,,,,,,,$       542.26,30%,2.01%,$       683.67,$        153.32,$           109.23,$          89.07,1.11%,2.67%,1.55%,1.17%,-33.20%,-33.20%,-21%,,,,5Y CAGR,8.45%,,UnitedHealth - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,13.46%,,UnitedHealth - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,UnitedHealth - Rating: 28% - Upside: 64%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                      116.46,,,12/29/2014,,12/29/2014,,,,,2.04%,$            116.46,2.38,193.30,89.07,153.32,26%,66%,1.23%,2.67%,6.26%,258.61%,269.64%,12.84,1.55%,0.00%,,1997,0.00,-,28,,,0,1.16%,35,35,1.32%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                      116.68,,,1/5/2015,,1/5/2015,,,,,2.04%,$            116.68,2.38,193.30,89.07,153.32,26%,66%,1.23%,2.67%,6.25%,257.94%,268.94%,12.84,1.55%,0.00%,,1998,0.00,,64,,,1,1.19%,56,91,2.11%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                      115.49,,,1/12/2015,,1/12/2015,,,,,2.06%,$            115.49,2.38,193.30,89.07,153.32,25%,67%,1.23%,2.67%,6.31%,261.62%,272.74%,12.84,1.55%,-1.02%,,1999,0.00,,,,,2,1.22%,77,168,2.90%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                      112.09,,,1/20/2015,,1/20/2015,,,,,2.12%,$            112.09,2.38,193.30,89.07,153.32,22%,72%,1.23%,2.67%,6.50%,272.59%,284.05%,12.84,1.55%,-3.93%,,2000,0.00,,1/1/1970,1970,,3,1.25%,52,220,1.96%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       110.16,,,1/26/2015,,1/26/2015,,,,,2.16%,$             110.16,2.38,193.30,89.07,153.32,20%,75%,1.23%,2.67%,6.62%,279.12%,290.78%,12.84,1.55%,-5.59%,,2001,0.00,,1/1/1971,1971,,4,1.28%,85,305,3.20%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                     109.58,,,2/2/2015,,2/2/2015,,,,,2.17%,$           109.58,2.38,193.30,89.07,153.32,20%,76%,1.23%,2.67%,6.65%,281.13%,292.85%,12.84,1.55%,-6.09%,,2002,0.01,,1/1/1972,1972,,5,1.31%,92,397,3.47%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                      112.26,,,2/9/2015,,2/9/2015,,,,,2.12%,$            112.26,2.38,193.30,89.07,153.32,22%,72%,1.23%,2.67%,6.49%,272.03%,283.47%,12.84,1.55%,-3.79%,,2003,0.01,0.00%,1/1/1973,1973,,6,1.34%,157,554,5.91%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                     109.23,,,2/17/2015,,2/17/2015,,,,,2.17%,$           109.23,2.38,193.30,89.07,153.32,19%,77%,1.23%,2.67%,6.67%,282.35%,294.10%,12.84,1.55%,-6.38%,,2004,0.02,100.00%,1/1/1974,1974,,7,1.37%,134,688,5.05%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                      110.76,,,2/23/2015,,2/23/2015,,,,,2.14%,$            110.76,2.38,193.30,89.07,153.32,21%,75%,1.23%,2.67%,6.58%,277.07%,288.66%,12.84,1.55%,-5.07%,,2005,0.02,0.00%,1/1/1975,1975,,8,1.40%,122,810,4.60%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                     109.27,,,3/2/2015,,3/2/2015,,,,,2.17%,$           109.27,2.38,193.30,89.07,153.32,19%,77%,1.23%,2.67%,6.67%,282.21%,293.96%,12.84,1.55%,-6.35%,,2006,0.03,100.00%,1/1/1976,1976,,9,1.43%,108,918,4.07%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                      112.58,,,3/9/2015,,3/9/2015,,,,,2.11%,$            112.58,2.38,193.30,89.07,153.32,23%,72%,1.23%,2.67%,6.48%,270.97%,282.38%,12.84,1.55%,-3.51%,,2007,0.03,0.00%,1/1/1977,1977,,10,1.46%,125,1043,4.71%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                      114.79,,,3/16/2015,,3/16/2015,,,,,2.07%,$            114.79,2.38,193.30,89.07,153.32,25%,68%,1.23%,2.67%,6.35%,263.83%,275.02%,12.84,1.55%,-1.62%,,2008,0.03,0.00%,1/1/1978,1978,,11,1.49%,128,1171,4.82%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                      113.50,,,3/23/2015,,3/23/2015,,,,,2.09%,$            113.50,2.38,193.30,89.07,153.32,23%,70%,1.23%,2.67%,6.42%,267.96%,279.28%,12.84,1.55%,-2.73%,,2009,0.03,0.00%,1/1/1979,1979,,12,1.52%,130,1301,4.90%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                      114.33,,,3/30/2015,,3/30/2015,,,,,2.08%,$            114.33,2.38,193.30,89.07,153.32,24%,69%,1.23%,2.67%,6.38%,265.29%,276.52%,12.84,1.55%,-2.01%,,2010,0.41,1250.00%,1/1/1980,1980,,13,1.55%,113,1414,4.26%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                      113.38,,,4/6/2015,,4/6/2015,,,,,2.09%,$            113.38,2.38,193.30,89.07,153.32,23%,70%,1.23%,2.67%,6.43%,268.35%,279.68%,12.84,1.55%,-2.83%,,2011,0.61,51.23%,1/1/1981,1981,,14,1.58%,110,1524,4.14%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                      113.96,,,4/13/2015,,4/13/2015,,,,,2.08%,$            113.96,2.38,193.30,89.07,153.32,24%,70%,1.23%,2.67%,6.40%,266.48%,277.75%,12.84,1.55%,-2.33%,,2012,0.80,30.61%,1/1/1982,1982,,15,1.61%,87,1611,3.28%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                      112.33,,,4/20/2015,,4/20/2015,,,,,2.11%,$            112.33,2.38,193.30,89.07,153.32,22%,72%,1.23%,2.67%,6.49%,271.80%,283.23%,12.84,1.55%,-3.73%,,2013,1.05,31.56%,1/1/1983,1983,,16,1.64%,130,1741,4.90%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                       111.38,,,4/27/2015,,4/27/2015,,,,,2.13%,$             111.38,2.38,193.30,89.07,153.32,21%,74%,1.23%,2.67%,6.55%,274.97%,286.50%,12.84,1.55%,-4.54%,,2014,1.41,33.49%,1/1/1984,1984,,17,1.67%,161,1902,6.06%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                       115.16,,,5/4/2015,,5/4/2015,,,,,2.06%,$             115.16,2.38,193.30,89.07,153.32,25%,68%,1.23%,2.67%,6.33%,262.66%,273.81%,12.84,1.55%,-1.30%,,2015,1.88,33.45%,1/1/1985,1985,,18,1.70%,101,2003,3.80%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,$                                                      115.89,,,5/11/2015,,5/11/2015,,,,,2.05%,$            115.89,2.38,193.30,89.07,153.32,26%,67%,1.23%,2.67%,6.29%,260.38%,271.46%,12.84,1.55%,-0.68%,,2016,2.38,26.67%,1/1/1986,1986,,19,1.73%,68,2071,2.56%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,$                                                      113.88,,,5/18/2015,,5/18/2015,,,,,2.09%,$            113.88,2.38,193.30,89.07,153.32,24%,70%,1.23%,2.67%,6.40%,266.74%,278.01%,12.84,1.55%,-2.40%,,2017,2.88,21.05%,1/1/1987,1987,,20,1.76%,69,2140,2.60%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,$                                                      112.75,,,5/26/2015,,5/26/2015,,,,,2.11%,$            112.75,2.38,193.30,89.07,153.32,23%,71%,1.23%,2.67%,6.47%,270.41%,281.80%,12.84,1.55%,-3.37%,,2018,3.45,20.00%,1/1/1988,1988,,21,1.79%,47,2187,1.77%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,$                                                      114.20,,,6/1/2015,,6/1/2015,,,,,2.08%,$            114.20,2.38,193.30,89.07,153.32,24%,69%,1.23%,2.67%,6.38%,265.71%,276.95%,12.84,1.55%,-2.13%,,2019,4.14,20.00%,1/1/1989,1989,,22,1.82%,29,2216,1.09%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,$                                                       111.72,,,6/8/2015,,6/8/2015,,,,,2.13%,$             111.72,2.38,193.30,89.07,153.32,22%,73%,1.23%,2.67%,6.53%,273.83%,285.32%,12.84,1.55%,-4.25%,,2020,4.83,16.67%,1/1/1990,1990,,23,1.85%,25,2241,0.94%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,$                                                      110.02,,,6/15/2015,,6/15/2015,,,,,2.16%,$            110.02,2.38,193.30,89.07,153.32,20%,76%,1.23%,2.67%,6.63%,279.60%,291.27%,12.84,1.55%,-5.71%,,2021,5.60,15.94%,1/1/1991,1991,,24,1.88%,14,2255,0.53%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,$                                                        111.16,,,6/22/2015,,6/22/2015,,,,,2.14%,$              111.16,2.38,193.30,89.07,153.32,21%,74%,1.23%,2.67%,6.56%,275.71%,287.26%,12.84,1.55%,-4.73%,,2022,6.40,14.29%,1/1/1992,1992,,25,1.91%,9,2264,0.34%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,$                                                      112.74,,,6/29/2015,,6/29/2015,,,,,2.11%,$            112.74,2.38,193.30,89.07,153.32,23%,71%,1.23%,2.67%,6.47%,270.45%,281.83%,12.84,1.55%,-3.38%,,2023,7.29,13.91%,1/1/1993,1993,,26,1.94%,21,2285,0.79%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,$                                                      110.62,,,7/6/2015,,7/6/2015,,,,,2.15%,$            110.62,2.38,193.30,89.07,153.32,21%,75%,1.23%,2.67%,6.59%,277.54%,289.15%,12.84,1.55%,-5.19%,,2024,8.18,12.21%,1/1/1994,1994,,27,1.97%,16,2301,0.60%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,$                                                       111.82,,,7/13/2015,,7/13/2015,,,,,2.12%,$             111.82,2.38,193.30,89.07,153.32,22%,73%,1.23%,2.67%,6.52%,273.49%,284.98%,12.84,1.55%,-4.17%,,2025,8.40,2.69%,1/1/1995,1995,,28,2.00%,12,2313,0.45%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,$                                                       115.15,,,7/20/2015,,7/20/2015,,,,,2.06%,$             115.15,2.38,193.30,89.07,153.32,25%,68%,1.23%,2.67%,6.33%,262.69%,273.84%,12.84,1.55%,-1.31%,,2026,8.40,0.00%,1/1/1996,1996,,29,2.03%,11,2324,0.41%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,$                                                      118.30,,,7/27/2015,,7/27/2015,,,,,2.01%,$            118.30,2.38,193.30,89.07,153.32,28%,63%,1.23%,2.67%,6.16%,253.03%,263.89%,12.84,1.55%,0.00%,,,,,1/1/1997,1997,,30,2.06%,15,2339,0.56%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,$                                                      117.45,,,8/3/2015,,8/3/2015,,,,,2.02%,$            117.45,2.38,193.30,89.07,153.32,27%,65%,1.23%,2.67%,6.21%,255.59%,266.52%,12.84,1.55%,-0.72%,,,,,1/1/1998,1998,,31,2.09%,15,2354,0.56%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,$                                                      117.68,,,8/10/2015,,8/10/2015,,,,,2.02%,$            117.68,2.38,193.30,89.07,153.32,27%,64%,1.23%,2.67%,6.19%,254.89%,265.81%,12.84,1.55%,-0.52%,,,,,1/1/1999,1999,,32,2.12%,12,2366,0.45%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,$                                                      121.27,,,8/17/2015,,8/17/2015,,,,,1.96%,$            121.27,2.38,193.30,89.07,153.32,31%,59%,1.23%,2.67%,6.01%,244.39%,254.98%,12.84,1.55%,0.00%,,,,,1/1/2000,2000,,33,2.15%,9,2375,0.34%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,$                                                       121.15,,,8/24/2015,,8/24/2015,,,,,1.96%,$             121.15,2.38,193.30,89.07,153.32,31%,60%,1.23%,2.67%,6.02%,244.73%,255.33%,12.84,1.55%,-0.10%,,,,,1/1/2001,2001,,34,2.18%,9,2384,0.34%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,$                                                     120.20,,,8/31/2015,,8/31/2015,,,,,1.98%,$           120.20,2.38,193.30,89.07,153.32,30%,61%,1.23%,2.67%,6.06%,247.45%,258.14%,12.84,1.55%,-0.88%,,,,,1/1/2002,2002,,35,2.21%,8,2392,0.30%
,,,,,,,,,,,,,,,,,,2016,2/25/2016,$                                                      121.20,,,9/8/2015,,9/8/2015,,,,,1.96%,$            121.20,2.38,193.30,89.07,153.32,31%,59%,1.23%,2.67%,6.01%,244.59%,255.18%,12.84,1.55%,-0.06%,,,,,1/1/2003,2003,,36,2.24%,3,2395,0.11%
,,,,,,,,,,,,,,,,,,2016,2/26/2016,$                                                      121.33,,,9/14/2015,,9/14/2015,,,,,1.96%,$            121.33,2.38,193.30,89.07,153.32,31%,59%,1.23%,2.67%,6.01%,244.22%,254.80%,12.84,1.55%,0.00%,,,,,1/1/2004,2004,,37,2.27%,8,2403,0.30%
,,,,,,,,,,,,,,,,,,2016,2/29/2016,$                                                       119.10,,,9/21/2015,,9/21/2015,,,,,1.99%,$             119.10,2.38,193.30,89.07,153.32,29%,62%,1.23%,2.67%,6.12%,250.66%,261.44%,12.84,1.55%,-1.84%,,,,,1/1/2005,2005,,38,2.30%,7,2410,0.26%
,,,,,,,,,,,,,,,,,,2016,3/1/2016,$                                                      121.67,,,9/28/2015,,9/28/2015,,,,,1.95%,$            121.67,2.38,193.30,89.07,153.32,31%,59%,1.23%,2.67%,5.99%,243.26%,253.81%,12.84,1.55%,0.00%,,,,,1/1/2006,2006,,39,2.33%,8,2418,0.30%
,,,,,,,,,,,,,,,,,,2016,3/2/2016,$                                                      121.27,,,10/5/2015,,10/5/2015,,,,,1.96%,$            121.27,2.38,193.30,89.07,153.32,31%,59%,1.23%,2.67%,6.01%,244.39%,254.98%,12.84,1.55%,-0.33%,,,,,1/1/2007,2007,,40,2.36%,11,2429,0.41%
,,,,,,,,,,,,,,,,,,2016,3/3/2016,$                                                      121.82,,,10/12/2015,,10/12/2015,,,,,1.95%,$            121.82,2.38,193.30,89.07,153.32,31%,59%,1.23%,2.67%,5.98%,242.83%,253.37%,12.84,1.55%,0.00%,,,,,1/1/2008,2008,,41,2.39%,8,2437,0.30%
,,,,,,,,,,,,,,,,,,2016,3/4/2016,$                                                      121.80,,,10/19/2015,,10/19/2015,,,,,1.95%,$            121.80,2.38,193.30,89.07,153.32,31%,59%,1.23%,2.67%,5.99%,242.89%,253.43%,12.84,1.55%,-0.02%,,,,,1/1/2009,2009,,42,2.42%,9,2446,0.34%
,,,,,,,,,,,,,,,,,,2016,3/7/2016,$                                                      121.76,,,10/26/2015,,10/26/2015,,,,,1.95%,$            121.76,2.38,193.30,89.07,153.32,31%,59%,1.23%,2.67%,5.99%,243.00%,253.55%,12.84,1.55%,-0.05%,,,,,1/1/2010,2010,,43,2.45%,10,2456,0.38%
,,,,,,,,,,,,,,,,,,2016,3/8/2016,$                                                      121.66,,,11/2/2015,,11/2/2015,,,,,1.95%,$            121.66,2.38,193.30,89.07,153.32,31%,59%,1.23%,2.67%,5.99%,243.28%,253.84%,12.84,1.55%,-0.13%,,,,,1/1/2011,2011,,44,2.48%,7,2463,0.26%
,,,,,,,,,,,,,,,,,,2016,3/9/2016,$                                                       121.10,,,11/9/2015,,11/9/2015,,,,,1.96%,$             121.10,2.38,193.30,89.07,153.32,31%,60%,1.23%,2.67%,6.02%,244.87%,255.47%,12.84,1.55%,-0.59%,,,,,1/1/2012,2012,,45,2.51%,10,2473,0.38%
,,,,,,,,,,,,,,,,,,2016,3/10/2016,$                                                     122.09,,,11/16/2015,,11/16/2015,,,,,1.95%,$           122.09,2.38,193.30,89.07,153.32,32%,58%,1.23%,2.67%,5.97%,242.08%,252.59%,12.84,1.55%,0.00%,,,,,1/1/2013,2013,,46,2.54%,13,2486,0.49%
,,,,,,,,,,,,,,,,,,2016,3/11/2016,$                                                      125.10,,,11/23/2015,,11/23/2015,,,,,1.90%,$            125.10,2.38,193.30,89.07,153.32,35%,55%,1.23%,2.67%,5.83%,233.84%,244.11%,12.84,1.55%,0.00%,,,,,1/1/2014,2014,,47,2.57%,10,2496,0.38%
,,,,,,,,,,,,,,,,,,2016,3/14/2016,$                                                     125.22,,,11/30/2015,,11/30/2015,,,,,1.90%,$           125.22,2.38,193.30,89.07,153.32,35%,54%,1.23%,2.67%,5.82%,233.52%,243.78%,12.84,1.55%,0.00%,,,,,1/1/2015,2015,,48,2.60%,8,2504,0.30%
,,,,,,,,,,,,,,,,,,2016,3/15/2016,$                                                     124.85,,,12/7/2015,,12/7/2015,,,,,1.90%,$           124.85,2.38,193.30,89.07,153.32,34%,55%,1.23%,2.67%,5.84%,234.51%,244.80%,12.84,1.55%,-0.30%,,,,,1/1/2016,2016,,49,2.63%,3,2507,0.11%
,,,,,,,,,,,,,,,,,,2016,3/16/2016,$                                                     124.90,,,12/14/2015,,12/14/2015,,,,,1.90%,$           124.90,2.38,193.30,89.07,153.32,34%,55%,1.23%,2.67%,5.84%,234.38%,244.66%,12.84,1.55%,-0.26%,,,,,1/1/2017,2017,,50,2.66%,7,2514,0.26%
,,,,,,,,,,,,,,,,,,2016,3/17/2016,$                                                     124.53,,,12/21/2015,,12/21/2015,,,,,1.91%,$           124.53,2.38,193.30,89.07,153.32,34%,55%,1.23%,2.67%,5.85%,235.37%,245.68%,12.84,1.55%,-0.55%,,,,,1/1/2018,2018,,51,2.69%,6,2520,0.23%
,,,,,,,,,,,,,,,,,,2016,3/18/2016,$                                                     126.72,,,12/28/2015,,12/28/2015,,,,,1.87%,$           126.72,2.38,193.30,89.07,153.32,36%,53%,1.23%,2.67%,5.75%,229.58%,239.71%,12.84,1.55%,0.00%,,,,,1/1/2019,2019,,52,2.72%,16,2536,0.60%
,,,,,,,,,,,,,,,,,,2016,3/21/2016,$                                                     126.74,,,1/4/2016,,1/4/2016,,,,,1.87%,$           126.74,2.38,193.30,89.07,153.32,36%,53%,1.23%,2.67%,5.75%,229.53%,239.66%,12.84,1.55%,0.00%,,,,,1/1/2020,2020,,53,2.75%,16,2552,0.60%
