,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,UPM FH,UPM-Kymmene Oyj,,,,,,,,,,-3%,77%,$       23.24,$          23.70,$          33.26,$             36.95,$           41.06,6.86%,3.65%,4.69%,10.89%,68.77%,98.91%,132%,,,,,,,NO,,,6.68%,3.35%,3.33%,0.05%,67
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,UPM-Kymmene Oyj - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,6.33%,11/10/2017,,,,,,,,,,$          33.26,43%,6.45%,$           41.06,$           16.63,$              13.77,$            11.85,3.21%,6.33%,4.51%,4.06%,-37.10%,-37.10%,-11%,,,,5Y CAGR,2.90%,,UPM-Kymmene Oyj - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,7.18%,,UPM-Kymmene Oyj - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,UPM-Kymmene Oyj - Rating: -3% - Upside: 77%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                         16.71,,,12/29/2014,,12/29/2014,,,,,4.49%,€                 16.71,0.75,20.53,11.85,16.63,56%,23%,3.65%,6.33%,8.98%,39.08%,63.91%,4.15,4.51%,0.00%,,1997,0.00,-,-3,,,0,3.35%,7,7,0.26%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                          16.63,,,1/5/2015,,1/5/2015,,,,,4.51%,€                16.63,0.75,20.53,11.85,16.63,55%,23%,3.65%,6.33%,9.02%,39.75%,64.70%,4.15,4.51%,-0.48%,,1998,0.00,,77,,,1,3.40%,12,19,0.45%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                            16.11,,,1/12/2015,,1/12/2015,,,,,4.66%,€                  16.11,0.75,20.53,11.85,16.63,49%,27%,3.65%,6.33%,9.31%,44.26%,70.02%,4.15,4.51%,-3.59%,,1999,0.00,,,,,2,3.45%,19,38,0.72%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                           16.15,,,1/19/2015,,1/20/2015,,,,,4.64%,€                 16.15,0.75,20.53,11.85,16.63,50%,27%,3.65%,6.33%,9.29%,43.90%,69.60%,4.15,4.51%,-3.35%,,2000,0.00,,1/1/1970,1970,,3,3.50%,19,57,0.72%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                          16.56,,,1/26/2015,,1/26/2015,,,,,4.53%,€                16.56,0.75,20.53,11.85,16.63,54%,24%,3.65%,6.33%,9.06%,40.34%,65.40%,4.15,4.51%,-0.90%,,2001,0.00,,1/1/1971,1971,,4,3.55%,25,82,0.94%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,€                                                          16.69,,,2/2/2015,,2/2/2015,,,,,4.49%,€                16.69,0.75,20.53,11.85,16.63,56%,23%,3.65%,6.33%,8.99%,39.25%,64.11%,4.15,4.51%,-0.12%,,2002,1.50,,1/1/1972,1972,,5,3.60%,38,120,1.43%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,€                                                          16.83,,,2/9/2015,,2/9/2015,,,,,4.46%,€                16.83,0.75,20.53,11.85,16.63,57%,22%,3.65%,6.33%,8.91%,38.09%,62.75%,4.15,4.51%,0.00%,,2003,1.50,0.00%,1/1/1973,1973,,6,3.65%,44,164,1.66%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,€                                                          15.28,,,2/16/2015,,2/17/2015,,,,,4.91%,€                15.28,0.75,20.53,11.85,16.63,40%,34%,3.65%,6.33%,9.82%,52.09%,79.25%,4.15,4.51%,-9.21%,,2004,0.75,-50.00%,1/1/1974,1974,,7,3.70%,84,248,3.17%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,€                                                          14.67,,,2/23/2015,,2/23/2015,,,,,5.11%,€                14.67,0.75,20.53,11.85,16.63,32%,40%,3.65%,6.33%,10.22%,58.42%,86.71%,4.15,4.51%,-12.83%,,2005,0.75,0.00%,1/1/1975,1975,,8,3.75%,86,334,3.24%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,€                                                          14.58,,,3/2/2015,,3/2/2015,,,,,5.14%,€                14.58,0.75,20.53,11.85,16.63,31%,41%,3.65%,6.33%,10.29%,59.40%,87.86%,4.15,4.51%,-13.37%,,2006,0.75,0.00%,1/1/1976,1976,,9,3.80%,57,391,2.15%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,€                                                          14.87,,,3/9/2015,,3/9/2015,,,,,5.04%,€                14.87,0.75,20.53,11.85,16.63,35%,38%,3.65%,6.33%,10.09%,56.29%,84.20%,4.15,4.51%,-11.65%,,2007,0.75,0.00%,1/1/1977,1977,,10,3.85%,46,437,1.73%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,€                                                          14.34,,,3/16/2015,,3/16/2015,,,,,5.23%,€                14.34,0.75,20.53,11.85,16.63,29%,43%,3.65%,6.33%,10.46%,62.06%,91.00%,4.15,4.51%,-14.80%,,2008,0.75,0.00%,1/1/1978,1978,,11,3.90%,67,504,2.52%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,€                                                          14.69,,,3/23/2015,,3/23/2015,,,,,5.11%,€                14.69,0.75,20.53,11.85,16.63,33%,40%,3.65%,6.33%,10.21%,58.20%,86.45%,4.15,4.51%,-12.72%,,2009,0.40,-46.67%,1/1/1979,1979,,12,3.95%,95,599,3.58%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,€                                                          14.94,,,3/30/2015,,3/30/2015,,,,,5.02%,€                14.94,0.75,20.53,11.85,16.63,36%,37%,3.65%,6.33%,10.04%,55.56%,83.33%,4.15,4.51%,-11.23%,,2010,0.45,12.50%,1/1/1980,1980,,13,4.00%,80,679,3.01%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,€                                                          14.82,,,4/7/2015,,4/6/2015,,,,,5.06%,€                14.82,0.75,20.53,11.85,16.63,34%,39%,3.65%,6.33%,10.12%,56.82%,84.82%,4.15,4.51%,-11.94%,,2011,0.55,22.22%,1/1/1981,1981,,14,4.05%,72,751,2.71%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,€                                                          15.00,,,4/13/2015,,4/13/2015,,,,,5.00%,€                15.00,0.75,20.53,11.85,16.63,36%,37%,3.65%,6.33%,10.00%,54.93%,82.60%,4.15,4.51%,-10.87%,,2012,0.60,9.09%,1/1/1982,1982,,15,4.10%,62,813,2.34%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,€                                                          15.05,,,4/20/2015,,4/20/2015,,,,,4.98%,€                15.05,0.75,20.53,11.85,16.63,37%,36%,3.65%,6.33%,9.97%,54.42%,81.99%,4.15,4.51%,-10.58%,,2013,0.60,0.00%,1/1/1983,1983,,16,4.15%,95,908,3.58%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,€                                                           14.91,,,4/27/2015,,4/27/2015,,,,,5.03%,€                 14.91,0.75,20.53,11.85,16.63,35%,38%,3.65%,6.33%,10.06%,55.87%,83.70%,4.15,4.51%,-11.41%,,2014,0.60,0.00%,1/1/1984,1984,,17,4.20%,79,987,2.98%
