,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,UPONOR FH,Uponor Oyj,,,,,,,,,,98%,1%,$       28.60,$           12.67,$          20.56,$             29.32,$          28.88,7.64%,2.39%,3.59%,9.94%,312.10%,312.10%,133%,,,,,,,NO,,,6.63%,2.09%,4.54%,0.10%,45
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Uponor Oyj - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.45%,11/10/2017,,,,,,,,,,$          20.56,-28%,2.41%,$          28.88,$             13.11,$                6.94,$             8.08,2.01%,5.45%,3.36%,2.35%,-2.46%,-2.46%,-22%,,,,5Y CAGR,3.90%,,Uponor Oyj - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.60%,,Uponor Oyj - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Uponor Oyj - Rating: 98% - Upside: 1%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                        12.92,,,12/29/2014,,12/29/2014,,,,,3.41%,€                12.92,0.44,18.42,8.08,13.11,47%,43%,2.39%,5.45%,5.34%,121.36%,136.07%,1.9,3.36%,0.00%,,1997,0.00,-,98,,,0,2.09%,29,29,1.38%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                           13.10,,,1/5/2015,,1/5/2015,,,,,3.36%,€                 13.10,0.44,18.42,8.08,13.11,49%,41%,2.39%,5.45%,5.27%,118.32%,132.82%,1.9,3.36%,0.00%,,1998,0.00,,1,,,1,2.19%,19,48,0.91%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                          13.05,,,1/12/2015,,1/12/2015,,,,,3.37%,€                13.05,0.44,18.42,8.08,13.11,48%,41%,2.39%,5.45%,5.29%,119.16%,133.72%,1.9,3.36%,-0.38%,,1999,0.00,,,,,2,2.29%,73,121,3.48%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                          12.87,,,1/19/2015,,1/20/2015,,,,,3.42%,€                12.87,0.44,18.42,8.08,13.11,46%,43%,2.39%,5.45%,5.36%,122.22%,136.99%,1.9,3.36%,-1.76%,,2000,0.00,,1/1/1970,1970,,3,2.39%,216,337,10.31%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,€                                                          12.76,,,1/26/2015,,1/26/2015,,,,,3.45%,€                12.76,0.44,18.42,8.08,13.11,45%,44%,2.39%,5.45%,5.41%,124.14%,139.03%,1.9,3.36%,-2.60%,,2001,0.00,,1/1/1971,1971,,4,2.49%,25,362,1.19%
