,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,UU/ LN,United Utilities Group PLC,,,,,,,,,,129%,-8%,$ 1.366,00,$       856.03,$   1.055,20,$       1.457,00,$   1.250,00,6.14%,3.75%,4.51%,7.15%,108.23%,120.73%,153%,,,,,,,NO,,,6.01%,3.40%,2.62%,0.04%,65
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,United Utilities Group PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.48%,11/10/2017,,,,,,,,,,$   1.055,20,-23%,3.44%,$   1.250,00,$       867.68,$          656.00,$        703.91,3.22%,5.48%,4.45%,3.22%,-6.25%,-6.25%,-23%,,,,5Y CAGR,1.61%,,United Utilities Group PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,1.98%,,United Utilities Group PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,United Utilities Group PLC - Rating: 129% - Upside: -8%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                    933.00,,,12/29/2014,,12/29/2014,,,,,4.14%,933.00,38.59,1.027,86,703.91,867.68,71%,10%,3.75%,5.48%,5.03%,46.41%,63.53%,159.72,4.45%,0.00%,,1997,0.00,-,129,,,0,3.40%,11,11,0.41%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,940.50,,,1/5/2015,,1/5/2015,,,,,4.10%,940.50,38.59,1.027,86,703.91,867.68,73%,9%,3.75%,5.48%,4.99%,45.24%,62.22%,159.72,4.45%,0.00%,,1998,0.00,,-8,,,1,3.44%,28,39,1.04%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,936.00,,,1/12/2015,,1/12/2015,,,,,4.12%,936.00,38.59,1.027,86,703.91,867.68,72%,10%,3.75%,5.48%,5.01%,45.94%,63.00%,159.72,4.45%,-0.48%,,1999,0.00,,,,,2,3.48%,21,60,0.78%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,930.50,,,1/19/2015,,1/20/2015,,,,,4.15%,930.50,38.59,1.027,86,703.91,867.68,70%,10%,3.75%,5.48%,5.04%,46.80%,63.97%,159.72,4.45%,-1.06%,,2000,0.00,,1/1/1970,1970,,3,3.52%,10,70,0.37%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,934.00,,,1/26/2015,,1/26/2015,,,,,4.13%,934.00,38.59,1.027,86,703.91,867.68,71%,10%,3.75%,5.48%,5.02%,46.25%,63.35%,159.72,4.45%,-0.69%,,2001,0.00,,1/1/1971,1971,,4,3.56%,14,84,0.52%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,936.50,,,2/2/2015,,2/2/2015,,,,,4.12%,936.50,38.59,1.027,86,703.91,867.68,72%,10%,3.75%,5.48%,5.01%,45.86%,62.92%,159.72,4.45%,-0.43%,,2002,47.20,,1/1/1972,1972,,5,3.60%,11,95,0.41%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,937.50,,,2/9/2015,,2/9/2015,,,,,4.12%,937.50,38.59,1.027,86,703.91,867.68,72%,10%,3.75%,5.48%,5.01%,45.71%,62.74%,159.72,4.45%,-0.32%,,2003,46.53,-1.42%,1/1/1973,1973,,6,3.64%,9,104,0.33%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,941.50,,,2/16/2015,,2/17/2015,,,,,4.10%,941.50,38.59,1.027,86,703.91,867.68,73%,9%,3.75%,5.48%,4.98%,45.09%,62.05%,159.72,4.45%,0.00%,,2004,44.67,-4.00%,1/1/1974,1974,,7,3.68%,4,108,0.15%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,923.50,,,2/23/2015,,2/23/2015,,,,,4.18%,923.50,38.59,1.027,86,703.91,867.68,68%,11%,3.75%,5.48%,5.08%,47.92%,65.21%,159.72,4.45%,-1.91%,,2005,44.92,0.56%,1/1/1975,1975,,8,3.72%,15,123,0.56%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,910.00,,,3/2/2015,,3/2/2015,,,,,4.24%,910.00,38.59,1.027,86,703.91,867.68,64%,13%,3.75%,5.48%,5.16%,50.11%,67.66%,159.72,4.45%,-3.35%,,2006,44.21,-1.58%,1/1/1976,1976,,9,3.76%,25,148,0.93%
