,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,V US,Visa Inc,,,,,,,,,,31%,28%,$    362.53,$         318.19,$        371.75,$           373.31,$       462.68,0.91%,0.58%,0.71%,2.76%,434.94%,439.67%,128%,,,,,,,NO,,,0.89%,0.55%,0.33%,0.01%,33
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,12.75%,,Visa Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,0.84%,11/10/2017,,,,,,,,,,$        371.75,3%,0.74%,$       462.68,$            81.15,$             67.77,$          69.46,0.53%,0.84%,0.72%,0.50%,-2.89%,-2.89%,-16%,,,,5Y CAGR,14.96%,,Visa Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,16.44%,,Visa Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Visa Inc - Rating: 31% - Upside: 28%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       75.70,,,12/29/2014,,12/29/2014,,,,,0.77%,$             75.70,0.59,101.00,69.46,81.15,20%,33%,0.58%,0.84%,2.47%,378.90%,383.14%,3.205,0.72%,0.00%,,1997,0.00,-,31,,,0,0.55%,20,20,0.75%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                       76.27,,,1/5/2015,,1/5/2015,,,,,0.77%,$             76.27,0.59,101.00,69.46,81.15,22%,32%,0.58%,0.84%,2.45%,375.32%,379.53%,3.205,0.72%,0.00%,,1998,0.00,,28,,,1,0.56%,34,54,1.28%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                       75.27,,,1/12/2015,,1/12/2015,,,,,0.78%,$             75.27,0.59,101.00,69.46,81.15,18%,34%,0.58%,0.84%,2.48%,381.64%,385.90%,3.205,0.72%,-1.31%,,1999,0.00,,,,,2,0.57%,91,145,3.43%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                       73.79,,,1/20/2015,,1/20/2015,,,,,0.79%,$             73.79,0.59,101.00,69.46,81.15,14%,37%,0.58%,0.84%,2.53%,391.30%,395.64%,3.205,0.72%,-3.25%,,2000,0.00,,1/1/1970,1970,,3,0.58%,103,248,3.88%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                       72.88,,,1/26/2015,,1/26/2015,,,,,0.80%,$             72.88,0.59,101.00,69.46,81.15,11%,39%,0.58%,0.84%,2.57%,397.43%,401.83%,3.205,0.72%,-4.44%,,2001,0.00,,1/1/1971,1971,,4,0.59%,92,340,3.47%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                       73.92,,,2/2/2015,,2/2/2015,,,,,0.79%,$             73.92,0.59,101.00,69.46,81.15,14%,37%,0.58%,0.84%,2.53%,390.44%,394.77%,3.205,0.72%,-3.08%,,2002,0.00,,1/1/1972,1972,,5,0.60%,74,414,2.79%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       74.76,,,2/9/2015,,2/9/2015,,,,,0.78%,$             74.76,0.59,101.00,69.46,81.15,17%,35%,0.58%,0.84%,2.50%,384.93%,389.21%,3.205,0.72%,-1.98%,,2003,0.00,,1/1/1973,1973,,6,0.61%,99,513,3.73%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                        73.10,,,2/17/2015,,2/17/2015,,,,,0.80%,$              73.10,0.59,101.00,69.46,81.15,12%,38%,0.58%,0.84%,2.56%,395.94%,400.32%,3.205,0.72%,-4.16%,,2004,0.00,,1/1/1974,1974,,7,0.62%,102,615,3.84%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       73.80,,,2/23/2015,,2/23/2015,,,,,0.79%,$             73.80,0.59,101.00,69.46,81.15,14%,37%,0.58%,0.84%,2.53%,391.23%,395.58%,3.205,0.72%,-3.24%,,2005,0.00,,1/1/1975,1975,,8,0.63%,67,682,2.52%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                        71.83,,,3/2/2015,,3/2/2015,,,,,0.81%,$              71.83,0.59,101.00,69.46,81.15,8%,41%,0.58%,0.84%,2.60%,404.71%,409.17%,3.205,0.72%,-5.82%,,2006,0.00,,1/1/1976,1976,,9,0.64%,66,748,2.49%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                        71.39,,,3/9/2015,,3/9/2015,,,,,0.82%,$              71.39,0.59,101.00,69.46,81.15,6%,41%,0.58%,0.84%,2.62%,407.82%,412.31%,3.205,0.72%,-6.40%,,2007,0.00,,1/1/1977,1977,,10,0.65%,62,810,2.34%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       70.68,,,3/16/2015,,3/16/2015,,,,,0.83%,$             70.68,0.59,101.00,69.46,81.15,4%,43%,0.58%,0.84%,2.65%,412.92%,417.45%,3.205,0.72%,-7.33%,,2008,0.05,,1/1/1978,1978,,11,0.66%,68,878,2.56%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                        71.56,,,3/23/2015,,3/23/2015,,,,,0.82%,$              71.56,0.59,101.00,69.46,81.15,7%,41%,0.58%,0.84%,2.61%,406.61%,411.09%,3.205,0.72%,-6.18%,,2009,0.11,109.52%,1/1/1979,1979,,12,0.67%,54,932,2.03%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       72.70,,,3/30/2015,,3/30/2015,,,,,0.80%,$             72.70,0.59,101.00,69.46,81.15,10%,39%,0.58%,0.84%,2.57%,398.67%,403.07%,3.205,0.72%,-4.68%,,2010,0.13,19.32%,1/1/1980,1980,,13,0.68%,58,990,2.18%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                        71.74,,,4/6/2015,,4/6/2015,,,,,0.82%,$              71.74,0.59,101.00,69.46,81.15,7%,41%,0.58%,0.84%,2.61%,405.34%,409.81%,3.205,0.72%,-5.94%,,2011,0.17,27.62%,1/1/1981,1981,,14,0.69%,82,1072,3.09%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                        71.88,,,4/13/2015,,4/13/2015,,,,,0.81%,$              71.88,0.59,101.00,69.46,81.15,8%,41%,0.58%,0.84%,2.60%,404.35%,408.81%,3.205,0.72%,-5.76%,,2012,0.25,47.76%,1/1/1982,1982,,15,0.70%,122,1194,4.60%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                        70.91,,,4/20/2015,,4/20/2015,,,,,0.82%,$              70.91,0.59,101.00,69.46,81.15,5%,42%,0.58%,0.84%,2.64%,411.25%,415.77%,3.205,0.72%,-7.03%,,2013,0.35,40.40%,1/1/1983,1983,,16,0.71%,125,1319,4.71%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,$                                                       69.33,,,4/27/2015,,4/27/2015,,,,,0.84%,$             69.33,0.59,101.00,69.46,81.15,0%,46%,0.58%,0.84%,2.70%,422.90%,427.53%,3.205,0.72%,-9.10%,,2014,0.42,20.86%,1/1/1984,1984,,17,0.72%,140,1459,5.27%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,$                                                       74.49,,,5/4/2015,,5/4/2015,,,,,0.79%,$             74.49,0.59,101.00,69.46,81.15,16%,36%,0.58%,0.84%,2.51%,386.68%,390.99%,3.205,0.72%,-2.33%,,2015,0.50,19.05%,1/1/1985,1985,,18,0.73%,126,1585,4.75%
