,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,VALE US,Vale,,,,,,,,,,,,$        14.78,$             8.08,$           36.17,$             22.94,$                   -,23.96%,0.00%,7.15%,56.26%,587.44%,632.53%,,,,,,,,NO,,,21.93%,0.00%,21.93%,0.01%,2193
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Vale - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,14.97%,11/10/2017,,,,,,,,,,$           16.20,10%,8.18%,,$                   -,$                 2.15,$                   -,0.00%,14.97%,7.47%,5.27%,-35.57%,-35.57%,,,,,5Y CAGR,-14.84%,,Vale - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,37.82%,,Vale - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                           3.16,,,12/29/2014,,12/29/2014,,,,,1.55%,$                 3.16,0.05,,0.33,0.66,,,0.00%,14.97%,38.28%,367.72%,398.40%,0.969431,7.47%,0.00%,,1997,0.00,-,,,,0,0.00%,252,252,9.49%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,$                                                           3.15,,,1/5/2015,,1/5/2015,,,,,1.55%,$                 3.15,0.05,,0.33,0.66,,,0.00%,14.97%,38.40%,369.21%,399.98%,0.969431,7.47%,-0.32%,,1998,0.00,,,,,1,0.01%,0,252,0.00%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,$                                                           2.91,,,1/12/2015,,1/12/2015,,,,,1.68%,$                 2.91,0.05,,0.33,0.66,,,0.00%,14.97%,41.57%,407.90%,441.22%,0.969431,7.47%,-7.91%,,1999,0.00,,,,,2,0.02%,0,252,0.00%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,$                                                           2.71,,,1/20/2015,,1/20/2015,,,,,1.81%,$                 2.71,0.05,,0.33,0.66,,,0.00%,14.97%,44.64%,445.39%,481.16%,0.969431,7.47%,-14.24%,,2000,0.00,,1/1/1970,1970,,3,0.03%,0,252,0.00%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,$                                                          2.60,,,1/26/2015,,1/26/2015,,,,,1.88%,$                2.60,0.05,,0.33,0.66,,,0.00%,14.97%,46.53%,468.46%,505.75%,0.969431,7.47%,-17.72%,,2001,0.00,,1/1/1971,1971,,4,0.04%,0,252,0.00%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,$                                                          2.54,,,2/2/2015,,2/2/2015,,,,,1.93%,$                2.54,0.05,,0.33,0.66,,,0.00%,14.97%,47.62%,481.89%,520.06%,0.969431,7.47%,-19.62%,,2002,0.06,,1/1/1972,1972,,5,0.05%,0,252,0.00%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                          2.37,,,2/9/2015,,2/9/2015,,,,,2.06%,$                2.37,0.05,,0.33,0.66,,,0.00%,14.97%,51.04%,523.63%,564.53%,0.969431,7.47%,-25.00%,,2003,0.15,147.88%,1/1/1973,1973,,6,0.06%,0,252,0.00%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                          2.23,,,2/17/2015,,2/17/2015,,,,,2.19%,$                2.23,0.05,,0.33,0.66,,,0.00%,14.97%,54.24%,562.78%,606.25%,0.969431,7.47%,-29.43%,,2004,0.17,15.89%,1/1/1974,1974,,7,0.07%,0,252,0.00%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                          2.44,,,2/23/2015,,2/23/2015,,,,,2.00%,$                2.44,0.05,,0.33,0.66,,,0.00%,14.97%,49.58%,505.74%,545.47%,0.969431,7.47%,-22.78%,,2005,0.28,67.45%,1/1/1975,1975,,8,0.08%,0,252,0.00%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                          2.37,,,3/2/2015,,3/2/2015,,,,,2.06%,$                2.37,0.05,,0.33,0.66,,,0.00%,14.97%,51.04%,523.63%,564.53%,0.969431,7.47%,-25.00%,,2006,0.27,-4.73%,1/1/1976,1976,,9,0.09%,0,252,0.00%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                          2.33,,,3/9/2015,,3/9/2015,,,,,2.10%,$                2.33,0.05,,0.33,0.66,,,0.00%,14.97%,51.92%,534.33%,575.94%,0.969431,7.47%,-26.27%,,2007,0.39,46.83%,1/1/1977,1977,,10,0.10%,0,252,0.00%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                          2.33,,,3/16/2015,,3/16/2015,,,,,2.10%,$                2.33,0.05,,0.33,0.66,,,0.00%,14.97%,51.92%,534.33%,575.94%,0.969431,7.47%,-26.27%,,2008,0.56,41.61%,1/1/1978,1978,,11,0.11%,0,252,0.00%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                          2.20,,,3/23/2015,,3/23/2015,,,,,2.22%,$                2.20,0.05,,0.33,0.66,,,0.00%,14.97%,54.98%,571.82%,615.88%,0.969431,7.47%,-30.38%,,2009,0.52,-7.12%,1/1/1979,1979,,12,0.12%,0,252,0.00%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                          2.27,,,3/30/2015,,3/30/2015,,,,,2.15%,$                2.27,0.05,,0.33,0.66,,,0.00%,14.97%,53.29%,551.10%,593.81%,0.969431,7.47%,-28.16%,,2010,0.57,9.34%,1/1/1980,1980,,13,0.13%,0,252,0.00%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                           2.15,,,4/6/2015,,4/6/2015,,,,,2.28%,$                 2.15,0.05,,0.33,0.66,,,0.00%,14.97%,56.26%,587.44%,632.53%,0.969431,7.47%,-31.96%,,2011,0.99,73.99%,1/1/1981,1981,,14,0.14%,0,252,0.00%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                          2.22,,,4/13/2015,,4/13/2015,,,,,2.20%,$                2.22,0.05,,0.33,0.66,,,0.00%,14.97%,54.49%,565.77%,609.43%,0.969431,7.47%,-29.75%,,2012,1.15,16.16%,1/1/1982,1982,,15,0.15%,0,252,0.00%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,$                                                           2.31,,,4/20/2015,,4/20/2015,,,,,2.12%,$                 2.31,0.05,,0.33,0.66,,,0.00%,14.97%,52.37%,539.83%,581.79%,0.969431,7.47%,-26.90%,,2013,0.86,-25.36%,1/1/1983,1983,,16,0.16%,0,252,0.00%
