,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,VICI US,VICI Properties Inc,,,,,,,,,,-6%,40%,$       26.75,$          27.34,$          32.37,$             35.53,$          37.48,11.21%,4.48%,5.26%,14.38%,138.84%,138.84%,,,,,,,,NO,,,8.51%,4.26%,4.24%,0.10%,42
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,1.38%,,VICI Properties Inc - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,$          32.37,21%,6.27%,$          37.48,$           19.25,$               11.20,$           16.25,4.16%,6.14%,5.18%,4.53%,-24.71%,-24.71%,,,,,5Y CAGR,3.98%,,VICI Properties Inc - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,,,VICI Properties Inc - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,VICI Properties Inc - Rating: -6% - Upside: 40%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2017,12/1/2017,$                                                        19.78,,,12/1/2017,,12/29/2014,,,,,,$              19.78,#N/A,,,,,,4.48%,6.14%,8.14%,35.24%,46.20%,2.1675,5.18%,0.00%,,1997,0.00,-,-6,,,0,4.26%,31,31,1.44%
,,,,,,,,,,,,,,,,,,2017,12/4/2017,$                                                       20.00,,,12/4/2017,,1/5/2015,,,,,,$             20.00,#N/A,,,,,,4.48%,6.14%,8.05%,33.75%,44.59%,2.1675,5.18%,0.00%,,1998,0.00,,40,,,1,4.36%,61,92,2.83%
,,,,,,,,,,,,,,,,,,2017,12/5/2017,$                                                        21.00,,,12/11/2017,,1/12/2015,,,,,,$              21.00,#N/A,,,,,,4.48%,6.14%,7.67%,27.38%,37.70%,2.1675,5.18%,0.00%,,1999,0.00,,,,,2,4.46%,62,154,2.88%
,,,,,,,,,,,,,,,,,,2017,12/6/2017,$                                                        19.85,,,12/18/2017,,1/20/2015,,,,,,$              19.85,#N/A,,,,,,4.48%,6.14%,8.11%,34.76%,45.68%,2.1675,5.18%,-5.48%,,2000,0.00,,1/1/1970,1970,,3,4.56%,108,262,5.02%
,,,,,,,,,,,,,,,,,,2017,12/7/2017,$                                                        19.80,,,12/26/2017,,1/26/2015,,,,,,$              19.80,#N/A,,,,,,4.48%,6.14%,8.13%,35.10%,46.05%,2.1675,5.18%,-5.71%,,2001,0.00,,1/1/1971,1971,,4,4.66%,144,406,6.69%
,,,,,,,,,,,,,,,,,,2017,12/8/2017,$                                                        19.80,,,1/2/2018,,2/2/2015,,,,,,$              19.80,#N/A,,,,,,4.48%,6.14%,8.13%,35.10%,46.05%,2.1675,5.18%,-5.71%,,2002,0.00,,1/1/1972,1972,,5,4.76%,143,549,6.64%
,,,,,,,,,,,,,,,,,,2017,12/11/2017,$                                                         19.81,,,1/8/2018,,2/9/2015,,,,,,$               19.81,#N/A,,,,,,4.48%,6.14%,8.13%,35.03%,45.97%,2.1675,5.18%,-5.67%,,2003,0.00,,1/1/1973,1973,,6,4.86%,126,675,5.86%
,,,,,,,,,,,,,,,,,,2017,12/12/2017,$                                                         19.81,,,1/16/2018,,2/17/2015,,,,,,$               19.81,#N/A,,,,,,4.48%,6.14%,8.13%,35.03%,45.97%,2.1675,5.18%,-5.67%,,2004,0.00,,1/1/1974,1974,,7,4.96%,150,825,6.97%
