,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,VNA GR,Vonovia SE,,,,,,,,,,30%,56%,$         21.19,$            16.16,$          54.68,$             62.26,$          64.44,8.69%,2.58%,3.33%,5.43%,35.44%,35.44%,118%,,,,,,,NO,,,7.83%,2.44%,5.39%,0.10%,54
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Vonovia SE - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.26%,11/10/2017,,,,,,,,,,$          28.00,32%,4.01%,$          32.99,$          28.00,$              15.65,$            16.16,2.36%,5.26%,3.04%,1.37%,-65.97%,-65.97%,-38%,,,,5Y CAGR,-11.71%,,Vonovia SE - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,-0.36%,,Vonovia SE - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Vonovia SE - Rating: 30% - Upside: 56%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       27.55,,,12/29/2014,,12/29/2014,,,,,3.20%,€               27.55,0.88,34.21,16.75,29.03,62%,24%,2.58%,5.26%,3.09%,-23.09%,-6.68%,4.518495,3.04%,0.00%,,1997,0.00,-,30,,,0,2.44%,88,88,3.28%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,€                                                         27.82,,,1/5/2015,,1/5/2015,,,,,3.17%,€               27.82,0.88,34.21,16.75,29.03,63%,23%,2.58%,5.26%,3.06%,-23.82%,-7.58%,4.518495,3.04%,0.00%,,1998,0.00,,56,,,1,2.54%,94,182,3.51%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,€                                                          27.17,,,1/12/2015,,1/12/2015,,,,,3.24%,€                27.17,0.88,34.21,16.75,29.03,60%,26%,2.58%,5.26%,3.13%,-22.00%,-5.37%,4.518495,3.04%,-2.34%,,1999,0.00,,,,,2,2.64%,157,339,5.86%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,€                                                         26.50,,,1/19/2015,,1/20/2015,,,,,3.33%,€               26.50,0.88,34.21,16.75,29.03,56%,29%,2.58%,5.26%,3.21%,-20.04%,-2.99%,4.518495,3.04%,-4.73%,,2000,0.00,,1/1/1970,1970,,3,2.74%,200,539,7.46%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,€                                                         26.40,,,1/26/2015,,1/26/2015,,,,,3.34%,€               26.40,0.88,34.21,16.75,29.03,55%,30%,2.58%,5.26%,3.22%,-19.74%,-2.63%,4.518495,3.04%,-5.09%,,2001,0.00,,1/1/1971,1971,,4,2.84%,373,912,13.91%
